"qtrc_code","process_description","concept_name","status","activity_from","activity_to","granularity","condition","condition_status","to_condition","condition_granularity","reference","reference_status","reference_shift","reference_granularity"
"QTRC1","Quince_Harvesting","*","*","XXXX-10-01","XXXX-11-30","MONTH","NO","NO","NO","NO","NO","NO","NO","NO"
"QTRC2","Quince_Harvesting","Check for Codling Moth","start","07:00:00","END","HOUR","NO","NO","NO","NO","NO","NO","NO","NO"
"QTRC3","Quince_Harvesting","Start Picking","start","08:00:00","08:00:00","HOUR","NO","NO","NO","NO","NO","NO","NO","NO"
"QTRC4","Quince_Harvesting","Warn of Break (1pm)","start","13:00:00","14:00:00","HOUR","Break","start","13:00:00","HOUR","NO","NO","NO","NO"
"QTRC5","Quince_Harvesting","Trucks Arrive (3pm)","*","shift_reference","17:00:00","HOUR","NO","NO","NO","NO","Start Picking","start","07:00:00","HOUR"
"QTRC6","Quince_Harvesting","Load Trucks","*","shift_reference","17:00:00","HOUR","NO","NO","NO","NO","Start Picking","start","07:00:00","HOUR"
"QTRC7","Quince_Harvesting","Start Spoiled Fruit Data Collection","start","reference","shift_reference","MINUTE","NO","NO","NO","NO","Load Trucks","complete",30,"MINUTE"
"QTRC8","Quince_Harvesting","Send Recorded Kilos and Hours","start","18:00:00","END","HOUR","NO","NO","NO","NO","NO","NO","NO","NO"
"QTRC9","Billing_Process_of_an_Internet_Service_Provider_(ISP)","send invoice","*","XXXX-XX-01","XXXX-XX-01","DAY","NO","NO","NO","NO","NO","NO","NO","NO"
"QTRC10","Billing_Process_of_an_Internet_Service_Provider_(ISP)","debit outstanding amount","*","XXXX-XX-08","XXXX-XX-08","DAY","NO","NO","NO","NO","NO","NO","NO","NO"
"QTRC11","Billing_Process_of_an_Internet_Service_Provider_(ISP)","notify customer","*","XXXX-XX-09","XXXX-XX-09","DAY","NO","NO","NO","NO","NO","NO","NO","NO"
"QTRC12","Billing_Process_of_an_Internet_Service_Provider_(ISP)","re-attempt debit outstanding amount","*","XXXX-XX-10","XXXX-XX-10","DAY","NO","NO","NO","NO","NO","NO","NO","NO"
"QTRC13","Billing_Process_of_an_Internet_Service_Provider_(ISP)","charge late fee","*","XXXX-XX-11","XXXX-XX-11","DAY","NO","NO","NO","NO","NO","NO","NO","NO"
"QTRC14","Billing_Process_of_an_Internet_Service_Provider_(ISP)","suspend service","*","XXXX-XX-15","XXXX-XX-15","DAY","NO","NO","NO","NO","NO","NO","NO","NO"
"QTRC15","Meeting_Related_Activities","advise to read related documents","*","shift_reference","shift_reference","DAY","NO","NO","NO","NO","hold meeting","complete","XXXX-XX-07","DAY"
"QTRC16","Steps_to_follow_after_receiving_Expense_Report","send ""approval in progress"" email","*","shift_reference","shift_reference","DAY","NO","NO","NO","NO","START","NO","XXXX-XX-07","DAY"
"QTRC17","Steps_to_follow_after_receiving_Expense_Report","advice employee to re-submit the expense report","*","shift_reference","shift_reference","DAY","NO","NO","NO","NO","START","NO","XXXX-XX-30","DAY"
