concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
send invoice,d1912985df78519800a03eca9d0b8b0e,send invoice,start,2024-03-01 07:30:00+01:00
send invoice,d1912985df78519800a03eca9d0b8b0e,send invoice,complete,2024-03-01 07:30:03+01:00
wait 7 days,4bba615757c4ce19c8b543d72a6c9a47,wait 7 days,start,2024-03-01 07:30:03+01:00
customer pays,9657a69b26048430a21ece3f7dcbd506,customer pays,start,2024-03-01 07:30:03+01:00
wait 7 days,4bba615757c4ce19c8b543d72a6c9a47,wait 7 days,complete,2024-03-08 07:30:03+01:00
debit outstanding amount,65c7c5cd2d54935bef4ab0d56c5b9eb2,debit outstanding amount,start,2024-03-08 07:30:03+01:00
debit outstanding amount,65c7c5cd2d54935bef4ab0d56c5b9eb2,debit outstanding amount,complete,2024-03-08 07:30:06+01:00
wait 1 day,ad112f7e7e6c75c80a6266b9bfcf803f,wait 1 day,start,2024-03-08 07:30:06+01:00
wait 1 day,ad112f7e7e6c75c80a6266b9bfcf803f,wait 1 day,complete,2024-03-09 07:30:06+01:00
notify customer,493d13a04bd4d82dd0902aa2d04e0ee4,notify customer,start,2024-03-09 07:30:06+01:00
notify customer,493d13a04bd4d82dd0902aa2d04e0ee4,notify customer,complete,2024-03-09 07:30:09+01:00
wait 1 day,c709939643d177f92afa5f3e30ad5427,wait 1 day,start,2024-03-09 07:30:09+01:00
wait 1 day,c709939643d177f92afa5f3e30ad5427,wait 1 day,complete,2024-03-10 07:30:09+01:00
re-attempt debit outstanding amount,7ab326c2b06f2815ab822b0216a56fd2,re-attempt debit outstanding amount,start,2024-03-10 07:30:09+01:00
re-attempt debit outstanding amount,7ab326c2b06f2815ab822b0216a56fd2,re-attempt debit outstanding amount,complete,2024-03-10 07:30:12+01:00
wait 1 day,dc90eb48636f5e5e99f03c3342f3fe1a,wait 1 day,start,2024-03-10 07:30:12+01:00
customer pays,9657a69b26048430a21ece3f7dcbd506,customer pays,complete,2024-03-05 22:38:41.400000+01:00
wait 1 day,dc90eb48636f5e5e99f03c3342f3fe1a,wait 1 day,complete,2024-03-11 07:30:12+01:00
charge late fee,1ca6fa1254315e84e110dacec9cc93b0,charge late fee,start,2024-03-11 07:30:12+01:00
charge late fee,1ca6fa1254315e84e110dacec9cc93b0,charge late fee,complete,2024-03-11 07:30:15+01:00
wait 4 days,b3cac2b03f102d40c42b154957e34396,wait 4 days,start,2024-03-11 07:30:15+01:00
wait 4 days,b3cac2b03f102d40c42b154957e34396,wait 4 days,complete,2024-03-15 07:30:15+01:00
suspend service,a8dfd50524d3630f46e5264c4fb6f801,suspend service,start,2024-03-15 07:30:15+01:00
suspend service,a8dfd50524d3630f46e5264c4fb6f801,suspend service,complete,2024-03-15 07:30:18+01:00
