concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
send invoice,ecdcb35a5ef5f6c55d3bf05f3e1835d9,send invoice,start,2023-04-01 07:30:00+02:00
send invoice,ecdcb35a5ef5f6c55d3bf05f3e1835d9,send invoice,complete,2023-04-01 07:30:03+02:00
wait 7 days,99596d85b8f6be5764e6da5bfe2a2e7a,wait 7 days,start,2023-04-01 07:30:03+02:00
customer pays,b59037b8b9ce80402eee03c843d8f3d9,customer pays,start,2023-04-01 07:30:03+02:00
wait 7 days,99596d85b8f6be5764e6da5bfe2a2e7a,wait 7 days,complete,2023-04-08 07:30:03+02:00
debit outstanding amount,eb132c69f0380352ff53f79139bc7fcf,debit outstanding amount,start,2023-04-08 07:30:03+02:00
debit outstanding amount,eb132c69f0380352ff53f79139bc7fcf,debit outstanding amount,complete,2023-04-08 07:30:06+02:00
wait 1 day,2c66dc64131d445133c12c839a3617ae,wait 1 day,start,2023-04-08 07:30:06+02:00
wait 1 day,2c66dc64131d445133c12c839a3617ae,wait 1 day,complete,2023-04-09 07:30:06+02:00
notify customer,b79fb44749151003beee9f1b6ab68d38,notify customer,start,2023-04-09 07:30:06+02:00
notify customer,b79fb44749151003beee9f1b6ab68d38,notify customer,complete,2023-04-09 07:30:09+02:00
wait 1 day,b0a7e5c0864e8810a5858a4bb1fe22c7,wait 1 day,start,2023-04-09 07:30:09+02:00
wait 1 day,b0a7e5c0864e8810a5858a4bb1fe22c7,wait 1 day,complete,2023-04-10 07:30:09+02:00
re-attempt debit outstanding amount,6f5914799eb9d59a313c5ea609fbd8d1,re-attempt debit outstanding amount,start,2023-04-10 07:30:09+02:00
re-attempt debit outstanding amount,6f5914799eb9d59a313c5ea609fbd8d1,re-attempt debit outstanding amount,complete,2023-04-10 07:30:12+02:00
wait 1 day,a9c8d938576c8a99d9695596e37acc68,wait 1 day,start,2023-04-10 07:30:12+02:00
wait 1 day,a9c8d938576c8a99d9695596e37acc68,wait 1 day,complete,2023-04-11 07:30:12+02:00
charge late fee,0a9903618bbef4e98ab51041096289a4,charge late fee,start,2023-04-11 07:30:12+02:00
charge late fee,0a9903618bbef4e98ab51041096289a4,charge late fee,complete,2023-04-11 07:30:15+02:00
wait 4 days,252ee02b1411631ef2fd6d6b3594b613,wait 4 days,start,2023-04-11 07:30:15+02:00
wait 4 days,252ee02b1411631ef2fd6d6b3594b613,wait 4 days,complete,2023-04-15 07:30:15+02:00
suspend service,1ca9fbbcb969973b2fad74fe943f8e1b,suspend service,start,2023-04-15 07:30:15+02:00
suspend service,1ca9fbbcb969973b2fad74fe943f8e1b,suspend service,complete,2023-04-15 07:30:18+02:00
customer pays,b59037b8b9ce80402eee03c843d8f3d9,customer pays,complete,2023-04-09 05:34:51+02:00
