concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
send invoice,9aed01b23fa71691bb9842a100c1ee72,send invoice,start,2023-01-01 07:30:00+01:00
send invoice,9aed01b23fa71691bb9842a100c1ee72,send invoice,complete,2023-01-01 07:30:03+01:00
wait 7 days,c696f596969847b1ffd75e38940dd6f1,wait 7 days,start,2023-01-01 07:30:03+01:00
customer pays,36c182b51c71c4eab066e2592fe841f7,customer pays,start,2023-01-01 07:30:03+01:00
wait 7 days,c696f596969847b1ffd75e38940dd6f1,wait 7 days,complete,2023-01-08 07:30:03+01:00
debit outstanding amount,7de5a1030dd034632105984ed5d4cc44,debit outstanding amount,start,2023-01-08 07:30:03+01:00
debit outstanding amount,7de5a1030dd034632105984ed5d4cc44,debit outstanding amount,complete,2023-01-08 07:30:06+01:00
wait 1 day,39fa558e5f4167148dd72d690d7404a4,wait 1 day,start,2023-01-08 07:30:06+01:00
wait 1 day,39fa558e5f4167148dd72d690d7404a4,wait 1 day,complete,2023-01-09 07:30:06+01:00
notify customer,e042edbddf5ff3e01daf22d9a85206c2,notify customer,start,2023-01-09 07:30:06+01:00
notify customer,e042edbddf5ff3e01daf22d9a85206c2,notify customer,complete,2023-01-09 07:30:09+01:00
wait 1 day,fe0666423c3d103740d436208cd01f6d,wait 1 day,start,2023-01-09 07:30:09+01:00
wait 1 day,fe0666423c3d103740d436208cd01f6d,wait 1 day,complete,2023-01-10 07:30:09+01:00
re-attempt debit outstanding amount,9434b7c3ad1f5c47278dd0ca2590b155,re-attempt debit outstanding amount,start,2023-01-10 07:30:09+01:00
re-attempt debit outstanding amount,9434b7c3ad1f5c47278dd0ca2590b155,re-attempt debit outstanding amount,complete,2023-01-10 07:30:12+01:00
wait 1 day,278bf0489e85d5c82f4aaf1a292e26b6,wait 1 day,start,2023-01-10 07:30:12+01:00
wait 1 day,278bf0489e85d5c82f4aaf1a292e26b6,wait 1 day,complete,2023-01-11 07:30:12+01:00
charge late fee,912485df8728e01aa4aa1771a9e8bfee,charge late fee,start,2023-01-11 07:30:12+01:00
charge late fee,912485df8728e01aa4aa1771a9e8bfee,charge late fee,complete,2023-01-11 07:30:15+01:00
wait 4 days,e7f89fbeade14e0dd2b57099eb7d6959,wait 4 days,start,2023-01-11 07:30:15+01:00
wait 4 days,e7f89fbeade14e0dd2b57099eb7d6959,wait 4 days,complete,2023-01-15 07:30:15+01:00
suspend service,c5a11ae4c48464c2253f10259cf2e484,suspend service,start,2023-01-15 07:30:15+01:00
suspend service,c5a11ae4c48464c2253f10259cf2e484,suspend service,complete,2023-01-15 07:30:18+01:00
customer pays,36c182b51c71c4eab066e2592fe841f7,customer pays,complete,2023-01-14 07:43:00.600000+01:00
