concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
send invoice,c6829ffe723b65a37d3340f873573b2b,send invoice,start,2025-07-01 07:30:00+02:00
send invoice,c6829ffe723b65a37d3340f873573b2b,send invoice,complete,2025-07-01 07:30:03+02:00
wait 7 days,b44316604706767e1bc577bee6899b77,wait 7 days,start,2025-07-01 07:30:03+02:00
customer pays,805bd0f958634e4b2d3a92edf3c67480,customer pays,start,2025-07-01 07:30:03+02:00
wait 7 days,b44316604706767e1bc577bee6899b77,wait 7 days,complete,2025-07-08 07:30:03+02:00
debit outstanding amount,4c933e08bd7e7fd1776d1de99741a7ce,debit outstanding amount,start,2025-07-08 07:30:03+02:00
debit outstanding amount,4c933e08bd7e7fd1776d1de99741a7ce,debit outstanding amount,complete,2025-07-08 07:30:06+02:00
wait 1 day,1e81b09186abce88760d4fc6aa83753c,wait 1 day,start,2025-07-08 07:30:06+02:00
wait 1 day,1e81b09186abce88760d4fc6aa83753c,wait 1 day,complete,2025-07-09 07:30:06+02:00
notify customer,7b68845adbe297002353f34092d636a0,notify customer,start,2025-07-09 07:30:06+02:00
notify customer,7b68845adbe297002353f34092d636a0,notify customer,complete,2025-07-09 07:30:09+02:00
wait 1 day,9999585d91a4e4e3aa62a14c754bb64c,wait 1 day,start,2025-07-09 07:30:09+02:00
wait 1 day,9999585d91a4e4e3aa62a14c754bb64c,wait 1 day,complete,2025-07-10 07:30:09+02:00
re-attempt debit outstanding amount,746342caba62a77824493ed6e8a19485,re-attempt debit outstanding amount,start,2025-07-10 07:30:09+02:00
re-attempt debit outstanding amount,746342caba62a77824493ed6e8a19485,re-attempt debit outstanding amount,complete,2025-07-10 07:30:12+02:00
wait 1 day,24a29ca682375d62022e2843c8973b24,wait 1 day,start,2025-07-10 07:30:12+02:00
wait 1 day,24a29ca682375d62022e2843c8973b24,wait 1 day,complete,2025-07-11 07:30:12+02:00
charge late fee,83f53245ca51f79907042dde9a7bc127,charge late fee,start,2025-07-11 07:30:12+02:00
charge late fee,83f53245ca51f79907042dde9a7bc127,charge late fee,complete,2025-07-11 07:30:15+02:00
wait 4 days,373ad5b6a86d95b7b8fadb00a3bfd5e9,wait 4 days,start,2025-07-11 07:30:15+02:00
wait 4 days,373ad5b6a86d95b7b8fadb00a3bfd5e9,wait 4 days,complete,2025-07-15 07:30:15+02:00
suspend service,490f4808b8ec056f020ba4271f34a845,suspend service,start,2025-07-15 07:30:15+02:00
suspend service,490f4808b8ec056f020ba4271f34a845,suspend service,complete,2025-07-15 07:30:18+02:00
customer pays,805bd0f958634e4b2d3a92edf3c67480,customer pays,complete,2025-07-14 16:12:46.190000+02:00
