concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
send invoice,ed4ba7b752fec2c1e781238bd75463a4,send invoice,start,2025-05-01 07:30:00+02:00
send invoice,ed4ba7b752fec2c1e781238bd75463a4,send invoice,complete,2025-05-01 07:30:03+02:00
customer pays,fa410487e7d901b305748cc5110e7c1d,customer pays,start,2025-05-01 07:30:03+02:00
wait 7 days,6b03683dc07d4e1799201d7982dfa9b1,wait 7 days,start,2025-05-01 07:30:03+02:00
wait 7 days,6b03683dc07d4e1799201d7982dfa9b1,wait 7 days,complete,2025-05-08 07:30:03+02:00
debit outstanding amount,760fc95f6c3b361ad721fe25e6244372,debit outstanding amount,start,2025-05-08 07:30:03+02:00
debit outstanding amount,760fc95f6c3b361ad721fe25e6244372,debit outstanding amount,complete,2025-05-08 07:30:06+02:00
wait 1 day,12a9071db45d0ae25524d5c9685a893b,wait 1 day,start,2025-05-08 07:30:06+02:00
wait 1 day,12a9071db45d0ae25524d5c9685a893b,wait 1 day,complete,2025-05-09 07:30:06+02:00
notify customer,8f6be50d995597bf92341462025e28a7,notify customer,start,2025-05-09 07:30:06+02:00
notify customer,8f6be50d995597bf92341462025e28a7,notify customer,complete,2025-05-09 07:30:09+02:00
wait 1 day,06b4d0f114ed9b2b8ee9d45d479f16e2,wait 1 day,start,2025-05-09 07:30:09+02:00
wait 1 day,06b4d0f114ed9b2b8ee9d45d479f16e2,wait 1 day,complete,2025-05-10 07:30:09+02:00
re-attempt debit outstanding amount,5ae13860e72ddad752e4b16a9f7d3220,re-attempt debit outstanding amount,start,2025-05-10 07:30:09+02:00
re-attempt debit outstanding amount,5ae13860e72ddad752e4b16a9f7d3220,re-attempt debit outstanding amount,complete,2025-05-10 07:30:12+02:00
wait 1 day,6739ecf6640d509602a44794d88a5455,wait 1 day,start,2025-05-10 07:30:12+02:00
wait 1 day,6739ecf6640d509602a44794d88a5455,wait 1 day,complete,2025-05-11 07:30:12+02:00
charge late fee,675f50b6acc885fe9bd6199771364921,charge late fee,start,2025-05-11 07:30:12+02:00
charge late fee,675f50b6acc885fe9bd6199771364921,charge late fee,complete,2025-05-11 07:30:15+02:00
wait 4 days,3c057bf2f4134dcc69ec184625d8a7c4,wait 4 days,start,2025-05-11 07:30:15+02:00
wait 4 days,3c057bf2f4134dcc69ec184625d8a7c4,wait 4 days,complete,2025-05-15 07:30:15+02:00
suspend service,35a327ac163e3ab63f921bc5063fb9fc,suspend service,start,2025-05-15 07:30:15+02:00
suspend service,35a327ac163e3ab63f921bc5063fb9fc,suspend service,complete,2025-05-15 07:30:18+02:00
customer pays,fa410487e7d901b305748cc5110e7c1d,customer pays,complete,2025-05-13 01:44:27+02:00
