concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
send invoice,936941ff8d52201198252fb636a2a78a,send invoice,start,2025-04-01 07:30:00+02:00
send invoice,936941ff8d52201198252fb636a2a78a,send invoice,complete,2025-04-01 07:30:03+02:00
wait 7 days,770820c6ced6734c044ea03bbb80656a,wait 7 days,start,2025-04-01 07:30:03+02:00
customer pays,f9f71f5c7cbb1062b22308b3e297bec4,customer pays,start,2025-04-01 07:30:03+02:00
wait 7 days,770820c6ced6734c044ea03bbb80656a,wait 7 days,complete,2025-04-08 07:30:03+02:00
debit outstanding amount,fb64df8136ca7834df939f9798c056df,debit outstanding amount,start,2025-04-08 07:30:03+02:00
debit outstanding amount,fb64df8136ca7834df939f9798c056df,debit outstanding amount,complete,2025-04-08 07:30:06+02:00
wait 1 day,dd6136aeddfcda4a6c2c707431029e50,wait 1 day,start,2025-04-08 07:30:06+02:00
wait 1 day,dd6136aeddfcda4a6c2c707431029e50,wait 1 day,complete,2025-04-09 07:30:06+02:00
notify customer,1feddfc75af19bc310f037b67a7e588b,notify customer,start,2025-04-09 07:30:06+02:00
notify customer,1feddfc75af19bc310f037b67a7e588b,notify customer,complete,2025-04-09 07:30:09+02:00
wait 1 day,8cb37d2fe48fa45294ef14a2a5af445f,wait 1 day,start,2025-04-09 07:30:09+02:00
wait 1 day,8cb37d2fe48fa45294ef14a2a5af445f,wait 1 day,complete,2025-04-10 07:30:09+02:00
re-attempt debit outstanding amount,df6f58c323a866406ca07a70eeb0ec53,re-attempt debit outstanding amount,start,2025-04-10 07:30:09+02:00
re-attempt debit outstanding amount,df6f58c323a866406ca07a70eeb0ec53,re-attempt debit outstanding amount,complete,2025-04-10 07:30:12+02:00
wait 1 day,9a04741a272405bec1bfd66fe2971a45,wait 1 day,start,2025-04-10 07:30:12+02:00
wait 1 day,9a04741a272405bec1bfd66fe2971a45,wait 1 day,complete,2025-04-11 07:30:12+02:00
charge late fee,4e19fc7e04e530b72fe3886aa64d8130,charge late fee,start,2025-04-11 07:30:12+02:00
charge late fee,4e19fc7e04e530b72fe3886aa64d8130,charge late fee,complete,2025-04-11 07:30:15+02:00
wait 4 days,5982b5bae9bacdb1f3ceb05efbd1d52d,wait 4 days,start,2025-04-11 07:30:15+02:00
customer pays,f9f71f5c7cbb1062b22308b3e297bec4,customer pays,complete,2025-04-05 22:50:12.600000+02:00
wait 4 days,5982b5bae9bacdb1f3ceb05efbd1d52d,wait 4 days,complete,2025-04-15 07:30:15+02:00
suspend service,530a30c050cb442846446f3cfb116181,suspend service,start,2025-04-15 07:30:15+02:00
suspend service,530a30c050cb442846446f3cfb116181,suspend service,complete,2025-04-15 07:30:18+02:00
