concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
send invoice,5f2fe4395eae42609affa7e33c28fc4c,send invoice,start,2025-03-01 07:30:00+01:00
send invoice,5f2fe4395eae42609affa7e33c28fc4c,send invoice,complete,2025-03-01 07:30:03+01:00
wait 7 days,097a14ea6ad9a6205e2686403105449a,wait 7 days,start,2025-03-01 07:30:03+01:00
customer pays,5cea4ee89798b6bac89d6ef12f23f203,customer pays,start,2025-03-01 07:30:03+01:00
wait 7 days,097a14ea6ad9a6205e2686403105449a,wait 7 days,complete,2025-03-08 07:30:03+01:00
debit outstanding amount,c4b541339c9ba56afc63ba180f66df51,debit outstanding amount,start,2025-03-08 07:30:03+01:00
debit outstanding amount,c4b541339c9ba56afc63ba180f66df51,debit outstanding amount,complete,2025-03-08 07:30:06+01:00
wait 1 day,a0c09c07b5a432b4fc174259c6f42bb9,wait 1 day,start,2025-03-08 07:30:06+01:00
wait 1 day,a0c09c07b5a432b4fc174259c6f42bb9,wait 1 day,complete,2025-03-09 07:30:06+01:00
notify customer,1e9e35ed71124b164756cc3baff5d089,notify customer,start,2025-03-09 07:30:06+01:00
notify customer,1e9e35ed71124b164756cc3baff5d089,notify customer,complete,2025-03-09 07:30:09+01:00
wait 1 day,c2a6c4b33cd6c6a7ea121d58f9f2346c,wait 1 day,start,2025-03-09 07:30:09+01:00
wait 1 day,c2a6c4b33cd6c6a7ea121d58f9f2346c,wait 1 day,complete,2025-03-10 07:30:09+01:00
re-attempt debit outstanding amount,283cae33d8cbbce0cf88c79380275e8c,re-attempt debit outstanding amount,start,2025-03-10 07:30:09+01:00
re-attempt debit outstanding amount,283cae33d8cbbce0cf88c79380275e8c,re-attempt debit outstanding amount,complete,2025-03-10 07:30:12+01:00
wait 1 day,596550f648cd1cd48942cb6406becb7c,wait 1 day,start,2025-03-10 07:30:12+01:00
wait 1 day,596550f648cd1cd48942cb6406becb7c,wait 1 day,complete,2025-03-11 07:30:12+01:00
charge late fee,87fedbc3400aa525c1ea68957fe07acd,charge late fee,start,2025-03-11 07:30:12+01:00
charge late fee,87fedbc3400aa525c1ea68957fe07acd,charge late fee,complete,2025-03-11 07:30:15+01:00
wait 4 days,a9b33df8e5d3e71d4c2b3c42896af048,wait 4 days,start,2025-03-11 07:30:15+01:00
wait 4 days,a9b33df8e5d3e71d4c2b3c42896af048,wait 4 days,complete,2025-03-15 07:30:15+01:00
suspend service,d8ea88419b9e8bc1d798ae17bef51e99,suspend service,start,2025-03-15 07:30:15+01:00
suspend service,d8ea88419b9e8bc1d798ae17bef51e99,suspend service,complete,2025-03-15 07:30:18+01:00
customer pays,5cea4ee89798b6bac89d6ef12f23f203,customer pays,complete,2025-03-12 02:27:38.990000+01:00
