concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
send invoice,cb6360d22e2464f08e19135f4acd9d2c,send invoice,start,2024-12-01 07:30:00+01:00
send invoice,cb6360d22e2464f08e19135f4acd9d2c,send invoice,complete,2024-12-01 07:30:03+01:00
wait 7 days,492be769c16b4f5c348b5b726ce250ce,wait 7 days,start,2024-12-01 07:30:03+01:00
customer pays,1930e9bb7c79dbb63edb3b58aba1e937,customer pays,start,2024-12-01 07:30:03+01:00
wait 7 days,492be769c16b4f5c348b5b726ce250ce,wait 7 days,complete,2024-12-08 07:30:03+01:00
debit outstanding amount,b581efacc82ae06bacb42b38023d6735,debit outstanding amount,start,2024-12-08 07:30:03+01:00
debit outstanding amount,b581efacc82ae06bacb42b38023d6735,debit outstanding amount,complete,2024-12-08 07:30:06+01:00
wait 1 day,e383d0043be0c4547a153f106f6d8ec8,wait 1 day,start,2024-12-08 07:30:06+01:00
wait 1 day,e383d0043be0c4547a153f106f6d8ec8,wait 1 day,complete,2024-12-09 07:30:06+01:00
notify customer,8b917b37abf73c98b00385d2a287b98e,notify customer,start,2024-12-09 07:30:06+01:00
notify customer,8b917b37abf73c98b00385d2a287b98e,notify customer,complete,2024-12-09 07:30:09+01:00
wait 1 day,6bf72a6f6943cf1c892a40888b12da76,wait 1 day,start,2024-12-09 07:30:09+01:00
customer pays,1930e9bb7c79dbb63edb3b58aba1e937,customer pays,complete,2024-12-04 14:39:10.200000+01:00
wait 1 day,6bf72a6f6943cf1c892a40888b12da76,wait 1 day,complete,2024-12-10 07:30:09+01:00
re-attempt debit outstanding amount,6faddf6b4f2e9e96170d1ef3f8f6326d,re-attempt debit outstanding amount,start,2024-12-10 07:30:09+01:00
re-attempt debit outstanding amount,6faddf6b4f2e9e96170d1ef3f8f6326d,re-attempt debit outstanding amount,complete,2024-12-10 07:30:12+01:00
