concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
send invoice,8a0ef0c67544575d18a54a60a76c447f,send invoice,start,2024-02-01 07:30:00+01:00
send invoice,8a0ef0c67544575d18a54a60a76c447f,send invoice,complete,2024-02-01 07:30:03+01:00
wait 7 days,432016e0c0cdf7a6803a3409e4e80640,wait 7 days,start,2024-02-01 07:30:03+01:00
customer pays,346ecfff6017e514e208401fe739f171,customer pays,start,2024-02-01 07:30:03+01:00
wait 7 days,432016e0c0cdf7a6803a3409e4e80640,wait 7 days,complete,2024-02-08 07:30:03+01:00
debit outstanding amount,b5cb48ab027d6a610da6d47d50404e74,debit outstanding amount,start,2024-02-08 07:30:03+01:00
debit outstanding amount,b5cb48ab027d6a610da6d47d50404e74,debit outstanding amount,complete,2024-02-08 07:30:06+01:00
wait 1 day,67a5febc2e6f2134b6911d11bd0491f3,wait 1 day,start,2024-02-08 07:30:06+01:00
wait 1 day,67a5febc2e6f2134b6911d11bd0491f3,wait 1 day,complete,2024-02-09 07:30:06+01:00
notify customer,446ed0bb3fa9fc7990b382b446c77b8d,notify customer,start,2024-02-09 07:30:06+01:00
notify customer,446ed0bb3fa9fc7990b382b446c77b8d,notify customer,complete,2024-02-09 07:30:09+01:00
wait 1 day,0d5ea63ae533e28f3521e8bc9bb1b16e,wait 1 day,start,2024-02-09 07:30:09+01:00
wait 1 day,0d5ea63ae533e28f3521e8bc9bb1b16e,wait 1 day,complete,2024-02-10 07:30:09+01:00
re-attempt debit outstanding amount,52110a1f8b181661b87538a7f9f25319,re-attempt debit outstanding amount,start,2024-02-10 07:30:09+01:00
re-attempt debit outstanding amount,52110a1f8b181661b87538a7f9f25319,re-attempt debit outstanding amount,complete,2024-02-10 07:30:12+01:00
wait 1 day,fe0ba216993c5c6f70f612187974fc25,wait 1 day,start,2024-02-10 07:30:12+01:00
wait 1 day,fe0ba216993c5c6f70f612187974fc25,wait 1 day,complete,2024-02-11 07:30:12+01:00
charge late fee,05c81fc98d8e910ea31aa22a93de061c,charge late fee,start,2024-02-11 07:30:12+01:00
charge late fee,05c81fc98d8e910ea31aa22a93de061c,charge late fee,complete,2024-02-11 07:30:15+01:00
wait 4 days,d6fabd9021bea46b6a70d4426eb9f1cc,wait 4 days,start,2024-02-11 07:30:15+01:00
wait 4 days,d6fabd9021bea46b6a70d4426eb9f1cc,wait 4 days,complete,2024-02-15 07:30:15+01:00
suspend service,9cf900f41e5e56cd95f2cbc496440aee,suspend service,start,2024-02-15 07:30:15+01:00
suspend service,9cf900f41e5e56cd95f2cbc496440aee,suspend service,complete,2024-02-15 07:30:18+01:00
customer pays,346ecfff6017e514e208401fe739f171,customer pays,complete,2024-02-08 05:57:53.400000+01:00
