concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
send invoice,40b0b74d52ac7ab6f5a768864a9a3698,send invoice,start,2024-05-01 07:30:00+02:00
send invoice,40b0b74d52ac7ab6f5a768864a9a3698,send invoice,complete,2024-05-01 07:30:03+02:00
customer pays,664aaee4c75f84f7dd35096b5addbc45,customer pays,start,2024-05-01 07:30:03+02:00
wait 7 days,1c59c4fdd1d5d1df17133879b455c097,wait 7 days,start,2024-05-01 07:30:03+02:00
wait 7 days,1c59c4fdd1d5d1df17133879b455c097,wait 7 days,complete,2024-05-08 07:30:03+02:00
debit outstanding amount,ba75ff4c9fe2b3968eefc2e1dc6324a6,debit outstanding amount,start,2024-05-08 07:30:03+02:00
debit outstanding amount,ba75ff4c9fe2b3968eefc2e1dc6324a6,debit outstanding amount,complete,2024-05-08 07:30:06+02:00
wait 1 day,4dbc6b9eff65df749a2ec8bcc05c924b,wait 1 day,start,2024-05-08 07:30:06+02:00
wait 1 day,4dbc6b9eff65df749a2ec8bcc05c924b,wait 1 day,complete,2024-05-09 07:30:06+02:00
notify customer,c27c64f75bd73ba8304201e5fb728b92,notify customer,start,2024-05-09 07:30:06+02:00
notify customer,c27c64f75bd73ba8304201e5fb728b92,notify customer,complete,2024-05-09 07:30:09+02:00
wait 1 day,a59c730b91a2f33c4cad2d5148e1f88a,wait 1 day,start,2024-05-09 07:30:09+02:00
wait 1 day,a59c730b91a2f33c4cad2d5148e1f88a,wait 1 day,complete,2024-05-10 07:30:09+02:00
re-attempt debit outstanding amount,0f8ebfcbc25ac57f29aaae34d72ae378,re-attempt debit outstanding amount,start,2024-05-10 07:30:09+02:00
re-attempt debit outstanding amount,0f8ebfcbc25ac57f29aaae34d72ae378,re-attempt debit outstanding amount,complete,2024-05-10 07:30:12+02:00
wait 1 day,9961f0f4d94a5c43afd58171aec2b4b7,wait 1 day,start,2024-05-10 07:30:12+02:00
wait 1 day,9961f0f4d94a5c43afd58171aec2b4b7,wait 1 day,complete,2024-05-11 07:30:12+02:00
charge late fee,92994848ccf71e1f6438005d37838a17,charge late fee,start,2024-05-11 07:30:12+02:00
charge late fee,92994848ccf71e1f6438005d37838a17,charge late fee,complete,2024-05-11 07:30:15+02:00
wait 4 days,818f989a2ccbfef297cbc0c818cb2016,wait 4 days,start,2024-05-11 07:30:15+02:00
wait 4 days,818f989a2ccbfef297cbc0c818cb2016,wait 4 days,complete,2024-05-15 07:30:15+02:00
suspend service,c3fbb467519ddd4aa91c4ceacc603294,suspend service,start,2024-05-15 07:30:15+02:00
suspend service,c3fbb467519ddd4aa91c4ceacc603294,suspend service,complete,2024-05-15 07:30:18+02:00
customer pays,664aaee4c75f84f7dd35096b5addbc45,customer pays,complete,2024-05-10 03:13:43.790000+02:00
