concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
send invoice,d7376c68b70becebe3aa9cd7c4c7e8ab,send invoice,start,2025-01-01 07:30:00+01:00
send invoice,d7376c68b70becebe3aa9cd7c4c7e8ab,send invoice,complete,2025-01-01 07:30:03+01:00
customer pays,3d87e8f58c979274534dbd5ac6528dd0,customer pays,start,2025-01-01 07:30:03+01:00
wait 7 days,d45da18a58f5f4c44c5f8fba4f618c6b,wait 7 days,start,2025-01-01 07:30:03+01:00
wait 7 days,d45da18a58f5f4c44c5f8fba4f618c6b,wait 7 days,complete,2025-01-08 07:30:03+01:00
debit outstanding amount,f9436ac904ad838f2838c8d9fcc17447,debit outstanding amount,start,2025-01-08 07:30:03+01:00
debit outstanding amount,f9436ac904ad838f2838c8d9fcc17447,debit outstanding amount,complete,2025-01-08 07:30:06+01:00
wait 1 day,32f8c2bd9209c9375899dc21156ac7e3,wait 1 day,start,2025-01-08 07:30:06+01:00
customer pays,3d87e8f58c979274534dbd5ac6528dd0,customer pays,complete,2025-01-02 20:06:03+01:00
wait 1 day,32f8c2bd9209c9375899dc21156ac7e3,wait 1 day,complete,2025-01-09 07:30:06+01:00
notify customer,4d90c10e395d5984d47d5582473ba1b0,notify customer,start,2025-01-09 07:30:06+01:00
notify customer,4d90c10e395d5984d47d5582473ba1b0,notify customer,complete,2025-01-09 07:30:09+01:00
wait 1 day,0f98288dcfb15f4c8afb5fb375a720e5,wait 1 day,start,2025-01-09 07:30:09+01:00
wait 1 day,0f98288dcfb15f4c8afb5fb375a720e5,wait 1 day,complete,2025-01-10 07:30:09+01:00
re-attempt debit outstanding amount,5ad3264dfeaac84277aa87c14cf46b45,re-attempt debit outstanding amount,start,2025-01-10 07:30:09+01:00
re-attempt debit outstanding amount,5ad3264dfeaac84277aa87c14cf46b45,re-attempt debit outstanding amount,complete,2025-01-10 07:30:12+01:00
