concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
send invoice,601d3b8dc8f1e44a8600e6baf5ac46ed,send invoice,start,2023-08-01 07:30:00+02:00
send invoice,601d3b8dc8f1e44a8600e6baf5ac46ed,send invoice,complete,2023-08-01 07:30:03+02:00
wait 7 days,775600d0824f39e13e9b60b7a1dcdde5,wait 7 days,start,2023-08-01 07:30:03+02:00
customer pays,a5400ebcf21efebc3d4443bad9370f09,customer pays,start,2023-08-01 07:30:03+02:00
wait 7 days,775600d0824f39e13e9b60b7a1dcdde5,wait 7 days,complete,2023-08-08 07:30:03+02:00
debit outstanding amount,9ffe5e6c39b43f17aba1b8e6e28281ba,debit outstanding amount,start,2023-08-08 07:30:03+02:00
debit outstanding amount,9ffe5e6c39b43f17aba1b8e6e28281ba,debit outstanding amount,complete,2023-08-08 07:30:06+02:00
wait 1 day,e9f4d6ab796607abdd1268c0256090c7,wait 1 day,start,2023-08-08 07:30:06+02:00
wait 1 day,e9f4d6ab796607abdd1268c0256090c7,wait 1 day,complete,2023-08-09 07:30:06+02:00
notify customer,2b909fc6965da1966f894f72667d406e,notify customer,start,2023-08-09 07:30:06+02:00
notify customer,2b909fc6965da1966f894f72667d406e,notify customer,complete,2023-08-09 07:30:09+02:00
wait 1 day,0c0353de4111f9e4366d54a0d0d562ab,wait 1 day,start,2023-08-09 07:30:09+02:00
wait 1 day,0c0353de4111f9e4366d54a0d0d562ab,wait 1 day,complete,2023-08-10 07:30:09+02:00
re-attempt debit outstanding amount,f715120d7af242c6afb9874f1ba763b9,re-attempt debit outstanding amount,start,2023-08-10 07:30:09+02:00
re-attempt debit outstanding amount,f715120d7af242c6afb9874f1ba763b9,re-attempt debit outstanding amount,complete,2023-08-10 07:30:12+02:00
wait 1 day,01781760bac92a5b57168788dc8cd03e,wait 1 day,start,2023-08-10 07:30:12+02:00
wait 1 day,01781760bac92a5b57168788dc8cd03e,wait 1 day,complete,2023-08-11 07:30:12+02:00
charge late fee,3811325136315f8ee6aad95ad8b78d4a,charge late fee,start,2023-08-11 07:30:12+02:00
charge late fee,3811325136315f8ee6aad95ad8b78d4a,charge late fee,complete,2023-08-11 07:30:15+02:00
wait 4 days,4ca8a8f8a69d83af221772e1956830b3,wait 4 days,start,2023-08-11 07:30:15+02:00
wait 4 days,4ca8a8f8a69d83af221772e1956830b3,wait 4 days,complete,2023-08-15 07:30:15+02:00
suspend service,1fea82e1dce7b7c51173a65b01990958,suspend service,start,2023-08-15 07:30:15+02:00
suspend service,1fea82e1dce7b7c51173a65b01990958,suspend service,complete,2023-08-15 07:30:18+02:00
customer pays,a5400ebcf21efebc3d4443bad9370f09,customer pays,complete,2023-08-07 04:50:12.600000+02:00
