concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
send invoice,45743fbf9139a1a3b24cae2ce68054ca,send invoice,start,2026-04-01 07:30:00+02:00
send invoice,45743fbf9139a1a3b24cae2ce68054ca,send invoice,complete,2026-04-01 07:30:03+02:00
wait 7 days,9f8d5e8cdda8d76b93c4f1e0f38f0786,wait 7 days,start,2026-04-01 07:30:03+02:00
customer pays,fb15f9f49405a0f5e1bb9d38e6bd2da5,customer pays,start,2026-04-01 07:30:03+02:00
wait 7 days,9f8d5e8cdda8d76b93c4f1e0f38f0786,wait 7 days,complete,2026-04-08 07:30:03+02:00
debit outstanding amount,8db202a3ce4fcdd790a2fd6d658e21fe,debit outstanding amount,start,2026-04-08 07:30:03+02:00
debit outstanding amount,8db202a3ce4fcdd790a2fd6d658e21fe,debit outstanding amount,complete,2026-04-08 07:30:06+02:00
wait 1 day,6d66195b4be808884acb9d2100d12411,wait 1 day,start,2026-04-08 07:30:06+02:00
wait 1 day,6d66195b4be808884acb9d2100d12411,wait 1 day,complete,2026-04-09 07:30:06+02:00
notify customer,ce65f846ab2bc43436f7a474747d8083,notify customer,start,2026-04-09 07:30:06+02:00
notify customer,ce65f846ab2bc43436f7a474747d8083,notify customer,complete,2026-04-09 07:30:09+02:00
wait 1 day,82c4fc4f58b2f84be4816211ed480b02,wait 1 day,start,2026-04-09 07:30:09+02:00
wait 1 day,82c4fc4f58b2f84be4816211ed480b02,wait 1 day,complete,2026-04-10 07:30:09+02:00
re-attempt debit outstanding amount,82be75b92d30de7b5755ccb6c1c6637b,re-attempt debit outstanding amount,start,2026-04-10 07:30:09+02:00
re-attempt debit outstanding amount,82be75b92d30de7b5755ccb6c1c6637b,re-attempt debit outstanding amount,complete,2026-04-10 07:30:12+02:00
wait 1 day,e5e7b24666f1f7fcb8e097a6a7487104,wait 1 day,start,2026-04-10 07:30:12+02:00
wait 1 day,e5e7b24666f1f7fcb8e097a6a7487104,wait 1 day,complete,2026-04-11 07:30:12+02:00
charge late fee,00c7c3ebedf594799e89f577faf5ddab,charge late fee,start,2026-04-11 07:30:12+02:00
charge late fee,00c7c3ebedf594799e89f577faf5ddab,charge late fee,complete,2026-04-11 07:30:15+02:00
wait 4 days,341f2f2cee891a1debfde6227a4aa790,wait 4 days,start,2026-04-11 07:30:15+02:00
wait 4 days,341f2f2cee891a1debfde6227a4aa790,wait 4 days,complete,2026-04-15 07:30:15+02:00
suspend service,35e85cf3e8f1953db524a4492f60cc19,suspend service,start,2026-04-15 07:30:15+02:00
suspend service,35e85cf3e8f1953db524a4492f60cc19,suspend service,complete,2026-04-15 07:30:18+02:00
customer pays,fb15f9f49405a0f5e1bb9d38e6bd2da5,customer pays,complete,2026-04-13 00:26:41.390000+02:00
