concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
send invoice,c7ba9637869d1b846d06d366bd88a22c,send invoice,start,2023-10-01 07:30:00+02:00
send invoice,c7ba9637869d1b846d06d366bd88a22c,send invoice,complete,2023-10-01 07:30:03+02:00
wait 7 days,2b82bc5dfbfa1bbf50367d7c8c2a6a25,wait 7 days,start,2023-10-01 07:30:03+02:00
customer pays,84ea2921515b74259ad567251974f05d,customer pays,start,2023-10-01 07:30:03+02:00
wait 7 days,2b82bc5dfbfa1bbf50367d7c8c2a6a25,wait 7 days,complete,2023-10-08 07:30:03+02:00
debit outstanding amount,37ae4b2a16866ab9dff9c8a78a9ae445,debit outstanding amount,start,2023-10-08 07:30:03+02:00
debit outstanding amount,37ae4b2a16866ab9dff9c8a78a9ae445,debit outstanding amount,complete,2023-10-08 07:30:06+02:00
wait 1 day,bbb39e2325f17c2d1958d68930f591b1,wait 1 day,start,2023-10-08 07:30:06+02:00
wait 1 day,bbb39e2325f17c2d1958d68930f591b1,wait 1 day,complete,2023-10-09 07:30:06+02:00
notify customer,497efd7ed152186502a753f6896269cb,notify customer,start,2023-10-09 07:30:06+02:00
notify customer,497efd7ed152186502a753f6896269cb,notify customer,complete,2023-10-09 07:30:09+02:00
wait 1 day,ab1a3530c1b9b547ca46223ac273ca23,wait 1 day,start,2023-10-09 07:30:09+02:00
wait 1 day,ab1a3530c1b9b547ca46223ac273ca23,wait 1 day,complete,2023-10-10 07:30:09+02:00
re-attempt debit outstanding amount,9864953a5220a219a728bb63e61f3daf,re-attempt debit outstanding amount,start,2023-10-10 07:30:09+02:00
re-attempt debit outstanding amount,9864953a5220a219a728bb63e61f3daf,re-attempt debit outstanding amount,complete,2023-10-10 07:30:12+02:00
wait 1 day,75cf7d5421750bc070beb3b6d1171869,wait 1 day,start,2023-10-10 07:30:12+02:00
wait 1 day,75cf7d5421750bc070beb3b6d1171869,wait 1 day,complete,2023-10-11 07:30:12+02:00
charge late fee,3ece86a1800170c680380140eb084188,charge late fee,start,2023-10-11 07:30:12+02:00
charge late fee,3ece86a1800170c680380140eb084188,charge late fee,complete,2023-10-11 07:30:15+02:00
wait 4 days,353a9d82f3a7671ea796db80b579021d,wait 4 days,start,2023-10-11 07:30:15+02:00
customer pays,84ea2921515b74259ad567251974f05d,customer pays,complete,2023-10-06 10:55:58.190000+02:00
wait 4 days,353a9d82f3a7671ea796db80b579021d,wait 4 days,complete,2023-10-15 07:30:15+02:00
suspend service,e8017d6b6ea7154f24c0503cd360fb1d,suspend service,start,2023-10-15 07:30:15+02:00
suspend service,e8017d6b6ea7154f24c0503cd360fb1d,suspend service,complete,2023-10-15 07:30:18+02:00
