concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
send invoice,0c1b4c6602d64321e2b7f1392ef91afc,send invoice,start,2025-08-01 07:30:00+02:00
send invoice,0c1b4c6602d64321e2b7f1392ef91afc,send invoice,complete,2025-08-01 07:30:03+02:00
wait 7 days,273d4d6452b8330f76225acc64a7c231,wait 7 days,start,2025-08-01 07:30:03+02:00
customer pays,4b123c099adb5f713088ae722a63336d,customer pays,start,2025-08-01 07:30:03+02:00
wait 7 days,273d4d6452b8330f76225acc64a7c231,wait 7 days,complete,2025-08-08 07:30:03+02:00
debit outstanding amount,2ff2d65b234eb6b0abc359ec87326446,debit outstanding amount,start,2025-08-08 07:30:03+02:00
debit outstanding amount,2ff2d65b234eb6b0abc359ec87326446,debit outstanding amount,complete,2025-08-08 07:30:06+02:00
wait 1 day,8e0512301f404992b709e60a065cb838,wait 1 day,start,2025-08-08 07:30:06+02:00
wait 1 day,8e0512301f404992b709e60a065cb838,wait 1 day,complete,2025-08-09 07:30:06+02:00
notify customer,4b33a3fc38c028eaae0c1e5c9b4cefc0,notify customer,start,2025-08-09 07:30:06+02:00
notify customer,4b33a3fc38c028eaae0c1e5c9b4cefc0,notify customer,complete,2025-08-09 07:30:09+02:00
wait 1 day,3d3b093ce1c8bd6bc776fb50a62d0602,wait 1 day,start,2025-08-09 07:30:09+02:00
wait 1 day,3d3b093ce1c8bd6bc776fb50a62d0602,wait 1 day,complete,2025-08-10 07:30:09+02:00
re-attempt debit outstanding amount,0a389f5f51107ed976c978b0e54d6847,re-attempt debit outstanding amount,start,2025-08-10 07:30:09+02:00
re-attempt debit outstanding amount,0a389f5f51107ed976c978b0e54d6847,re-attempt debit outstanding amount,complete,2025-08-10 07:30:12+02:00
wait 1 day,47b6a6556239c184e9e29ab72bed3737,wait 1 day,start,2025-08-10 07:30:12+02:00
wait 1 day,47b6a6556239c184e9e29ab72bed3737,wait 1 day,complete,2025-08-11 07:30:12+02:00
charge late fee,7dcfd72f2ce4db3788c0c7e75085fee2,charge late fee,start,2025-08-11 07:30:12+02:00
charge late fee,7dcfd72f2ce4db3788c0c7e75085fee2,charge late fee,complete,2025-08-11 07:30:15+02:00
wait 4 days,81182963f9f8a9ebe1db4797527d83d9,wait 4 days,start,2025-08-11 07:30:15+02:00
wait 4 days,81182963f9f8a9ebe1db4797527d83d9,wait 4 days,complete,2025-08-15 07:30:15+02:00
suspend service,a071538f810940779aac4c33e3eaf455,suspend service,start,2025-08-15 07:30:15+02:00
suspend service,a071538f810940779aac4c33e3eaf455,suspend service,complete,2025-08-15 07:30:18+02:00
customer pays,4b123c099adb5f713088ae722a63336d,customer pays,complete,2025-08-08 13:27:10.200000+02:00
