concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
send invoice,8d9dd407737a2701f1cc08963fd7abcf,send invoice,start,2023-12-01 07:30:00+01:00
send invoice,8d9dd407737a2701f1cc08963fd7abcf,send invoice,complete,2023-12-01 07:30:03+01:00
wait 7 days,8ff7dbb14a4c548fed9d859234db4e3d,wait 7 days,start,2023-12-01 07:30:03+01:00
customer pays,39633b49595499d88ef17f542b5be23d,customer pays,start,2023-12-01 07:30:03+01:00
wait 7 days,8ff7dbb14a4c548fed9d859234db4e3d,wait 7 days,complete,2023-12-08 07:30:03+01:00
debit outstanding amount,e05607147c766c096e46e48a499e338f,debit outstanding amount,start,2023-12-08 07:30:03+01:00
debit outstanding amount,e05607147c766c096e46e48a499e338f,debit outstanding amount,complete,2023-12-08 07:30:06+01:00
wait 1 day,af731fef9cc529e6f049ca478600de84,wait 1 day,start,2023-12-08 07:30:06+01:00
wait 1 day,af731fef9cc529e6f049ca478600de84,wait 1 day,complete,2023-12-09 07:30:06+01:00
notify customer,2b2d2ad4c3634e5c1213dda3c121f02a,notify customer,start,2023-12-09 07:30:06+01:00
notify customer,2b2d2ad4c3634e5c1213dda3c121f02a,notify customer,complete,2023-12-09 07:30:09+01:00
wait 1 day,6ebc05ff77432e063b5f584d73092d06,wait 1 day,start,2023-12-09 07:30:09+01:00
wait 1 day,6ebc05ff77432e063b5f584d73092d06,wait 1 day,complete,2023-12-10 07:30:09+01:00
re-attempt debit outstanding amount,c036148cc794a7ce546a191add41eed5,re-attempt debit outstanding amount,start,2023-12-10 07:30:09+01:00
re-attempt debit outstanding amount,c036148cc794a7ce546a191add41eed5,re-attempt debit outstanding amount,complete,2023-12-10 07:30:12+01:00
wait 1 day,440b454fc6a14e20add8bea6aff54b00,wait 1 day,start,2023-12-10 07:30:12+01:00
wait 1 day,440b454fc6a14e20add8bea6aff54b00,wait 1 day,complete,2023-12-11 07:30:12+01:00
charge late fee,c530bf74b0582a6db6dbec88ea935486,charge late fee,start,2023-12-11 07:30:12+01:00
charge late fee,c530bf74b0582a6db6dbec88ea935486,charge late fee,complete,2023-12-11 07:30:15+01:00
wait 4 days,cd1272719285696fae3abf7cf4f8cef6,wait 4 days,start,2023-12-11 07:30:15+01:00
wait 4 days,cd1272719285696fae3abf7cf4f8cef6,wait 4 days,complete,2023-12-15 07:30:15+01:00
suspend service,38c0547212c876f46c98e92238944f6d,suspend service,start,2023-12-15 07:30:15+01:00
suspend service,38c0547212c876f46c98e92238944f6d,suspend service,complete,2023-12-15 07:30:18+01:00
customer pays,39633b49595499d88ef17f542b5be23d,customer pays,complete,2023-12-13 04:34:22.190000+01:00
