concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
send invoice,0ccb39121a4d9dc618d3a6faee88c7f0,send invoice,start,2026-01-01 07:30:00+01:00
send invoice,0ccb39121a4d9dc618d3a6faee88c7f0,send invoice,complete,2026-01-01 07:30:03+01:00
customer pays,72c8a5f00fc4d0ab78b1616e495eb1f9,customer pays,start,2026-01-01 07:30:03+01:00
wait 7 days,23bce46da384efc8be3453ade39d8251,wait 7 days,start,2026-01-01 07:30:03+01:00
wait 7 days,23bce46da384efc8be3453ade39d8251,wait 7 days,complete,2026-01-08 07:30:03+01:00
debit outstanding amount,905160e4fcb17ae166a97e1f0e07dc58,debit outstanding amount,start,2026-01-08 07:30:03+01:00
debit outstanding amount,905160e4fcb17ae166a97e1f0e07dc58,debit outstanding amount,complete,2026-01-08 07:30:06+01:00
wait 1 day,db96ab73f9f831c2344377670cd3b605,wait 1 day,start,2026-01-08 07:30:06+01:00
wait 1 day,db96ab73f9f831c2344377670cd3b605,wait 1 day,complete,2026-01-09 07:30:06+01:00
notify customer,531cf7ec48adf924b7abb91164b96da0,notify customer,start,2026-01-09 07:30:06+01:00
notify customer,531cf7ec48adf924b7abb91164b96da0,notify customer,complete,2026-01-09 07:30:09+01:00
wait 1 day,3f449bda89f53c0896a1fc7a78ce130e,wait 1 day,start,2026-01-09 07:30:09+01:00
wait 1 day,3f449bda89f53c0896a1fc7a78ce130e,wait 1 day,complete,2026-01-10 07:30:09+01:00
re-attempt debit outstanding amount,2bae6793def54122287f1a78e2db5c39,re-attempt debit outstanding amount,start,2026-01-10 07:30:09+01:00
re-attempt debit outstanding amount,2bae6793def54122287f1a78e2db5c39,re-attempt debit outstanding amount,complete,2026-01-10 07:30:12+01:00
wait 1 day,8bbc0d10bd1ff0e17c84426770014b50,wait 1 day,start,2026-01-10 07:30:12+01:00
wait 1 day,8bbc0d10bd1ff0e17c84426770014b50,wait 1 day,complete,2026-01-11 07:30:12+01:00
charge late fee,90f18406517276fabcf5baf4fbe6e327,charge late fee,start,2026-01-11 07:30:12+01:00
charge late fee,90f18406517276fabcf5baf4fbe6e327,charge late fee,complete,2026-01-11 07:30:15+01:00
wait 4 days,e570bba0bf9cc491761fba319e53958e,wait 4 days,start,2026-01-11 07:30:15+01:00
wait 4 days,e570bba0bf9cc491761fba319e53958e,wait 4 days,complete,2026-01-15 07:30:15+01:00
suspend service,9434e9a10c9f3f62e4db2c2c09b2d559,suspend service,start,2026-01-15 07:30:15+01:00
suspend service,9434e9a10c9f3f62e4db2c2c09b2d559,suspend service,complete,2026-01-15 07:30:18+01:00
customer pays,72c8a5f00fc4d0ab78b1616e495eb1f9,customer pays,complete,2026-01-14 12:45:24.590000+01:00
