concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
send invoice,2ed22d0dacf29bbf50d44ddb5abd2853,send invoice,start,2023-11-01 07:30:00+01:00
send invoice,2ed22d0dacf29bbf50d44ddb5abd2853,send invoice,complete,2023-11-01 07:30:03+01:00
customer pays,ccf97e328eaf2f7c7c3ac0d400362200,customer pays,start,2023-11-01 07:30:03+01:00
wait 7 days,8a40bf87b0671708da090266565c531d,wait 7 days,start,2023-11-01 07:30:03+01:00
wait 7 days,8a40bf87b0671708da090266565c531d,wait 7 days,complete,2023-11-08 07:30:03+01:00
debit outstanding amount,a3503e637ef4c7d6ab7afbe075e1b97e,debit outstanding amount,start,2023-11-08 07:30:03+01:00
debit outstanding amount,a3503e637ef4c7d6ab7afbe075e1b97e,debit outstanding amount,complete,2023-11-08 07:30:06+01:00
wait 1 day,52c838f7ccdd62d440f92a9c5115edc1,wait 1 day,start,2023-11-08 07:30:06+01:00
wait 1 day,52c838f7ccdd62d440f92a9c5115edc1,wait 1 day,complete,2023-11-09 07:30:06+01:00
notify customer,9b7b8339e45257cdc9818b558190c628,notify customer,start,2023-11-09 07:30:06+01:00
notify customer,9b7b8339e45257cdc9818b558190c628,notify customer,complete,2023-11-09 07:30:09+01:00
wait 1 day,190deea60c519ee06cf1992e4d62b570,wait 1 day,start,2023-11-09 07:30:09+01:00
customer pays,ccf97e328eaf2f7c7c3ac0d400362200,customer pays,complete,2023-11-04 12:58:22.200000+01:00
wait 1 day,190deea60c519ee06cf1992e4d62b570,wait 1 day,complete,2023-11-10 07:30:09+01:00
re-attempt debit outstanding amount,8f7b2ad54313908b00ba99dec66afc6c,re-attempt debit outstanding amount,start,2023-11-10 07:30:09+01:00
re-attempt debit outstanding amount,8f7b2ad54313908b00ba99dec66afc6c,re-attempt debit outstanding amount,complete,2023-11-10 07:30:12+01:00
