concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
send invoice,be9dcebfde75cf6746ad6189e05cc935,send invoice,start,2024-09-01 07:30:00+02:00
send invoice,be9dcebfde75cf6746ad6189e05cc935,send invoice,complete,2024-09-01 07:30:03+02:00
customer pays,3e067a386896f6e3aa4e11c8298a895a,customer pays,start,2024-09-01 07:30:03+02:00
wait 7 days,d426e7eb6f7eb05c4826c2fee6972347,wait 7 days,start,2024-09-01 07:30:03+02:00
wait 7 days,d426e7eb6f7eb05c4826c2fee6972347,wait 7 days,complete,2024-09-08 07:30:03+02:00
debit outstanding amount,17ae4d2a5d92577035e5c99cc007d890,debit outstanding amount,start,2024-09-08 07:30:03+02:00
debit outstanding amount,17ae4d2a5d92577035e5c99cc007d890,debit outstanding amount,complete,2024-09-08 07:30:06+02:00
wait 1 day,d7501c0ce2771ed8e774d2cff62b2aa4,wait 1 day,start,2024-09-08 07:30:06+02:00
wait 1 day,d7501c0ce2771ed8e774d2cff62b2aa4,wait 1 day,complete,2024-09-09 07:30:06+02:00
notify customer,c55fdf86375d562eaf43e75e3e077b73,notify customer,start,2024-09-09 07:30:06+02:00
notify customer,c55fdf86375d562eaf43e75e3e077b73,notify customer,complete,2024-09-09 07:30:09+02:00
wait 1 day,7bd7a1903c08785400aba746391b150e,wait 1 day,start,2024-09-09 07:30:09+02:00
wait 1 day,7bd7a1903c08785400aba746391b150e,wait 1 day,complete,2024-09-10 07:30:09+02:00
re-attempt debit outstanding amount,dd9043a3e91a034aecf56cdcf736072d,re-attempt debit outstanding amount,start,2024-09-10 07:30:09+02:00
re-attempt debit outstanding amount,dd9043a3e91a034aecf56cdcf736072d,re-attempt debit outstanding amount,complete,2024-09-10 07:30:12+02:00
wait 1 day,9291e76e3e35e2412d51cf9fc1db56c0,wait 1 day,start,2024-09-10 07:30:12+02:00
wait 1 day,9291e76e3e35e2412d51cf9fc1db56c0,wait 1 day,complete,2024-09-11 07:30:12+02:00
charge late fee,7c48ec96267e0cd829d60de52963dfc1,charge late fee,start,2024-09-11 07:30:12+02:00
charge late fee,7c48ec96267e0cd829d60de52963dfc1,charge late fee,complete,2024-09-11 07:30:15+02:00
wait 4 days,ca7e475ef57d1c722acc36ceeb528def,wait 4 days,start,2024-09-11 07:30:15+02:00
wait 4 days,ca7e475ef57d1c722acc36ceeb528def,wait 4 days,complete,2024-09-15 07:30:15+02:00
suspend service,0ed86ef584c19653e7e4fabe92cd2cff,suspend service,start,2024-09-15 07:30:15+02:00
suspend service,0ed86ef584c19653e7e4fabe92cd2cff,suspend service,complete,2024-09-15 07:30:18+02:00
customer pays,3e067a386896f6e3aa4e11c8298a895a,customer pays,complete,2024-09-10 20:17:34.190000+02:00
