concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
send invoice,46115df867c2898ad5a232219efa0779,send invoice,start,2024-08-01 07:30:00+02:00
send invoice,46115df867c2898ad5a232219efa0779,send invoice,complete,2024-08-01 07:30:03+02:00
wait 7 days,cc8dcb91de8794f43f30bd64b8d3e5fa,wait 7 days,start,2024-08-01 07:30:03+02:00
customer pays,8fdbb471cb40d1b5e3a6a44c5db348a7,customer pays,start,2024-08-01 07:30:03+02:00
wait 7 days,cc8dcb91de8794f43f30bd64b8d3e5fa,wait 7 days,complete,2024-08-08 07:30:03+02:00
debit outstanding amount,bce0b183c9582c9b27c7ab373bff8d13,debit outstanding amount,start,2024-08-08 07:30:03+02:00
debit outstanding amount,bce0b183c9582c9b27c7ab373bff8d13,debit outstanding amount,complete,2024-08-08 07:30:06+02:00
wait 1 day,ea7bf8e2d6fa162a40e57e64cbaad672,wait 1 day,start,2024-08-08 07:30:06+02:00
wait 1 day,ea7bf8e2d6fa162a40e57e64cbaad672,wait 1 day,complete,2024-08-09 07:30:06+02:00
notify customer,4da95bc5e18f132dfb66c6d842dfd01b,notify customer,start,2024-08-09 07:30:06+02:00
notify customer,4da95bc5e18f132dfb66c6d842dfd01b,notify customer,complete,2024-08-09 07:30:09+02:00
wait 1 day,db15ae66126f75b52afadb8eaa2e2adb,wait 1 day,start,2024-08-09 07:30:09+02:00
wait 1 day,db15ae66126f75b52afadb8eaa2e2adb,wait 1 day,complete,2024-08-10 07:30:09+02:00
re-attempt debit outstanding amount,9dc032a2b9b4cc53739c5c6848b41e7e,re-attempt debit outstanding amount,start,2024-08-10 07:30:09+02:00
re-attempt debit outstanding amount,9dc032a2b9b4cc53739c5c6848b41e7e,re-attempt debit outstanding amount,complete,2024-08-10 07:30:12+02:00
wait 1 day,aa035bbeab66c1bf166dd8cd3efadf81,wait 1 day,start,2024-08-10 07:30:12+02:00
wait 1 day,aa035bbeab66c1bf166dd8cd3efadf81,wait 1 day,complete,2024-08-11 07:30:12+02:00
charge late fee,b212aefd0c7a653953aa8dfaf3cbedb7,charge late fee,start,2024-08-11 07:30:12+02:00
charge late fee,b212aefd0c7a653953aa8dfaf3cbedb7,charge late fee,complete,2024-08-11 07:30:15+02:00
wait 4 days,b1c8f9e09f7cdd2b8486e4411e6dff5d,wait 4 days,start,2024-08-11 07:30:15+02:00
wait 4 days,b1c8f9e09f7cdd2b8486e4411e6dff5d,wait 4 days,complete,2024-08-15 07:30:15+02:00
suspend service,f3788c0c9d874d38bc4490076ae359d5,suspend service,start,2024-08-15 07:30:15+02:00
suspend service,f3788c0c9d874d38bc4490076ae359d5,suspend service,complete,2024-08-15 07:30:18+02:00
customer pays,8fdbb471cb40d1b5e3a6a44c5db348a7,customer pays,complete,2024-08-12 13:30:03+02:00
