concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
send invoice,7eccfde138124884af4114455dff4244,send invoice,start,2023-07-01 07:30:00+02:00
send invoice,7eccfde138124884af4114455dff4244,send invoice,complete,2023-07-01 07:30:03+02:00
customer pays,30c8957c667fd1690a263547ef820a69,customer pays,start,2023-07-01 07:30:03+02:00
wait 7 days,774a823d2d7d8e7883781220163468c6,wait 7 days,start,2023-07-01 07:30:03+02:00
wait 7 days,774a823d2d7d8e7883781220163468c6,wait 7 days,complete,2023-07-08 07:30:03+02:00
debit outstanding amount,b6278c9bfda3be26786a643f21d82e97,debit outstanding amount,start,2023-07-08 07:30:03+02:00
debit outstanding amount,b6278c9bfda3be26786a643f21d82e97,debit outstanding amount,complete,2023-07-08 07:30:06+02:00
wait 1 day,5682b0d28b559a631accadc1fcf49eec,wait 1 day,start,2023-07-08 07:30:06+02:00
wait 1 day,5682b0d28b559a631accadc1fcf49eec,wait 1 day,complete,2023-07-09 07:30:06+02:00
notify customer,f312b17192444bb2a5bf5b26b722c089,notify customer,start,2023-07-09 07:30:06+02:00
notify customer,f312b17192444bb2a5bf5b26b722c089,notify customer,complete,2023-07-09 07:30:09+02:00
wait 1 day,551c64b7c4037306e638ad8dcae0b3f3,wait 1 day,start,2023-07-09 07:30:09+02:00
wait 1 day,551c64b7c4037306e638ad8dcae0b3f3,wait 1 day,complete,2023-07-10 07:30:09+02:00
re-attempt debit outstanding amount,d888dd3fbc1fe58e5bd5b476cf99bfd4,re-attempt debit outstanding amount,start,2023-07-10 07:30:09+02:00
re-attempt debit outstanding amount,d888dd3fbc1fe58e5bd5b476cf99bfd4,re-attempt debit outstanding amount,complete,2023-07-10 07:30:12+02:00
wait 1 day,da507167bd9a4b831567193c60d008e8,wait 1 day,start,2023-07-10 07:30:12+02:00
customer pays,30c8957c667fd1690a263547ef820a69,customer pays,complete,2023-07-05 15:55:29.400000+02:00
wait 1 day,da507167bd9a4b831567193c60d008e8,wait 1 day,complete,2023-07-11 07:30:12+02:00
charge late fee,b5a5e35cc83728baf9acca83f1414010,charge late fee,start,2023-07-11 07:30:12+02:00
charge late fee,b5a5e35cc83728baf9acca83f1414010,charge late fee,complete,2023-07-11 07:30:15+02:00
wait 4 days,6d7eb477ac135e5772a4ace1e438fd3b,wait 4 days,start,2023-07-11 07:30:15+02:00
wait 4 days,6d7eb477ac135e5772a4ace1e438fd3b,wait 4 days,complete,2023-07-15 07:30:15+02:00
suspend service,5ec0174d42884d6b152a21f7a073f322,suspend service,start,2023-07-15 07:30:15+02:00
suspend service,5ec0174d42884d6b152a21f7a073f322,suspend service,complete,2023-07-15 07:30:18+02:00
