concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
send invoice,bdc662b518870262149266c296d92b84,send invoice,start,2024-06-01 07:30:00+02:00
send invoice,bdc662b518870262149266c296d92b84,send invoice,complete,2024-06-01 07:30:03+02:00
customer pays,3270f2e9986392fb7cacef986270d5b2,customer pays,start,2024-06-01 07:30:03+02:00
wait 7 days,a89945d2d60ba8f1027fc80fd9f04fc1,wait 7 days,start,2024-06-01 07:30:03+02:00
wait 7 days,a89945d2d60ba8f1027fc80fd9f04fc1,wait 7 days,complete,2024-06-08 07:30:03+02:00
debit outstanding amount,42f65174f91123c76ea31de990f60713,debit outstanding amount,start,2024-06-08 07:30:03+02:00
debit outstanding amount,42f65174f91123c76ea31de990f60713,debit outstanding amount,complete,2024-06-08 07:30:06+02:00
wait 1 day,d071e86574c2d9a60b1299b811ee7803,wait 1 day,start,2024-06-08 07:30:06+02:00
wait 1 day,d071e86574c2d9a60b1299b811ee7803,wait 1 day,complete,2024-06-09 07:30:06+02:00
notify customer,71017c39e8263d1ca5408a37842f3b59,notify customer,start,2024-06-09 07:30:06+02:00
notify customer,71017c39e8263d1ca5408a37842f3b59,notify customer,complete,2024-06-09 07:30:09+02:00
wait 1 day,7402cdcaae75fa5a651af150ca820ffa,wait 1 day,start,2024-06-09 07:30:09+02:00
wait 1 day,7402cdcaae75fa5a651af150ca820ffa,wait 1 day,complete,2024-06-10 07:30:09+02:00
re-attempt debit outstanding amount,b49439ce6de0f41fa62ee70d5f41fb71,re-attempt debit outstanding amount,start,2024-06-10 07:30:09+02:00
re-attempt debit outstanding amount,b49439ce6de0f41fa62ee70d5f41fb71,re-attempt debit outstanding amount,complete,2024-06-10 07:30:12+02:00
wait 1 day,453bbca30e1eea125528722cb553344e,wait 1 day,start,2024-06-10 07:30:12+02:00
wait 1 day,453bbca30e1eea125528722cb553344e,wait 1 day,complete,2024-06-11 07:30:12+02:00
charge late fee,cd9623d743514cc10ea8e9ae99a9adc8,charge late fee,start,2024-06-11 07:30:12+02:00
charge late fee,cd9623d743514cc10ea8e9ae99a9adc8,charge late fee,complete,2024-06-11 07:30:15+02:00
wait 4 days,de83f0697e0ca985a61e3d89a60c4649,wait 4 days,start,2024-06-11 07:30:15+02:00
wait 4 days,de83f0697e0ca985a61e3d89a60c4649,wait 4 days,complete,2024-06-15 07:30:15+02:00
suspend service,5c6669de0a412aacdb235ce982a6b74e,suspend service,start,2024-06-15 07:30:15+02:00
suspend service,5c6669de0a412aacdb235ce982a6b74e,suspend service,complete,2024-06-15 07:30:18+02:00
customer pays,3270f2e9986392fb7cacef986270d5b2,customer pays,complete,2024-06-13 20:19:00.600000+02:00
