concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
send invoice,370881e12bf7ab61a418476be808c5f7,send invoice,start,2026-08-01 07:30:00+02:00
send invoice,370881e12bf7ab61a418476be808c5f7,send invoice,complete,2026-08-01 07:30:03+02:00
customer pays,93533419354f9332d6f7a61cd1776922,customer pays,start,2026-08-01 07:30:03+02:00
wait 7 days,33a31f0c9f667921cef35085fda9c27c,wait 7 days,start,2026-08-01 07:30:03+02:00
wait 7 days,33a31f0c9f667921cef35085fda9c27c,wait 7 days,complete,2026-08-08 07:30:03+02:00
debit outstanding amount,ce40ff61ca601dc8b853c67d6e8272ba,debit outstanding amount,start,2026-08-08 07:30:03+02:00
debit outstanding amount,ce40ff61ca601dc8b853c67d6e8272ba,debit outstanding amount,complete,2026-08-08 07:30:06+02:00
wait 1 day,982a1884800847c2b4ab40bcdef10ec6,wait 1 day,start,2026-08-08 07:30:06+02:00
wait 1 day,982a1884800847c2b4ab40bcdef10ec6,wait 1 day,complete,2026-08-09 07:30:06+02:00
notify customer,d3accfd0ee591d2bd8e9b45d3da1a1d3,notify customer,start,2026-08-09 07:30:06+02:00
notify customer,d3accfd0ee591d2bd8e9b45d3da1a1d3,notify customer,complete,2026-08-09 07:30:09+02:00
wait 1 day,4703d636a80136bfae7ff8baa5ec6c74,wait 1 day,start,2026-08-09 07:30:09+02:00
wait 1 day,4703d636a80136bfae7ff8baa5ec6c74,wait 1 day,complete,2026-08-10 07:30:09+02:00
re-attempt debit outstanding amount,aa80d13737aabb9d4df6c3811e6ca846,re-attempt debit outstanding amount,start,2026-08-10 07:30:09+02:00
re-attempt debit outstanding amount,aa80d13737aabb9d4df6c3811e6ca846,re-attempt debit outstanding amount,complete,2026-08-10 07:30:12+02:00
wait 1 day,af9486e74d3f07195b5043f2d5f488df,wait 1 day,start,2026-08-10 07:30:12+02:00
wait 1 day,af9486e74d3f07195b5043f2d5f488df,wait 1 day,complete,2026-08-11 07:30:12+02:00
charge late fee,8267b23405b8cb3370b9d4bd2241ac7c,charge late fee,start,2026-08-11 07:30:12+02:00
charge late fee,8267b23405b8cb3370b9d4bd2241ac7c,charge late fee,complete,2026-08-11 07:30:15+02:00
wait 4 days,0cc1e6146bdaacb7bd67577df221506f,wait 4 days,start,2026-08-11 07:30:15+02:00
customer pays,93533419354f9332d6f7a61cd1776922,customer pays,complete,2026-08-06 11:44:55.790000+02:00
wait 4 days,0cc1e6146bdaacb7bd67577df221506f,wait 4 days,complete,2026-08-15 07:30:15+02:00
suspend service,d24a3218c9cafe5a48deff2a3d486962,suspend service,start,2026-08-15 07:30:15+02:00
suspend service,d24a3218c9cafe5a48deff2a3d486962,suspend service,complete,2026-08-15 07:30:18+02:00
