concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
send invoice,3b933280703dc5187f4314046fe7e7d1,send invoice,start,2026-11-01 07:30:00+01:00
send invoice,3b933280703dc5187f4314046fe7e7d1,send invoice,complete,2026-11-01 07:30:03+01:00
customer pays,17b181c30ebd9381475f6b74bf9a0b82,customer pays,start,2026-11-01 07:30:03+01:00
wait 7 days,132067ace1eafe899f1530bc3cdfc58e,wait 7 days,start,2026-11-01 07:30:03+01:00
wait 7 days,132067ace1eafe899f1530bc3cdfc58e,wait 7 days,complete,2026-11-08 07:30:03+01:00
debit outstanding amount,999323239239412c3124c64cebb78820,debit outstanding amount,start,2026-11-08 07:30:03+01:00
debit outstanding amount,999323239239412c3124c64cebb78820,debit outstanding amount,complete,2026-11-08 07:30:06+01:00
wait 1 day,c15bc4bd380a3dfd99d93c9ef39a6303,wait 1 day,start,2026-11-08 07:30:06+01:00
wait 1 day,c15bc4bd380a3dfd99d93c9ef39a6303,wait 1 day,complete,2026-11-09 07:30:06+01:00
notify customer,565e71f79ed8c57e3db43a0549cf9911,notify customer,start,2026-11-09 07:30:06+01:00
notify customer,565e71f79ed8c57e3db43a0549cf9911,notify customer,complete,2026-11-09 07:30:09+01:00
wait 1 day,2b60c6e464a90626ec9c377a9f45c5b2,wait 1 day,start,2026-11-09 07:30:09+01:00
wait 1 day,2b60c6e464a90626ec9c377a9f45c5b2,wait 1 day,complete,2026-11-10 07:30:09+01:00
re-attempt debit outstanding amount,85c3f22e4526f622c2fc422886b1a488,re-attempt debit outstanding amount,start,2026-11-10 07:30:09+01:00
re-attempt debit outstanding amount,85c3f22e4526f622c2fc422886b1a488,re-attempt debit outstanding amount,complete,2026-11-10 07:30:12+01:00
wait 1 day,b8db89ddf7e2766968808db28839160e,wait 1 day,start,2026-11-10 07:30:12+01:00
wait 1 day,b8db89ddf7e2766968808db28839160e,wait 1 day,complete,2026-11-11 07:30:12+01:00
charge late fee,74587e6e0f64d5e027d0adb383ce9679,charge late fee,start,2026-11-11 07:30:12+01:00
charge late fee,74587e6e0f64d5e027d0adb383ce9679,charge late fee,complete,2026-11-11 07:30:15+01:00
wait 4 days,a016655aa52fca84f7f9671861003fa0,wait 4 days,start,2026-11-11 07:30:15+01:00
wait 4 days,a016655aa52fca84f7f9671861003fa0,wait 4 days,complete,2026-11-15 07:30:15+01:00
suspend service,a048c4ad01b51a19e5f7e47b0f2651fb,suspend service,start,2026-11-15 07:30:15+01:00
suspend service,a048c4ad01b51a19e5f7e47b0f2651fb,suspend service,complete,2026-11-15 07:30:18+01:00
customer pays,17b181c30ebd9381475f6b74bf9a0b82,customer pays,complete,2026-11-14 09:20:55.800000+01:00
