concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
create meeting folders,3ec916b3bce6af1474535c83b3c18e4c,create meeting folders,start,2022-11-10 07:30:00+01:00
ensure that documents are uploaded,51cb1a3ffafe0599eb7a6c2ebb69e4b0,ensure that documents are uploaded,start,2022-11-10 07:30:00+01:00
update group calendars,0ca09973f9640f43e89cbd8f2cde0b62,update group calendars,start,2022-11-10 07:30:00+01:00
create meeting folders,3ec916b3bce6af1474535c83b3c18e4c,create meeting folders,complete,2022-11-10 08:01:04.790000+01:00
ensure that documents are uploaded,51cb1a3ffafe0599eb7a6c2ebb69e4b0,ensure that documents are uploaded,complete,2022-11-10 07:56:42+01:00
update group calendars,0ca09973f9640f43e89cbd8f2cde0b62,update group calendars,complete,2022-11-10 08:16:40.800000+01:00
wait until 1 week before meeting,4d80d540dfc38f68ec0e41537eb2cd2b,wait until 1 week before meeting,start,2022-11-10 08:16:40.800000+01:00
wait until 1 week before meeting,4d80d540dfc38f68ec0e41537eb2cd2b,wait until 1 week before meeting,complete,2022-11-13 08:16:40.800000+01:00
advise to read related documents,53c1668705d45e4cffdaf06ac38551d6,advise to read related documents,start,2022-11-13 08:16:40.800000+01:00
advise to read related documents,53c1668705d45e4cffdaf06ac38551d6,advise to read related documents,complete,2022-11-13 09:05:31.190000+01:00
wait one week or less,9fe8a1e6455302c8ecff5fc021f4f777,wait one week or less,start,2022-11-13 09:05:31.190000+01:00
wait one week or less,9fe8a1e6455302c8ecff5fc021f4f777,wait one week or less,complete,2022-11-20 09:05:31.190000+01:00
hold meeting,c39b636a7e6483ab5169162cc2a1850c,hold meeting,start,2022-11-20 09:05:31.190000+01:00
hold meeting,c39b636a7e6483ab5169162cc2a1850c,hold meeting,complete,2022-11-20 09:52:55.190000+01:00
produce minutes,17d7a9e8b6984c9ea028adde30868142,produce minutes,start,2022-11-20 09:52:55.190000+01:00
produce minutes,17d7a9e8b6984c9ea028adde30868142,produce minutes,complete,2022-11-20 10:28:47.990000+01:00
conduct QA check on minutes,6f5b1bb6a36399bc0c2c6e6254a7abb1,conduct QA check on minutes,start,2022-11-20 10:28:47.990000+01:00
conduct QA check on minutes,6f5b1bb6a36399bc0c2c6e6254a7abb1,conduct QA check on minutes,complete,2022-11-24 10:28:47.990000+01:00
send minutes to committee members,a818910b73d84c8b6fec0c597462cd13,send minutes to committee members,start,2022-11-24 10:28:47.990000+01:00
send minutes to committee members,a818910b73d84c8b6fec0c597462cd13,send minutes to committee members,complete,2022-11-24 10:33:10.790000+01:00
update departmental records,a6ab6c8cbb8d31536858b4e97eb94782,update departmental records,start,2022-11-24 10:33:10.790000+01:00
update departmental records,a6ab6c8cbb8d31536858b4e97eb94782,update departmental records,complete,2022-11-24 10:58:55.190000+01:00
