concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
update group calendars,f6efd29125aae396234aa1b0b26bb450,update group calendars,start,2022-11-07 07:30:00+01:00
create meeting folders,8d57f0ee3b6c8679038b375b484caae5,create meeting folders,start,2022-11-07 07:30:00+01:00
ensure that documents are uploaded,939341f275bd9c916c842793c47612d8,ensure that documents are uploaded,start,2022-11-07 07:30:00+01:00
update group calendars,f6efd29125aae396234aa1b0b26bb450,update group calendars,complete,2022-11-07 07:51:07.190000+01:00
ensure that documents are uploaded,939341f275bd9c916c842793c47612d8,ensure that documents are uploaded,complete,2022-11-07 07:44:56.390000+01:00
create meeting folders,8d57f0ee3b6c8679038b375b484caae5,create meeting folders,complete,2022-11-07 08:19:30+01:00
wait until 1 week before meeting,95d18f95412cb34763d855c1650f868c,wait until 1 week before meeting,start,2022-11-07 08:19:30+01:00
wait until 1 week before meeting,95d18f95412cb34763d855c1650f868c,wait until 1 week before meeting,complete,2022-11-16 08:19:30+01:00
advise to read related documents,d5f10c4afbb216088b54110f2ec8fcb3,advise to read related documents,start,2022-11-16 08:19:30+01:00
advise to read related documents,d5f10c4afbb216088b54110f2ec8fcb3,advise to read related documents,complete,2022-11-16 10:02:20.390000+01:00
wait one week or less,62ddbd220a6eccc64cdd68534c241af9,wait one week or less,start,2022-11-16 10:02:20.390000+01:00
wait one week or less,62ddbd220a6eccc64cdd68534c241af9,wait one week or less,complete,2022-11-21 10:02:20.390000+01:00
hold meeting,23c6917149f4b8f7131a9181d19e24a2,hold meeting,start,2022-11-21 10:02:20.390000+01:00
hold meeting,23c6917149f4b8f7131a9181d19e24a2,hold meeting,complete,2022-11-21 10:58:33.590000+01:00
produce minutes,60e2cd923420a60ad4d5441e18d2fc04,produce minutes,start,2022-11-21 10:58:33.590000+01:00
produce minutes,60e2cd923420a60ad4d5441e18d2fc04,produce minutes,complete,2022-11-21 11:34:30+01:00
conduct QA check on minutes,f259998417e23068fa0849c2ca6ca3b1,conduct QA check on minutes,start,2022-11-21 11:34:30+01:00
conduct QA check on minutes,f259998417e23068fa0849c2ca6ca3b1,conduct QA check on minutes,complete,2022-11-23 11:34:30+01:00
send minutes to committee members,954642972bf651d0c01896a05e94fc2c,send minutes to committee members,start,2022-11-23 11:34:30+01:00
send minutes to committee members,954642972bf651d0c01896a05e94fc2c,send minutes to committee members,complete,2022-11-23 11:39:28.800000+01:00
update departmental records,6e2aee5772f5335e13be07f77eb28667,update departmental records,start,2022-11-23 11:39:28.800000+01:00
update departmental records,6e2aee5772f5335e13be07f77eb28667,update departmental records,complete,2022-11-23 11:54:54+01:00
