concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
ensure that documents are uploaded,a95c06c79b8aabded8e39ffe2008be83,ensure that documents are uploaded,start,2022-11-15 07:30:00+01:00
update group calendars,2995504f704a26761b66283c48d5c9c2,update group calendars,start,2022-11-15 07:30:00+01:00
create meeting folders,ffe047da6ded7315d76859c185946954,create meeting folders,start,2022-11-15 07:30:00+01:00
update group calendars,2995504f704a26761b66283c48d5c9c2,update group calendars,complete,2022-11-15 07:41:49.200000+01:00
create meeting folders,ffe047da6ded7315d76859c185946954,create meeting folders,complete,2022-11-15 07:36:46.800000+01:00
ensure that documents are uploaded,a95c06c79b8aabded8e39ffe2008be83,ensure that documents are uploaded,complete,2022-11-15 09:09:43.190000+01:00
wait until 1 week before meeting,166f2de36399bce1b1e6798a908debd6,wait until 1 week before meeting,start,2022-11-15 09:09:43.190000+01:00
wait until 1 week before meeting,166f2de36399bce1b1e6798a908debd6,wait until 1 week before meeting,complete,2022-11-19 09:09:43.190000+01:00
advise to read related documents,b1fae2f825f1b17b329a4153a124af86,advise to read related documents,start,2022-11-19 09:09:43.190000+01:00
advise to read related documents,b1fae2f825f1b17b329a4153a124af86,advise to read related documents,complete,2022-11-19 09:54:39.590000+01:00
wait one week or less,8524077c40f47d0828dbfcf790218d3b,wait one week or less,start,2022-11-19 09:54:39.590000+01:00
wait one week or less,8524077c40f47d0828dbfcf790218d3b,wait one week or less,complete,2022-11-26 09:54:39.590000+01:00
hold meeting,dda996b151bffe0baee741418febc445,hold meeting,start,2022-11-26 09:54:39.590000+01:00
hold meeting,dda996b151bffe0baee741418febc445,hold meeting,complete,2022-11-26 10:46:04.790000+01:00
produce minutes,c6abaa67ec315f96770da56cff9f5f0e,produce minutes,start,2022-11-26 10:46:04.790000+01:00
produce minutes,c6abaa67ec315f96770da56cff9f5f0e,produce minutes,complete,2022-11-26 11:09:43.190000+01:00
conduct QA check on minutes,4544644b321fdbe37471bc22901ac83e,conduct QA check on minutes,start,2022-11-26 11:09:43.190000+01:00
conduct QA check on minutes,4544644b321fdbe37471bc22901ac83e,conduct QA check on minutes,complete,2022-11-29 11:09:43.190000+01:00
send minutes to committee members,e40e193c71fbfdbf1900c158d068086c,send minutes to committee members,start,2022-11-29 11:09:43.190000+01:00
send minutes to committee members,e40e193c71fbfdbf1900c158d068086c,send minutes to committee members,complete,2022-11-29 11:25:55.190000+01:00
update departmental records,c34dfb4aa9002e108483c41a9646ba6e,update departmental records,start,2022-11-29 11:25:55.190000+01:00
update departmental records,c34dfb4aa9002e108483c41a9646ba6e,update departmental records,complete,2022-11-29 11:38:56.390000+01:00
