concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
update group calendars,3fb7b56ca493c94461dcfd961e567f1a,update group calendars,start,2022-11-22 07:30:00+01:00
ensure that documents are uploaded,949e7194f23d78a8b73a25ea2ef124e5,ensure that documents are uploaded,start,2022-11-22 07:30:00+01:00
create meeting folders,4c456c3931913e9fdcda18c672f10f84,create meeting folders,start,2022-11-22 07:30:00+01:00
ensure that documents are uploaded,949e7194f23d78a8b73a25ea2ef124e5,ensure that documents are uploaded,complete,2022-11-22 07:41:45.600000+01:00
create meeting folders,4c456c3931913e9fdcda18c672f10f84,create meeting folders,complete,2022-11-22 07:53:13.200000+01:00
update group calendars,3fb7b56ca493c94461dcfd961e567f1a,update group calendars,complete,2022-11-22 08:20:16.790000+01:00
wait until 1 week before meeting,7091f412b0bd5c7df8470b9fbc554e19,wait until 1 week before meeting,start,2022-11-22 08:20:16.790000+01:00
wait until 1 week before meeting,7091f412b0bd5c7df8470b9fbc554e19,wait until 1 week before meeting,complete,2022-11-23 08:20:16.790000+01:00
advise to read related documents,8650ff91e75f4c2e02c530ac68ad9549,advise to read related documents,start,2022-11-23 08:20:16.790000+01:00
advise to read related documents,8650ff91e75f4c2e02c530ac68ad9549,advise to read related documents,complete,2022-11-23 09:11:45.590000+01:00
wait one week or less,ab1461dd426aa46bcafa5149cbe114d8,wait one week or less,start,2022-11-23 09:11:45.590000+01:00
wait one week or less,ab1461dd426aa46bcafa5149cbe114d8,wait one week or less,complete,2022-11-28 09:11:45.590000+01:00
hold meeting,cd8768e5a67be13a49d3d425508678a6,hold meeting,start,2022-11-28 09:11:45.590000+01:00
hold meeting,cd8768e5a67be13a49d3d425508678a6,hold meeting,complete,2022-11-28 10:02:13.190000+01:00
produce minutes,c54823b4850e3c216df450d1897a89e8,produce minutes,start,2022-11-28 10:02:13.190000+01:00
produce minutes,c54823b4850e3c216df450d1897a89e8,produce minutes,complete,2022-11-28 10:06:39.590000+01:00
conduct QA check on minutes,5bb860fd31d05bbd41d502b3cf54591c,conduct QA check on minutes,start,2022-11-28 10:06:39.590000+01:00
conduct QA check on minutes,5bb860fd31d05bbd41d502b3cf54591c,conduct QA check on minutes,complete,2022-11-30 10:06:39.590000+01:00
send minutes to committee members,a1c357dbc5807533f8314f9ec0df54fe,send minutes to committee members,start,2022-11-30 10:06:39.590000+01:00
send minutes to committee members,a1c357dbc5807533f8314f9ec0df54fe,send minutes to committee members,complete,2022-11-30 10:10:44.390000+01:00
update departmental records,0358917ac0191b2e798f0420f8536a1b,update departmental records,start,2022-11-30 10:10:44.390000+01:00
update departmental records,0358917ac0191b2e798f0420f8536a1b,update departmental records,complete,2022-11-30 10:14:38.390000+01:00
