concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
ensure that documents are uploaded,571f1a082180a76df8eb05408ae31b10,ensure that documents are uploaded,start,2022-11-03 07:30:00+01:00
update group calendars,254e9636d02032a786f68fd22b10c062,update group calendars,start,2022-11-03 07:30:00+01:00
create meeting folders,2f00ca4d503de8ee6a14e46cc819a730,create meeting folders,start,2022-11-03 07:30:00+01:00
update group calendars,254e9636d02032a786f68fd22b10c062,update group calendars,complete,2022-11-03 07:42:36+01:00
create meeting folders,2f00ca4d503de8ee6a14e46cc819a730,create meeting folders,complete,2022-11-03 07:49:26.400000+01:00
ensure that documents are uploaded,571f1a082180a76df8eb05408ae31b10,ensure that documents are uploaded,complete,2022-11-03 08:08:24+01:00
wait until 1 week before meeting,1d54252b9b4cd9f8aa1acd67816ca8ff,wait until 1 week before meeting,start,2022-11-03 08:08:24+01:00
wait until 1 week before meeting,1d54252b9b4cd9f8aa1acd67816ca8ff,wait until 1 week before meeting,complete,2022-11-08 08:08:24+01:00
advise to read related documents,b297541c6b5f9c472264c48aa9424784,advise to read related documents,start,2022-11-08 08:08:24+01:00
advise to read related documents,b297541c6b5f9c472264c48aa9424784,advise to read related documents,complete,2022-11-08 08:49:04.800000+01:00
wait one week or less,ba4fb188a0cace11414a7d52416e982b,wait one week or less,start,2022-11-08 08:49:04.800000+01:00
wait one week or less,ba4fb188a0cace11414a7d52416e982b,wait one week or less,complete,2022-11-15 08:49:04.800000+01:00
hold meeting,540499f2e4c9113974faee575e85de56,hold meeting,start,2022-11-15 08:49:04.800000+01:00
hold meeting,540499f2e4c9113974faee575e85de56,hold meeting,complete,2022-11-15 10:06:21.600000+01:00
produce minutes,4564207f3a378dfd82569b8fe1784036,produce minutes,start,2022-11-15 10:06:21.600000+01:00
produce minutes,4564207f3a378dfd82569b8fe1784036,produce minutes,complete,2022-11-15 11:54:10.800000+01:00
conduct QA check on minutes,31359b86de90c5e0ed3ae40588b0e96d,conduct QA check on minutes,start,2022-11-15 11:54:10.800000+01:00
conduct QA check on minutes,31359b86de90c5e0ed3ae40588b0e96d,conduct QA check on minutes,complete,2022-11-17 11:54:10.800000+01:00
send minutes to committee members,a1f22e7e4a155f086bb703439ca0dac1,send minutes to committee members,start,2022-11-17 11:54:10.800000+01:00
send minutes to committee members,a1f22e7e4a155f086bb703439ca0dac1,send minutes to committee members,complete,2022-11-17 11:58:48+01:00
update departmental records,26b29ea813fac842c06a534450b646bb,update departmental records,start,2022-11-17 11:58:48+01:00
update departmental records,26b29ea813fac842c06a534450b646bb,update departmental records,complete,2022-11-17 12:05:45.600000+01:00
