concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
update group calendars,eebb9f8ca25acdc71908069002c392d8,update group calendars,start,2022-11-13 07:30:00+01:00
create meeting folders,2b483a845a4515e06d3865c2bedb9912,create meeting folders,start,2022-11-13 07:30:00+01:00
ensure that documents are uploaded,f624764ac6098d56589069abb3eb8dc6,ensure that documents are uploaded,start,2022-11-13 07:30:00+01:00
create meeting folders,2b483a845a4515e06d3865c2bedb9912,create meeting folders,complete,2022-11-13 07:41:34.800000+01:00
update group calendars,eebb9f8ca25acdc71908069002c392d8,update group calendars,complete,2022-11-13 07:52:01.200000+01:00
ensure that documents are uploaded,f624764ac6098d56589069abb3eb8dc6,ensure that documents are uploaded,complete,2022-11-13 08:13:30+01:00
wait until 1 week before meeting,6f214edc6f7e5439ca3d5e00d84a4437,wait until 1 week before meeting,start,2022-11-13 08:13:30+01:00
wait until 1 week before meeting,6f214edc6f7e5439ca3d5e00d84a4437,wait until 1 week before meeting,complete,2022-11-20 08:13:30+01:00
advise to read related documents,54a215d55bf9c7e197c1e05420706f87,advise to read related documents,start,2022-11-20 08:13:30+01:00
advise to read related documents,54a215d55bf9c7e197c1e05420706f87,advise to read related documents,complete,2022-11-20 08:59:27.590000+01:00
wait one week or less,f329483dadd5f503747b7220829eaecc,wait one week or less,start,2022-11-20 08:59:27.590000+01:00
wait one week or less,f329483dadd5f503747b7220829eaecc,wait one week or less,complete,2022-11-25 08:59:27.590000+01:00
hold meeting,c9dba3e7639722311ed1e640830a5c2b,hold meeting,start,2022-11-25 08:59:27.590000+01:00
hold meeting,c9dba3e7639722311ed1e640830a5c2b,hold meeting,complete,2022-11-25 09:50:34.790000+01:00
produce minutes,196ea5781a4819cfc34ff4bf878c7012,produce minutes,start,2022-11-25 09:50:34.790000+01:00
produce minutes,196ea5781a4819cfc34ff4bf878c7012,produce minutes,complete,2022-11-25 10:14:09.590000+01:00
conduct QA check on minutes,aef3d9e1123984355d722981b6115520,conduct QA check on minutes,start,2022-11-25 10:14:09.590000+01:00
conduct QA check on minutes,aef3d9e1123984355d722981b6115520,conduct QA check on minutes,complete,2022-11-30 10:14:09.590000+01:00
send minutes to committee members,7711e9b19f152e1d250949ac772d371d,send minutes to committee members,start,2022-11-30 10:14:09.590000+01:00
send minutes to committee members,7711e9b19f152e1d250949ac772d371d,send minutes to committee members,complete,2022-11-30 10:18:10.790000+01:00
update departmental records,a028a50a4eb291c87baa7020cff49b78,update departmental records,start,2022-11-30 10:18:10.790000+01:00
update departmental records,a028a50a4eb291c87baa7020cff49b78,update departmental records,complete,2022-11-30 10:30:39.590000+01:00
