concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
ensure that documents are uploaded,6c6e62d4703fb9cd2bc39d39d8dfd896,ensure that documents are uploaded,start,2022-12-20 07:30:00+01:00
create meeting folders,c0d97ae2531357dbc3c816effb3ae7b1,create meeting folders,start,2022-12-20 07:30:00+01:00
update group calendars,2dbfab6452b33b48ee1007733225a674,update group calendars,start,2022-12-20 07:30:00+01:00
update group calendars,2dbfab6452b33b48ee1007733225a674,update group calendars,complete,2022-12-20 07:36:14.390000+01:00
create meeting folders,c0d97ae2531357dbc3c816effb3ae7b1,create meeting folders,complete,2022-12-20 08:06:25.190000+01:00
ensure that documents are uploaded,6c6e62d4703fb9cd2bc39d39d8dfd896,ensure that documents are uploaded,complete,2022-12-20 08:16:01.200000+01:00
wait until 1 week before meeting,f3b12e26da879437e506d62be7a25b46,wait until 1 week before meeting,start,2022-12-20 08:16:01.200000+01:00
wait until 1 week before meeting,f3b12e26da879437e506d62be7a25b46,wait until 1 week before meeting,complete,2022-12-20 08:16:01.200000+01:00
advise to read related documents,b1f2d02c3cd28d52916eccbbc927cbb1,advise to read related documents,start,2022-12-20 08:16:01.200000+01:00
advise to read related documents,b1f2d02c3cd28d52916eccbbc927cbb1,advise to read related documents,complete,2022-12-20 09:39:03.590000+01:00
wait one week or less,a3c67c94496a8f2fed20cf86082fc06e,wait one week or less,start,2022-12-20 09:39:03.590000+01:00
wait one week or less,a3c67c94496a8f2fed20cf86082fc06e,wait one week or less,complete,2022-12-27 09:39:03.590000+01:00
hold meeting,a0f7b45061e8e83558ce55e8c0ba1f36,hold meeting,start,2022-12-27 09:39:03.590000+01:00
hold meeting,a0f7b45061e8e83558ce55e8c0ba1f36,hold meeting,complete,2022-12-27 10:10:37.200000+01:00
produce minutes,8064621fe4f378afd582b4c90e5bfad4,produce minutes,start,2022-12-27 10:10:37.200000+01:00
produce minutes,8064621fe4f378afd582b4c90e5bfad4,produce minutes,complete,2022-12-27 10:46:04.790000+01:00
conduct QA check on minutes,29fa9a88c87e4d6a650f2a2c03cef0bb,conduct QA check on minutes,start,2022-12-27 10:46:04.790000+01:00
conduct QA check on minutes,29fa9a88c87e4d6a650f2a2c03cef0bb,conduct QA check on minutes,complete,2022-12-28 10:46:04.790000+01:00
send minutes to committee members,5422811e20c78a3ae04aebada222ce95,send minutes to committee members,start,2022-12-28 10:46:04.790000+01:00
send minutes to committee members,5422811e20c78a3ae04aebada222ce95,send minutes to committee members,complete,2022-12-28 11:05:49.200000+01:00
update departmental records,e11824d4367bad6fde972cdf0b9db53a,update departmental records,start,2022-12-28 11:05:49.200000+01:00
update departmental records,e11824d4367bad6fde972cdf0b9db53a,update departmental records,complete,2022-12-28 11:10:08.400000+01:00
