concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
ensure that documents are uploaded,cc2d4ed32c64fe0cbdb576f40c40094a,ensure that documents are uploaded,start,2022-12-19 07:30:00+01:00
create meeting folders,89fca1415d49eb4ba0dd5e25d4a5c87d,create meeting folders,start,2022-12-19 07:30:00+01:00
update group calendars,a3d9ae47896694ef9b78d209296a2ed5,update group calendars,start,2022-12-19 07:30:00+01:00
create meeting folders,89fca1415d49eb4ba0dd5e25d4a5c87d,create meeting folders,complete,2022-12-19 08:35:13.190000+01:00
ensure that documents are uploaded,cc2d4ed32c64fe0cbdb576f40c40094a,ensure that documents are uploaded,complete,2022-12-19 09:00:28.800000+01:00
update group calendars,a3d9ae47896694ef9b78d209296a2ed5,update group calendars,complete,2022-12-19 08:51:07.200000+01:00
wait until 1 week before meeting,3c56ed6630bed97ff242a13766cadc26,wait until 1 week before meeting,start,2022-12-19 09:00:28.800000+01:00
wait until 1 week before meeting,3c56ed6630bed97ff242a13766cadc26,wait until 1 week before meeting,complete,2022-12-25 09:00:28.800000+01:00
advise to read related documents,801db987021cf2afcc850296b21f50e4,advise to read related documents,start,2022-12-25 09:00:28.800000+01:00
advise to read related documents,801db987021cf2afcc850296b21f50e4,advise to read related documents,complete,2022-12-25 09:41:16.800000+01:00
wait one week or less,3efa0d9edce8bd4018b985b42e534354,wait one week or less,start,2022-12-25 09:41:16.800000+01:00
wait one week or less,3efa0d9edce8bd4018b985b42e534354,wait one week or less,complete,2023-01-01 09:41:16.800000+01:00
hold meeting,a280946b25b06985dcfa34a629354ff9,hold meeting,start,2023-01-01 09:41:16.800000+01:00
hold meeting,a280946b25b06985dcfa34a629354ff9,hold meeting,complete,2023-01-01 11:23:49.200000+01:00
produce minutes,a39e7b4607e92b3f65896314e8eee630,produce minutes,start,2023-01-01 11:23:49.200000+01:00
produce minutes,a39e7b4607e92b3f65896314e8eee630,produce minutes,complete,2023-01-01 11:48:18+01:00
conduct QA check on minutes,448a0495621621323308a0266df9bb83,conduct QA check on minutes,start,2023-01-01 11:48:18+01:00
conduct QA check on minutes,448a0495621621323308a0266df9bb83,conduct QA check on minutes,complete,2023-01-03 11:48:18+01:00
send minutes to committee members,c24e35c4caf95cbd60ca889b41b5ce6d,send minutes to committee members,start,2023-01-03 11:48:18+01:00
send minutes to committee members,c24e35c4caf95cbd60ca889b41b5ce6d,send minutes to committee members,complete,2023-01-03 11:53:42+01:00
update departmental records,b695b8ce135754afd29ddd3c88746506,update departmental records,start,2023-01-03 11:53:42+01:00
update departmental records,b695b8ce135754afd29ddd3c88746506,update departmental records,complete,2023-01-03 12:08:24+01:00
