concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
create meeting folders,5dfb3eb98d737f2417a042271e8b3ee5,create meeting folders,start,2022-11-16 07:30:00+01:00
update group calendars,467488d259f69828392ed48f20e274da,update group calendars,start,2022-11-16 07:30:00+01:00
ensure that documents are uploaded,d441e6887ddb617823e624871ea5d14b,ensure that documents are uploaded,start,2022-11-16 07:30:00+01:00
update group calendars,467488d259f69828392ed48f20e274da,update group calendars,complete,2022-11-16 07:53:42+01:00
create meeting folders,5dfb3eb98d737f2417a042271e8b3ee5,create meeting folders,complete,2022-11-16 08:02:49.200000+01:00
ensure that documents are uploaded,d441e6887ddb617823e624871ea5d14b,ensure that documents are uploaded,complete,2022-11-16 08:20:42+01:00
wait until 1 week before meeting,85383990af33cc65935b89bece7c8fdc,wait until 1 week before meeting,start,2022-11-16 08:20:42+01:00
wait until 1 week before meeting,85383990af33cc65935b89bece7c8fdc,wait until 1 week before meeting,complete,2022-11-18 08:20:42+01:00
advise to read related documents,6ee36d95b9149631cb4e6be6ce53b86e,advise to read related documents,start,2022-11-18 08:20:42+01:00
advise to read related documents,6ee36d95b9149631cb4e6be6ce53b86e,advise to read related documents,complete,2022-11-18 08:52:33.600000+01:00
wait one week or less,95424d018717d3b779eae4906e783ca3,wait one week or less,start,2022-11-18 08:52:33.600000+01:00
wait one week or less,95424d018717d3b779eae4906e783ca3,wait one week or less,complete,2022-11-25 08:52:33.600000+01:00
hold meeting,00b9c6508dace264fa0593a853eb5e3f,hold meeting,start,2022-11-25 08:52:33.600000+01:00
hold meeting,00b9c6508dace264fa0593a853eb5e3f,hold meeting,complete,2022-11-25 10:47:27.600000+01:00
produce minutes,dff3c24e38061942d6acd364f4dcf8da,produce minutes,start,2022-11-25 10:47:27.600000+01:00
produce minutes,dff3c24e38061942d6acd364f4dcf8da,produce minutes,complete,2022-11-25 11:04:48+01:00
conduct QA check on minutes,0f61433d1dd806f3313e51af9aa5346f,conduct QA check on minutes,start,2022-11-25 11:04:48+01:00
conduct QA check on minutes,0f61433d1dd806f3313e51af9aa5346f,conduct QA check on minutes,complete,2022-11-30 11:04:48+01:00
send minutes to committee members,8fa088f1f86cc0ae2422d2e0cb2a602a,send minutes to committee members,start,2022-11-30 11:04:48+01:00
send minutes to committee members,8fa088f1f86cc0ae2422d2e0cb2a602a,send minutes to committee members,complete,2022-11-30 11:19:40.790000+01:00
update departmental records,e834b0d8e3f6152d40f8c562f74758c0,update departmental records,start,2022-11-30 11:19:40.790000+01:00
update departmental records,e834b0d8e3f6152d40f8c562f74758c0,update departmental records,complete,2022-11-30 11:32:27.590000+01:00
