concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
create meeting folders,77a801fd8504fdeb07232c764e44d8f8,create meeting folders,start,2022-12-08 07:30:00+01:00
update group calendars,2f14e3a5d4cd4f43d666ac74a62d4711,update group calendars,start,2022-12-08 07:30:00+01:00
ensure that documents are uploaded,f3b182c51bb641bc8d2e93fd9058b71f,ensure that documents are uploaded,start,2022-12-08 07:30:00+01:00
update group calendars,2f14e3a5d4cd4f43d666ac74a62d4711,update group calendars,complete,2022-12-08 07:49:51.600000+01:00
create meeting folders,77a801fd8504fdeb07232c764e44d8f8,create meeting folders,complete,2022-12-08 08:00:28.790000+01:00
ensure that documents are uploaded,f3b182c51bb641bc8d2e93fd9058b71f,ensure that documents are uploaded,complete,2022-12-08 07:54:46.790000+01:00
wait until 1 week before meeting,7652e1665a725052a8b62820d5012f39,wait until 1 week before meeting,start,2022-12-08 08:00:28.790000+01:00
wait until 1 week before meeting,7652e1665a725052a8b62820d5012f39,wait until 1 week before meeting,complete,2022-12-13 08:00:28.790000+01:00
advise to read related documents,18bd2ec44f1074b54fb0351c2b94e849,advise to read related documents,start,2022-12-13 08:00:28.790000+01:00
advise to read related documents,18bd2ec44f1074b54fb0351c2b94e849,advise to read related documents,complete,2022-12-13 09:27:43.190000+01:00
wait one week or less,e47f40b6c8a2011535c03166eb5e242e,wait one week or less,start,2022-12-13 09:27:43.190000+01:00
wait one week or less,e47f40b6c8a2011535c03166eb5e242e,wait one week or less,complete,2022-12-20 09:27:43.190000+01:00
hold meeting,eec6898081dac03c4d78677137ee065e,hold meeting,start,2022-12-20 09:27:43.190000+01:00
hold meeting,eec6898081dac03c4d78677137ee065e,hold meeting,complete,2022-12-20 10:47:20.390000+01:00
produce minutes,8d14277420f8f37507bfd99a4e7db5bd,produce minutes,start,2022-12-20 10:47:20.390000+01:00
produce minutes,8d14277420f8f37507bfd99a4e7db5bd,produce minutes,complete,2022-12-20 10:51:28.790000+01:00
conduct QA check on minutes,1bd75e773816af90e59e661857704c32,conduct QA check on minutes,start,2022-12-20 10:51:28.790000+01:00
conduct QA check on minutes,1bd75e773816af90e59e661857704c32,conduct QA check on minutes,complete,2022-12-23 10:51:28.790000+01:00
send minutes to committee members,8f8c3e511c8443d97cd4fff19ce14407,send minutes to committee members,start,2022-12-23 10:51:28.790000+01:00
send minutes to committee members,8f8c3e511c8443d97cd4fff19ce14407,send minutes to committee members,complete,2022-12-23 10:55:40.790000+01:00
update departmental records,dabd8cfdd62816d34f47153b576defa9,update departmental records,start,2022-12-23 10:55:40.790000+01:00
update departmental records,dabd8cfdd62816d34f47153b576defa9,update departmental records,complete,2022-12-23 10:59:56.390000+01:00
