concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
update group calendars,1619ee035cf4b67834d4efe4620e7eab,update group calendars,start,2022-12-10 07:30:00+01:00
ensure that documents are uploaded,16355dab61a91d3828b06dc42b05ab08,ensure that documents are uploaded,start,2022-12-10 07:30:00+01:00
create meeting folders,0a8461eb79a6dce65219a164832db2e3,create meeting folders,start,2022-12-10 07:30:00+01:00
update group calendars,1619ee035cf4b67834d4efe4620e7eab,update group calendars,complete,2022-12-10 07:53:45.600000+01:00
create meeting folders,0a8461eb79a6dce65219a164832db2e3,create meeting folders,complete,2022-12-10 07:58:40.790000+01:00
ensure that documents are uploaded,16355dab61a91d3828b06dc42b05ab08,ensure that documents are uploaded,complete,2022-12-10 08:18:32.400000+01:00
wait until 1 week before meeting,9a7ba7cfa9f94fc0a71c9f7ff81ba55b,wait until 1 week before meeting,start,2022-12-10 08:18:32.400000+01:00
wait until 1 week before meeting,9a7ba7cfa9f94fc0a71c9f7ff81ba55b,wait until 1 week before meeting,complete,2022-12-19 08:18:32.400000+01:00
advise to read related documents,e3789ae9ac1b563a5016993e6bd810fd,advise to read related documents,start,2022-12-19 08:18:32.400000+01:00
advise to read related documents,e3789ae9ac1b563a5016993e6bd810fd,advise to read related documents,complete,2022-12-19 08:51:54+01:00
wait one week or less,583358d893507c1e56eff1d1492bae9a,wait one week or less,start,2022-12-19 08:51:54+01:00
wait one week or less,583358d893507c1e56eff1d1492bae9a,wait one week or less,complete,2022-12-26 08:51:54+01:00
hold meeting,65fbf4de91a371fbdcec93ba613de23e,hold meeting,start,2022-12-26 08:51:54+01:00
hold meeting,65fbf4de91a371fbdcec93ba613de23e,hold meeting,complete,2022-12-26 10:39:18+01:00
produce minutes,f038ef848771e39e749830e6e673a444,produce minutes,start,2022-12-26 10:39:18+01:00
produce minutes,f038ef848771e39e749830e6e673a444,produce minutes,complete,2022-12-26 11:20:38.390000+01:00
conduct QA check on minutes,b6b475be2631b5c2e35d40f72000f651,conduct QA check on minutes,start,2022-12-26 11:20:38.390000+01:00
conduct QA check on minutes,b6b475be2631b5c2e35d40f72000f651,conduct QA check on minutes,complete,2022-12-29 11:20:38.390000+01:00
send minutes to committee members,99f9314db2a86f0140e3e49722c64260,send minutes to committee members,start,2022-12-29 11:20:38.390000+01:00
send minutes to committee members,99f9314db2a86f0140e3e49722c64260,send minutes to committee members,complete,2022-12-29 11:25:08.390000+01:00
update departmental records,9da32ab5f6c433e83cfdce1f067f444f,update departmental records,start,2022-12-29 11:25:08.390000+01:00
update departmental records,9da32ab5f6c433e83cfdce1f067f444f,update departmental records,complete,2022-12-29 11:29:49.190000+01:00
