concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
update group calendars,79d8a6aa0d9076ff07e32eea57d1499d,update group calendars,start,2022-11-02 07:30:00+01:00
create meeting folders,1df09be82a9e4d6069c023dcdc2b5093,create meeting folders,start,2022-11-02 07:30:00+01:00
ensure that documents are uploaded,b4ccbcbb3ea5e1f5989b5a959583c1b0,ensure that documents are uploaded,start,2022-11-02 07:30:00+01:00
ensure that documents are uploaded,b4ccbcbb3ea5e1f5989b5a959583c1b0,ensure that documents are uploaded,complete,2022-11-02 07:48:14.390000+01:00
update group calendars,79d8a6aa0d9076ff07e32eea57d1499d,update group calendars,complete,2022-11-02 08:05:27.590000+01:00
create meeting folders,1df09be82a9e4d6069c023dcdc2b5093,create meeting folders,complete,2022-11-02 08:31:12+01:00
wait until 1 week before meeting,f3b593a4c4dd37b034bfcc16abfda99f,wait until 1 week before meeting,start,2022-11-02 08:31:12+01:00
wait until 1 week before meeting,f3b593a4c4dd37b034bfcc16abfda99f,wait until 1 week before meeting,complete,2022-11-11 08:31:12+01:00
advise to read related documents,a10a6f1cc3690eb5400ae9f8298175d0,advise to read related documents,start,2022-11-11 08:31:12+01:00
advise to read related documents,a10a6f1cc3690eb5400ae9f8298175d0,advise to read related documents,complete,2022-11-11 10:22:26.400000+01:00
wait one week or less,079284b814000b1d47d95c597477d0ac,wait one week or less,start,2022-11-11 10:22:26.400000+01:00
wait one week or less,079284b814000b1d47d95c597477d0ac,wait one week or less,complete,2022-11-18 10:22:26.400000+01:00
hold meeting,46a23a67eb2fa037ae767d9e1f772b1b,hold meeting,start,2022-11-18 10:22:26.400000+01:00
hold meeting,46a23a67eb2fa037ae767d9e1f772b1b,hold meeting,complete,2022-11-18 11:34:30+01:00
produce minutes,f5378539e2d32f5daa701a25b6c4a4f5,produce minutes,start,2022-11-18 11:34:30+01:00
produce minutes,f5378539e2d32f5daa701a25b6c4a4f5,produce minutes,complete,2022-11-18 12:01:33.600000+01:00
conduct QA check on minutes,4ba6d7a9a388c526c65b761be149f980,conduct QA check on minutes,start,2022-11-18 12:01:33.600000+01:00
conduct QA check on minutes,4ba6d7a9a388c526c65b761be149f980,conduct QA check on minutes,complete,2022-11-20 12:01:33.600000+01:00
send minutes to committee members,1895d653de4766b1173567552da10db9,send minutes to committee members,start,2022-11-20 12:01:33.600000+01:00
send minutes to committee members,1895d653de4766b1173567552da10db9,send minutes to committee members,complete,2022-11-20 12:06:25.200000+01:00
update departmental records,13aa1a398ec39709481a84de7d527bfe,update departmental records,start,2022-11-20 12:06:25.200000+01:00
update departmental records,13aa1a398ec39709481a84de7d527bfe,update departmental records,complete,2022-11-20 12:21:07.200000+01:00
