concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
update group calendars,9843b33fbad5e2a06b1fab4d160a1161,update group calendars,start,2022-12-13 07:30:00+01:00
create meeting folders,3aae7e897b10cc89d0fc0578869130b4,create meeting folders,start,2022-12-13 07:30:00+01:00
ensure that documents are uploaded,e453f8d40655f9ceb55bcea96ef34e4e,ensure that documents are uploaded,start,2022-12-13 07:30:00+01:00
create meeting folders,3aae7e897b10cc89d0fc0578869130b4,create meeting folders,complete,2022-12-13 07:48:28.790000+01:00
update group calendars,9843b33fbad5e2a06b1fab4d160a1161,update group calendars,complete,2022-12-13 08:25:40.800000+01:00
ensure that documents are uploaded,e453f8d40655f9ceb55bcea96ef34e4e,ensure that documents are uploaded,complete,2022-12-13 08:12:28.790000+01:00
wait until 1 week before meeting,3135d3e989166cf8fba84adb5dc5ab64,wait until 1 week before meeting,start,2022-12-13 08:25:40.800000+01:00
wait until 1 week before meeting,3135d3e989166cf8fba84adb5dc5ab64,wait until 1 week before meeting,complete,2022-12-13 08:25:40.800000+01:00
advise to read related documents,bf8421777090c6bbc79955dbbeba6f53,advise to read related documents,start,2022-12-13 08:25:40.800000+01:00
advise to read related documents,bf8421777090c6bbc79955dbbeba6f53,advise to read related documents,complete,2022-12-13 09:33:03.600000+01:00
wait one week or less,d57b15207eb4249776fac1fd13ed5133,wait one week or less,start,2022-12-13 09:33:03.600000+01:00
wait one week or less,d57b15207eb4249776fac1fd13ed5133,wait one week or less,complete,2022-12-18 09:33:03.600000+01:00
hold meeting,7d71b370ea346967ffc1901af0812176,hold meeting,start,2022-12-18 09:33:03.600000+01:00
hold meeting,7d71b370ea346967ffc1901af0812176,hold meeting,complete,2022-12-18 10:26:24+01:00
produce minutes,7d2c2275a86201db72ecfbac9ff96485,produce minutes,start,2022-12-18 10:26:24+01:00
produce minutes,7d2c2275a86201db72ecfbac9ff96485,produce minutes,complete,2022-12-18 10:39:07.200000+01:00
conduct QA check on minutes,11c19f84e788570ebead75372e8d7042,conduct QA check on minutes,start,2022-12-18 10:39:07.200000+01:00
conduct QA check on minutes,11c19f84e788570ebead75372e8d7042,conduct QA check on minutes,complete,2022-12-19 10:39:07.200000+01:00
send minutes to committee members,229e8079f7dd6e8780d029ac4c6e0dbe,send minutes to committee members,start,2022-12-19 10:39:07.200000+01:00
send minutes to committee members,229e8079f7dd6e8780d029ac4c6e0dbe,send minutes to committee members,complete,2022-12-19 10:45:25.200000+01:00
update departmental records,71945a96e3874c93da2ac0f7378287e4,update departmental records,start,2022-12-19 10:45:25.200000+01:00
update departmental records,71945a96e3874c93da2ac0f7378287e4,update departmental records,complete,2022-12-19 11:04:37.200000+01:00
