concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
create meeting folders,dbff4461eca7165f984898f2dfcd449c,create meeting folders,start,2022-12-05 07:30:00+01:00
update group calendars,59f5804c3ee8dd5cd38a9fb822bab1f1,update group calendars,start,2022-12-05 07:30:00+01:00
ensure that documents are uploaded,30f047c7666bef82df1254c66dea946f,ensure that documents are uploaded,start,2022-12-05 07:30:00+01:00
update group calendars,59f5804c3ee8dd5cd38a9fb822bab1f1,update group calendars,complete,2022-12-05 08:07:15.590000+01:00
create meeting folders,dbff4461eca7165f984898f2dfcd449c,create meeting folders,complete,2022-12-05 09:00:00+01:00
ensure that documents are uploaded,30f047c7666bef82df1254c66dea946f,ensure that documents are uploaded,complete,2022-12-05 08:56:27.600000+01:00
wait until 1 week before meeting,3da9d681b5f96b3fb3f53f1c2cfe616a,wait until 1 week before meeting,start,2022-12-05 09:00:00+01:00
wait until 1 week before meeting,3da9d681b5f96b3fb3f53f1c2cfe616a,wait until 1 week before meeting,complete,2022-12-06 09:00:00+01:00
advise to read related documents,3e86a434c5a09d62f4f3bd0ec720d6d5,advise to read related documents,start,2022-12-06 09:00:00+01:00
advise to read related documents,3e86a434c5a09d62f4f3bd0ec720d6d5,advise to read related documents,complete,2022-12-06 09:43:22.790000+01:00
wait one week or less,acfc312a5040f291a742e8fc3b0838fd,wait one week or less,start,2022-12-06 09:43:22.790000+01:00
wait one week or less,acfc312a5040f291a742e8fc3b0838fd,wait one week or less,complete,2022-12-12 09:43:22.790000+01:00
hold meeting,c1a59052ea81140e6d2c00098ff4ab67,hold meeting,start,2022-12-12 09:43:22.790000+01:00
hold meeting,c1a59052ea81140e6d2c00098ff4ab67,hold meeting,complete,2022-12-12 10:40:22.790000+01:00
produce minutes,34939b93a429d1bf1df86f188a15d7c3,produce minutes,start,2022-12-12 10:40:22.790000+01:00
produce minutes,34939b93a429d1bf1df86f188a15d7c3,produce minutes,complete,2022-12-12 11:04:01.190000+01:00
conduct QA check on minutes,b61e6f1f02a55b19311f91d235e9fcf4,conduct QA check on minutes,start,2022-12-12 11:04:01.190000+01:00
conduct QA check on minutes,b61e6f1f02a55b19311f91d235e9fcf4,conduct QA check on minutes,complete,2022-12-15 11:04:01.190000+01:00
send minutes to committee members,306005487712e077ed55d2e8c46ef77a,send minutes to committee members,start,2022-12-15 11:04:01.190000+01:00
send minutes to committee members,306005487712e077ed55d2e8c46ef77a,send minutes to committee members,complete,2022-12-15 11:17:59.990000+01:00
update departmental records,f8e18200da4e0482e24e2ac6281ae7ac,update departmental records,start,2022-12-15 11:17:59.990000+01:00
update departmental records,f8e18200da4e0482e24e2ac6281ae7ac,update departmental records,complete,2022-12-15 11:46:22.790000+01:00
