concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
update group calendars,82e9d67fc81b7c65021763e8c8595e40,update group calendars,start,2022-12-04 07:30:00+01:00
ensure that documents are uploaded,b0f849fe5dae47cba3d3169f25898b28,ensure that documents are uploaded,start,2022-12-04 07:30:00+01:00
create meeting folders,f988808e36d32b954f43f475a8ee0f76,create meeting folders,start,2022-12-04 07:30:00+01:00
create meeting folders,f988808e36d32b954f43f475a8ee0f76,create meeting folders,complete,2022-12-04 07:35:13.190000+01:00
ensure that documents are uploaded,b0f849fe5dae47cba3d3169f25898b28,ensure that documents are uploaded,complete,2022-12-04 08:01:19.200000+01:00
update group calendars,82e9d67fc81b7c65021763e8c8595e40,update group calendars,complete,2022-12-04 08:25:04.800000+01:00
wait until 1 week before meeting,9fa100ce123ae2eeec6e0de7b2458a10,wait until 1 week before meeting,start,2022-12-04 08:25:04.800000+01:00
wait until 1 week before meeting,9fa100ce123ae2eeec6e0de7b2458a10,wait until 1 week before meeting,complete,2022-12-04 08:25:04.800000+01:00
advise to read related documents,0d8b744cbf35e34318619ce778c6a9bc,advise to read related documents,start,2022-12-04 08:25:04.800000+01:00
advise to read related documents,0d8b744cbf35e34318619ce778c6a9bc,advise to read related documents,complete,2022-12-04 09:08:20.400000+01:00
wait one week or less,8e78ab5c3a6b444421dda329b2ec54cc,wait one week or less,start,2022-12-04 09:08:20.400000+01:00
wait one week or less,8e78ab5c3a6b444421dda329b2ec54cc,wait one week or less,complete,2022-12-11 09:08:20.400000+01:00
hold meeting,c8ec09db38eb240ea4bee740bffeda8e,hold meeting,start,2022-12-11 09:08:20.400000+01:00
hold meeting,c8ec09db38eb240ea4bee740bffeda8e,hold meeting,complete,2022-12-11 10:18:21.590000+01:00
produce minutes,aafb658bad8c9a516870b2e3dcc4cb37,produce minutes,start,2022-12-11 10:18:21.590000+01:00
produce minutes,aafb658bad8c9a516870b2e3dcc4cb37,produce minutes,complete,2022-12-11 11:25:04.800000+01:00
conduct QA check on minutes,42c291282e13a05bc8dac3b24620cfee,conduct QA check on minutes,start,2022-12-11 11:25:04.800000+01:00
conduct QA check on minutes,42c291282e13a05bc8dac3b24620cfee,conduct QA check on minutes,complete,2022-12-14 11:25:04.800000+01:00
send minutes to committee members,7d07365fe1ed3741b9453c3e421a1028,send minutes to committee members,start,2022-12-14 11:25:04.800000+01:00
send minutes to committee members,7d07365fe1ed3741b9453c3e421a1028,send minutes to committee members,complete,2022-12-14 11:59:49.190000+01:00
update departmental records,6dd4893339387143e699698811371d4e,update departmental records,start,2022-12-14 11:59:49.190000+01:00
update departmental records,6dd4893339387143e699698811371d4e,update departmental records,complete,2022-12-14 12:04:11.990000+01:00
