concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
update group calendars,e14aed3eacbfd57383c041a3f4b4b5b3,update group calendars,start,2022-11-20 07:30:00+01:00
create meeting folders,e370f2a8ecbd3a4f67a71365bf116932,create meeting folders,start,2022-11-20 07:30:00+01:00
ensure that documents are uploaded,2a97b60aa1fb98bde041b37956473ddc,ensure that documents are uploaded,start,2022-11-20 07:30:00+01:00
ensure that documents are uploaded,2a97b60aa1fb98bde041b37956473ddc,ensure that documents are uploaded,complete,2022-11-20 07:38:02.400000+01:00
update group calendars,e14aed3eacbfd57383c041a3f4b4b5b3,update group calendars,complete,2022-11-20 08:02:09.600000+01:00
create meeting folders,e370f2a8ecbd3a4f67a71365bf116932,create meeting folders,complete,2022-11-20 08:25:15.600000+01:00
wait until 1 week before meeting,6d05e8d4405c5f9ad95c07ee77915f2e,wait until 1 week before meeting,start,2022-11-20 08:25:15.600000+01:00
wait until 1 week before meeting,6d05e8d4405c5f9ad95c07ee77915f2e,wait until 1 week before meeting,complete,2022-11-20 08:25:15.600000+01:00
advise to read related documents,ce1f510664471757276d6199d96c7580,advise to read related documents,start,2022-11-20 08:25:15.600000+01:00
advise to read related documents,ce1f510664471757276d6199d96c7580,advise to read related documents,complete,2022-11-20 09:39:07.200000+01:00
wait one week or less,af82cb36f9e77ad3c1a38e4351ca03d0,wait one week or less,start,2022-11-20 09:39:07.200000+01:00
wait one week or less,af82cb36f9e77ad3c1a38e4351ca03d0,wait one week or less,complete,2022-11-26 09:39:07.200000+01:00
hold meeting,bb4c33e69f80d84f3185dcc6e6fba4db,hold meeting,start,2022-11-26 09:39:07.200000+01:00
hold meeting,bb4c33e69f80d84f3185dcc6e6fba4db,hold meeting,complete,2022-11-26 10:25:58.800000+01:00
produce minutes,e88373c7f27f555fb3b3b6f7b569a163,produce minutes,start,2022-11-26 10:25:58.800000+01:00
produce minutes,e88373c7f27f555fb3b3b6f7b569a163,produce minutes,complete,2022-11-26 10:57:39.600000+01:00
conduct QA check on minutes,a7b1d890af2b660ae9b1b1efcff8d61e,conduct QA check on minutes,start,2022-11-26 10:57:39.600000+01:00
conduct QA check on minutes,a7b1d890af2b660ae9b1b1efcff8d61e,conduct QA check on minutes,complete,2022-11-28 10:57:39.600000+01:00
send minutes to committee members,44c913fcc699b79d72b6793c2c171345,send minutes to committee members,start,2022-11-28 10:57:39.600000+01:00
send minutes to committee members,44c913fcc699b79d72b6793c2c171345,send minutes to committee members,complete,2022-11-28 11:01:40.800000+01:00
update departmental records,56741907993f1bd8b5a35d9663a552e0,update departmental records,start,2022-11-28 11:01:40.800000+01:00
update departmental records,56741907993f1bd8b5a35d9663a552e0,update departmental records,complete,2022-11-28 11:05:42+01:00
