concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
ensure that documents are uploaded,c18360d9949602425959dc224489482c,ensure that documents are uploaded,start,2022-12-14 07:30:00+01:00
update group calendars,fa5b2fda3382c5dc0527c29b89fe6e29,update group calendars,start,2022-12-14 07:30:00+01:00
create meeting folders,1c10be637e6e7aafa39fe434481bed83,create meeting folders,start,2022-12-14 07:30:00+01:00
create meeting folders,1c10be637e6e7aafa39fe434481bed83,create meeting folders,complete,2022-12-14 07:34:12+01:00
ensure that documents are uploaded,c18360d9949602425959dc224489482c,ensure that documents are uploaded,complete,2022-12-14 09:12:28.800000+01:00
update group calendars,fa5b2fda3382c5dc0527c29b89fe6e29,update group calendars,complete,2022-12-14 09:07:40.790000+01:00
wait until 1 week before meeting,ae79ac33a4ce8835ff596c7eecb977ec,wait until 1 week before meeting,start,2022-12-14 09:12:28.800000+01:00
wait until 1 week before meeting,ae79ac33a4ce8835ff596c7eecb977ec,wait until 1 week before meeting,complete,2022-12-17 09:12:28.800000+01:00
advise to read related documents,c98ad638a9f7c0379c4ad9852962dcdd,advise to read related documents,start,2022-12-17 09:12:28.800000+01:00
advise to read related documents,c98ad638a9f7c0379c4ad9852962dcdd,advise to read related documents,complete,2022-12-17 09:56:27.590000+01:00
wait one week or less,1bb8e481a421d85c7a28644d6e44d3ae,wait one week or less,start,2022-12-17 09:56:27.590000+01:00
wait one week or less,1bb8e481a421d85c7a28644d6e44d3ae,wait one week or less,complete,2022-12-24 09:56:27.590000+01:00
hold meeting,cee78f6252c81baae78edfeb5855b558,hold meeting,start,2022-12-24 09:56:27.590000+01:00
hold meeting,cee78f6252c81baae78edfeb5855b558,hold meeting,complete,2022-12-24 10:27:57.590000+01:00
produce minutes,75f56abd5f8467306a7c6e332777d767,produce minutes,start,2022-12-24 10:27:57.590000+01:00
produce minutes,75f56abd5f8467306a7c6e332777d767,produce minutes,complete,2022-12-24 11:26:42+01:00
conduct QA check on minutes,bb8e7fb8bfaf05d646e6ad078a221d0b,conduct QA check on minutes,start,2022-12-24 11:26:42+01:00
conduct QA check on minutes,bb8e7fb8bfaf05d646e6ad078a221d0b,conduct QA check on minutes,complete,2022-12-29 11:26:42+01:00
send minutes to committee members,b7f5ecb7f128cc2ff2fac0add26e08fd,send minutes to committee members,start,2022-12-29 11:26:42+01:00
send minutes to committee members,b7f5ecb7f128cc2ff2fac0add26e08fd,send minutes to committee members,complete,2022-12-29 11:30:46.800000+01:00
update departmental records,adad36803b513fa4ed67970ac8f19100,update departmental records,start,2022-12-29 11:30:46.800000+01:00
update departmental records,adad36803b513fa4ed67970ac8f19100,update departmental records,complete,2022-12-29 11:36:36+01:00
