concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
create meeting folders,107b3825ae2dbf7e46a20393d2fc2ddc,create meeting folders,start,2022-11-09 07:30:00+01:00
update group calendars,4d3e264111aed08c8393b4f90b2ec842,update group calendars,start,2022-11-09 07:30:00+01:00
ensure that documents are uploaded,78bc5efcc24f5b797d85fbc2988c1b55,ensure that documents are uploaded,start,2022-11-09 07:30:00+01:00
update group calendars,4d3e264111aed08c8393b4f90b2ec842,update group calendars,complete,2022-11-09 08:02:42+01:00
create meeting folders,107b3825ae2dbf7e46a20393d2fc2ddc,create meeting folders,complete,2022-11-09 08:12:00+01:00
ensure that documents are uploaded,78bc5efcc24f5b797d85fbc2988c1b55,ensure that documents are uploaded,complete,2022-11-09 08:32:41.990000+01:00
wait until 1 week before meeting,6871f7c9fca7dca608f2f497f70baf22,wait until 1 week before meeting,start,2022-11-09 08:32:41.990000+01:00
wait until 1 week before meeting,6871f7c9fca7dca608f2f497f70baf22,wait until 1 week before meeting,complete,2022-11-16 08:32:41.990000+01:00
advise to read related documents,1450f62206f19f86c60b97e03031e2a2,advise to read related documents,start,2022-11-16 08:32:41.990000+01:00
advise to read related documents,1450f62206f19f86c60b97e03031e2a2,advise to read related documents,complete,2022-11-16 09:08:38.390000+01:00
wait one week or less,d07051a89f9fc6098f47c30dc97083ab,wait one week or less,start,2022-11-16 09:08:38.390000+01:00
wait one week or less,d07051a89f9fc6098f47c30dc97083ab,wait one week or less,complete,2022-11-23 09:08:38.390000+01:00
hold meeting,afad6eafd17944ae43b6a48ec608b61e,hold meeting,start,2022-11-23 09:08:38.390000+01:00
hold meeting,afad6eafd17944ae43b6a48ec608b61e,hold meeting,complete,2022-11-23 10:40:01.190000+01:00
produce minutes,5de0d3e8353c6cf1e88fc9c8e73c1667,produce minutes,start,2022-11-23 10:40:01.190000+01:00
produce minutes,5de0d3e8353c6cf1e88fc9c8e73c1667,produce minutes,complete,2022-11-23 11:20:20.390000+01:00
conduct QA check on minutes,3f5dbd6f1bce6c80cccfdf5344bda688,conduct QA check on minutes,start,2022-11-23 11:20:20.390000+01:00
conduct QA check on minutes,3f5dbd6f1bce6c80cccfdf5344bda688,conduct QA check on minutes,complete,2022-11-28 11:20:20.390000+01:00
send minutes to committee members,5e2af61f377fc799f6bf429967f1f4c7,send minutes to committee members,start,2022-11-28 11:20:20.390000+01:00
send minutes to committee members,5e2af61f377fc799f6bf429967f1f4c7,send minutes to committee members,complete,2022-11-28 11:24:32.390000+01:00
update departmental records,3f789a3b927687e927da5edad1679319,update departmental records,start,2022-11-28 11:24:32.390000+01:00
update departmental records,3f789a3b927687e927da5edad1679319,update departmental records,complete,2022-11-28 11:31:44.390000+01:00
