concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
update group calendars,92f506b272f3da2bb459ef189bd8b5a3,update group calendars,start,2022-11-14 07:30:00+01:00
create meeting folders,a63ca643d36d2c76d4035c3a1f4bc000,create meeting folders,start,2022-11-14 07:30:00+01:00
ensure that documents are uploaded,5867a8fe5e591230d7ad806ef924468a,ensure that documents are uploaded,start,2022-11-14 07:30:00+01:00
create meeting folders,a63ca643d36d2c76d4035c3a1f4bc000,create meeting folders,complete,2022-11-14 08:10:48+01:00
update group calendars,92f506b272f3da2bb459ef189bd8b5a3,update group calendars,complete,2022-11-14 08:44:42+01:00
ensure that documents are uploaded,5867a8fe5e591230d7ad806ef924468a,ensure that documents are uploaded,complete,2022-11-14 08:33:07.200000+01:00
wait until 1 week before meeting,e832bdcac58e5f7ea516c2e6a60c2b52,wait until 1 week before meeting,start,2022-11-14 08:44:42+01:00
wait until 1 week before meeting,e832bdcac58e5f7ea516c2e6a60c2b52,wait until 1 week before meeting,complete,2022-11-16 08:44:42+01:00
advise to read related documents,991fba55ce2afca1442026ab69f9c023,advise to read related documents,start,2022-11-16 08:44:42+01:00
advise to read related documents,991fba55ce2afca1442026ab69f9c023,advise to read related documents,complete,2022-11-16 09:27:46.790000+01:00
wait one week or less,3bf442637a3a106792772f5d55ba6b44,wait one week or less,start,2022-11-16 09:27:46.790000+01:00
wait one week or less,3bf442637a3a106792772f5d55ba6b44,wait one week or less,complete,2022-11-23 09:27:46.790000+01:00
hold meeting,caf31e4d8657e40eb7c9c5592947ae67,hold meeting,start,2022-11-23 09:27:46.790000+01:00
hold meeting,caf31e4d8657e40eb7c9c5592947ae67,hold meeting,complete,2022-11-23 10:55:58.790000+01:00
produce minutes,7491af2696e860a00c5840267bf393fd,produce minutes,start,2022-11-23 10:55:58.790000+01:00
produce minutes,7491af2696e860a00c5840267bf393fd,produce minutes,complete,2022-11-23 12:17:34.790000+01:00
conduct QA check on minutes,2eb6c41cc2674121cbbb86bcb1e0078c,conduct QA check on minutes,start,2022-11-23 12:17:34.790000+01:00
conduct QA check on minutes,2eb6c41cc2674121cbbb86bcb1e0078c,conduct QA check on minutes,complete,2022-11-28 12:17:34.790000+01:00
send minutes to committee members,a58b172cfddd4775b0899875cc5c63df,send minutes to committee members,start,2022-11-28 12:17:34.790000+01:00
send minutes to committee members,a58b172cfddd4775b0899875cc5c63df,send minutes to committee members,complete,2022-11-28 12:32:16.790000+01:00
update departmental records,3417c4b20c63004d3a2736e51daa1058,update departmental records,start,2022-11-28 12:32:16.790000+01:00
update departmental records,3417c4b20c63004d3a2736e51daa1058,update departmental records,complete,2022-11-28 12:50:23.990000+01:00
