concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
update group calendars,5efd958c14b3bb4446f1915881cddd51,update group calendars,start,2022-12-06 07:30:00+01:00
ensure that documents are uploaded,14d0cf4cdc4f5b090302dfac7f912e20,ensure that documents are uploaded,start,2022-12-06 07:30:00+01:00
create meeting folders,072615c7a342d8956d58edec6c34220b,create meeting folders,start,2022-12-06 07:30:00+01:00
ensure that documents are uploaded,14d0cf4cdc4f5b090302dfac7f912e20,ensure that documents are uploaded,complete,2022-12-06 08:19:44.390000+01:00
update group calendars,5efd958c14b3bb4446f1915881cddd51,update group calendars,complete,2022-12-06 08:34:15.590000+01:00
create meeting folders,072615c7a342d8956d58edec6c34220b,create meeting folders,complete,2022-12-06 08:21:50.400000+01:00
wait until 1 week before meeting,d2e79c5a9c0466cadd4ab0d813c0c855,wait until 1 week before meeting,start,2022-12-06 08:34:15.590000+01:00
wait until 1 week before meeting,d2e79c5a9c0466cadd4ab0d813c0c855,wait until 1 week before meeting,complete,2022-12-06 08:34:15.590000+01:00
advise to read related documents,dd7165219bc98c617f8910a0a05d3093,advise to read related documents,start,2022-12-06 08:34:15.590000+01:00
advise to read related documents,dd7165219bc98c617f8910a0a05d3093,advise to read related documents,complete,2022-12-06 09:17:42+01:00
wait one week or less,ee00dbdb1b5f3a795b7a3df8e3dd50d8,wait one week or less,start,2022-12-06 09:17:42+01:00
wait one week or less,ee00dbdb1b5f3a795b7a3df8e3dd50d8,wait one week or less,complete,2022-12-12 09:17:42+01:00
hold meeting,29968e9de85e798e66f34f5d47c0912e,hold meeting,start,2022-12-12 09:17:42+01:00
hold meeting,29968e9de85e798e66f34f5d47c0912e,hold meeting,complete,2022-12-12 10:32:38.400000+01:00
produce minutes,7eedb92e5fa73b85fdb7c844c66f4771,produce minutes,start,2022-12-12 10:32:38.400000+01:00
produce minutes,7eedb92e5fa73b85fdb7c844c66f4771,produce minutes,complete,2022-12-12 10:37:08.400000+01:00
conduct QA check on minutes,9d5785fa9d2a2304c904d04b7b7cb79e,conduct QA check on minutes,start,2022-12-12 10:37:08.400000+01:00
conduct QA check on minutes,9d5785fa9d2a2304c904d04b7b7cb79e,conduct QA check on minutes,complete,2022-12-13 10:37:08.400000+01:00
send minutes to committee members,168055327b20290053d8158aa08a7310,send minutes to committee members,start,2022-12-13 10:37:08.400000+01:00
send minutes to committee members,168055327b20290053d8158aa08a7310,send minutes to committee members,complete,2022-12-13 10:53:13.200000+01:00
update departmental records,5651f0aa707d6a804d4d0385aac29fac,update departmental records,start,2022-12-13 10:53:13.200000+01:00
update departmental records,5651f0aa707d6a804d4d0385aac29fac,update departmental records,complete,2022-12-13 11:16:08.400000+01:00
