concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
ensure that documents are uploaded,378dfe69273ca9e63d4180650af35b93,ensure that documents are uploaded,start,2022-11-18 07:30:00+01:00
update group calendars,bb8329ca6fd9a3ca50601f62106536da,update group calendars,start,2022-11-18 07:30:00+01:00
create meeting folders,dee3dc59cc7156951c67e161ae90a354,create meeting folders,start,2022-11-18 07:30:00+01:00
create meeting folders,dee3dc59cc7156951c67e161ae90a354,create meeting folders,complete,2022-11-18 07:34:04.800000+01:00
ensure that documents are uploaded,378dfe69273ca9e63d4180650af35b93,ensure that documents are uploaded,complete,2022-11-18 08:03:10.800000+01:00
update group calendars,bb8329ca6fd9a3ca50601f62106536da,update group calendars,complete,2022-11-18 07:57:50.400000+01:00
wait until 1 week before meeting,d621bab4c219c7ddb9e13ac954cfd10f,wait until 1 week before meeting,start,2022-11-18 08:03:10.800000+01:00
wait until 1 week before meeting,d621bab4c219c7ddb9e13ac954cfd10f,wait until 1 week before meeting,complete,2022-11-26 08:03:10.800000+01:00
advise to read related documents,d51a9c3511df410d92c6e095cff855fe,advise to read related documents,start,2022-11-26 08:03:10.800000+01:00
advise to read related documents,d51a9c3511df410d92c6e095cff855fe,advise to read related documents,complete,2022-11-26 08:41:13.200000+01:00
wait one week or less,dafafbd708fcb3ad769e2483a13cf262,wait one week or less,start,2022-11-26 08:41:13.200000+01:00
wait one week or less,dafafbd708fcb3ad769e2483a13cf262,wait one week or less,complete,2022-12-02 08:41:13.200000+01:00
hold meeting,d04ac34735df2fff8f93558265ad3278,hold meeting,start,2022-12-02 08:41:13.200000+01:00
hold meeting,d04ac34735df2fff8f93558265ad3278,hold meeting,complete,2022-12-02 10:37:44.400000+01:00
produce minutes,5055ad3caf5c2d28ef59e8ffe92e0454,produce minutes,start,2022-12-02 10:37:44.400000+01:00
produce minutes,5055ad3caf5c2d28ef59e8ffe92e0454,produce minutes,complete,2022-12-02 10:54:25.200000+01:00
conduct QA check on minutes,8f9cff7b7bd94d41b1fd243d27c89c1e,conduct QA check on minutes,start,2022-12-02 10:54:25.200000+01:00
conduct QA check on minutes,8f9cff7b7bd94d41b1fd243d27c89c1e,conduct QA check on minutes,complete,2022-12-05 10:54:25.200000+01:00
send minutes to committee members,fd967e94e768bc103d2bb51c28c7b5fd,send minutes to committee members,start,2022-12-05 10:54:25.200000+01:00
send minutes to committee members,fd967e94e768bc103d2bb51c28c7b5fd,send minutes to committee members,complete,2022-12-05 10:58:22.800000+01:00
update departmental records,a99ca9e993dff9dfdfdc873738e87074,update departmental records,start,2022-12-05 10:58:22.800000+01:00
update departmental records,a99ca9e993dff9dfdfdc873738e87074,update departmental records,complete,2022-12-05 11:02:24+01:00
