concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
create meeting folders,c64f9ecd71d5a4b33854b966a8084809,create meeting folders,start,2022-11-05 07:30:00+01:00
ensure that documents are uploaded,bbd1b30728cb9533110da046babf47bd,ensure that documents are uploaded,start,2022-11-05 07:30:00+01:00
update group calendars,bcb4a1ff38909f23a50b79a6692be2aa,update group calendars,start,2022-11-05 07:30:00+01:00
create meeting folders,c64f9ecd71d5a4b33854b966a8084809,create meeting folders,complete,2022-11-05 07:50:52.790000+01:00
ensure that documents are uploaded,bbd1b30728cb9533110da046babf47bd,ensure that documents are uploaded,complete,2022-11-05 07:59:31.200000+01:00
update group calendars,bcb4a1ff38909f23a50b79a6692be2aa,update group calendars,complete,2022-11-05 08:21:43.190000+01:00
wait until 1 week before meeting,fb6a5cd4bb49d1af0cadace4b2f41490,wait until 1 week before meeting,start,2022-11-05 08:21:43.190000+01:00
wait until 1 week before meeting,fb6a5cd4bb49d1af0cadace4b2f41490,wait until 1 week before meeting,complete,2022-11-14 08:21:43.190000+01:00
advise to read related documents,3541f3b17bc45c9574ffd9ff400b312c,advise to read related documents,start,2022-11-14 08:21:43.190000+01:00
advise to read related documents,3541f3b17bc45c9574ffd9ff400b312c,advise to read related documents,complete,2022-11-14 09:16:12+01:00
wait one week or less,ffc6df639eebd0e96f19a1f6722b993c,wait one week or less,start,2022-11-14 09:16:12+01:00
wait one week or less,ffc6df639eebd0e96f19a1f6722b993c,wait one week or less,complete,2022-11-21 09:16:12+01:00
hold meeting,f7483e756012e6a257e0d3425f42b4e1,hold meeting,start,2022-11-21 09:16:12+01:00
hold meeting,f7483e756012e6a257e0d3425f42b4e1,hold meeting,complete,2022-11-21 10:19:44.390000+01:00
produce minutes,3bf482344a078b7e082cbaaee9622d56,produce minutes,start,2022-11-21 10:19:44.390000+01:00
produce minutes,3bf482344a078b7e082cbaaee9622d56,produce minutes,complete,2022-11-21 10:56:52.790000+01:00
conduct QA check on minutes,5839d6bf8937ccc60ead37f678a6a4c7,conduct QA check on minutes,start,2022-11-21 10:56:52.790000+01:00
conduct QA check on minutes,5839d6bf8937ccc60ead37f678a6a4c7,conduct QA check on minutes,complete,2022-11-26 10:56:52.790000+01:00
send minutes to committee members,9016964ac245dc7bbebe8403b82010d3,send minutes to committee members,start,2022-11-26 10:56:52.790000+01:00
send minutes to committee members,9016964ac245dc7bbebe8403b82010d3,send minutes to committee members,complete,2022-11-26 11:00:50.390000+01:00
update departmental records,d560b250ae8da7ed1b42ca4a980dcaaf,update departmental records,start,2022-11-26 11:00:50.390000+01:00
update departmental records,d560b250ae8da7ed1b42ca4a980dcaaf,update departmental records,complete,2022-11-26 11:14:27.590000+01:00
