"concept:name","cpee:activity_uuid","concept:name","lifecycle:transition","shift:timestamp"
"create meeting folders","cb7129b510bc6c8c6afe195e81b684f5","create meeting folders","start","2022-11-25 07:30:00+01:00"
"update group calendars","d52bbf1a12f519884e72f8f1256af791","update group calendars","start","2022-11-25 07:30:00+01:00"
"ensure that documents are uploaded","c34c29e538eb92b437326f19072b6824","ensure that documents are uploaded","start","2022-11-25 07:30:00+01:00"
"update group calendars","d52bbf1a12f519884e72f8f1256af791","update group calendars","complete","2022-11-25 07:44:02.400000+01:00"
"create meeting folders","cb7129b510bc6c8c6afe195e81b684f5","create meeting folders","complete","2022-11-25 07:52:58.790000+01:00"
"ensure that documents are uploaded","c34c29e538eb92b437326f19072b6824","ensure that documents are uploaded","complete","2022-11-25 08:10:58.800000+01:00"
"wait until 1 week before meeting","660ceea7a305425889bdeb4f021117be","wait until 1 week before meeting","start","2022-11-25 08:10:58.800000+01:00"
"wait until 1 week before meeting","660ceea7a305425889bdeb4f021117be","wait until 1 week before meeting","complete","2022-12-01 08:10:58.800000+01:00"
"advise to read related documents","c5624f2542b3fa362f3d7ba638b32245","advise to read related documents","start","2022-12-01 08:10:58.800000+01:00"
"advise to read related documents","c5624f2542b3fa362f3d7ba638b32245","advise to read related documents","complete","2022-12-01 08:52:55.190000+01:00"
"wait one week or less","e0c1b2705e9c8a39b78eff86cfc90ec3","wait one week or less","start","2022-12-01 08:52:55.190000+01:00"
"wait one week or less","e0c1b2705e9c8a39b78eff86cfc90ec3","wait one week or less","complete","2022-12-08 08:52:55.190000+01:00"
"hold meeting","3c9e655b50685496c0dfc270f11a51fe","hold meeting","start","2022-12-08 08:52:55.190000+01:00"
"hold meeting","3c9e655b50685496c0dfc270f11a51fe","hold meeting","complete","2022-12-08 10:06:43.190000+01:00"
"produce minutes","d5a1c9533f689200266089c75f11f62d","produce minutes","start","2022-12-08 10:06:43.190000+01:00"
"produce minutes","d5a1c9533f689200266089c75f11f62d","produce minutes","complete","2022-12-08 10:58:22.790000+01:00"
"conduct QA check on minutes","49ed121c2d127570030e63d5abbc88b3","conduct QA check on minutes","start","2022-12-08 10:58:22.790000+01:00"
"conduct QA check on minutes","49ed121c2d127570030e63d5abbc88b3","conduct QA check on minutes","complete","2022-12-13 10:58:22.790000+01:00"
"send minutes to committee members","ce3893ceec0ddd644d0eecf6a0f8922d","send minutes to committee members","start","2022-12-13 10:58:22.790000+01:00"
"send minutes to committee members","ce3893ceec0ddd644d0eecf6a0f8922d","send minutes to committee members","complete","2022-12-13 11:11:05.990000+01:00"
"update departmental records","45cc18e92bd57004430e52f1ba5f9712","update departmental records","start","2022-12-13 11:11:05.990000+01:00"
"update departmental records","45cc18e92bd57004430e52f1ba5f9712","update departmental records","complete","2022-12-13 11:40:19.190000+01:00"
