concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
create meeting folders,ccb417b71c0023b018b5f560c0ef4ec6,create meeting folders,start,2022-11-30 07:30:00+01:00
update group calendars,99493f9ec5cfe7bb5ee805525b6c4115,update group calendars,start,2022-11-30 07:30:00+01:00
ensure that documents are uploaded,e66412928e8ad1972f4d88dab5e7c8a4,ensure that documents are uploaded,start,2022-11-30 07:30:00+01:00
update group calendars,99493f9ec5cfe7bb5ee805525b6c4115,update group calendars,complete,2022-11-30 08:00:28.790000+01:00
ensure that documents are uploaded,e66412928e8ad1972f4d88dab5e7c8a4,ensure that documents are uploaded,complete,2022-11-30 07:55:48+01:00
create meeting folders,ccb417b71c0023b018b5f560c0ef4ec6,create meeting folders,complete,2022-11-30 08:11:09.600000+01:00
wait until 1 week before meeting,cccf29a7fb0e07298aade427a30e4d67,wait until 1 week before meeting,start,2022-11-30 08:11:09.600000+01:00
wait until 1 week before meeting,cccf29a7fb0e07298aade427a30e4d67,wait until 1 week before meeting,complete,2022-12-06 08:11:09.600000+01:00
advise to read related documents,fb0d26d3e04996d817810efdd6448aa9,advise to read related documents,start,2022-12-06 08:11:09.600000+01:00
advise to read related documents,fb0d26d3e04996d817810efdd6448aa9,advise to read related documents,complete,2022-12-06 08:49:22.800000+01:00
wait one week or less,29808b845e41ff7c8b769cb0eae8a00a,wait one week or less,start,2022-12-06 08:49:22.800000+01:00
wait one week or less,29808b845e41ff7c8b769cb0eae8a00a,wait one week or less,complete,2022-12-13 08:49:22.800000+01:00
hold meeting,a7702d9e0b587f3f7091c91ff661ef64,hold meeting,start,2022-12-13 08:49:22.800000+01:00
hold meeting,a7702d9e0b587f3f7091c91ff661ef64,hold meeting,complete,2022-12-13 10:33:03.600000+01:00
produce minutes,2d3b51cb6524f4e56ce86d551c416014,produce minutes,start,2022-12-13 10:33:03.600000+01:00
produce minutes,2d3b51cb6524f4e56ce86d551c416014,produce minutes,complete,2022-12-13 11:37:01.200000+01:00
conduct QA check on minutes,8d4fb9145102dd9dcd67a6e45bc6a160,conduct QA check on minutes,start,2022-12-13 11:37:01.200000+01:00
conduct QA check on minutes,8d4fb9145102dd9dcd67a6e45bc6a160,conduct QA check on minutes,complete,2022-12-18 11:37:01.200000+01:00
send minutes to committee members,1688d0b7d8204087db0bb525d4510469,send minutes to committee members,start,2022-12-18 11:37:01.200000+01:00
send minutes to committee members,1688d0b7d8204087db0bb525d4510469,send minutes to committee members,complete,2022-12-18 11:41:13.200000+01:00
update departmental records,370c832a7700290a36b36d0babbcdcae,update departmental records,start,2022-12-18 11:41:13.200000+01:00
update departmental records,370c832a7700290a36b36d0babbcdcae,update departmental records,complete,2022-12-18 11:45:10.800000+01:00
