concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
update group calendars,21482ce009cf1489d2c2feb9de3b44b3,update group calendars,start,2022-12-11 07:30:00+01:00
ensure that documents are uploaded,f36124319e75028a64e2fac112235d0c,ensure that documents are uploaded,start,2022-12-11 07:30:00+01:00
create meeting folders,60e4e3044b4f476fbcd4189a690b35a1,create meeting folders,start,2022-12-11 07:30:00+01:00
create meeting folders,60e4e3044b4f476fbcd4189a690b35a1,create meeting folders,complete,2022-12-11 07:55:51.590000+01:00
update group calendars,21482ce009cf1489d2c2feb9de3b44b3,update group calendars,complete,2022-12-11 08:13:26.400000+01:00
ensure that documents are uploaded,f36124319e75028a64e2fac112235d0c,ensure that documents are uploaded,complete,2022-12-11 08:08:13.190000+01:00
wait until 1 week before meeting,a528d9ed6683ab1f5ef99e331a4a574f,wait until 1 week before meeting,start,2022-12-11 08:13:26.400000+01:00
wait until 1 week before meeting,a528d9ed6683ab1f5ef99e331a4a574f,wait until 1 week before meeting,complete,2022-12-18 08:13:26.400000+01:00
advise to read related documents,fbb52c848ffa347a6880859b7132c4f5,advise to read related documents,start,2022-12-18 08:13:26.400000+01:00
advise to read related documents,fbb52c848ffa347a6880859b7132c4f5,advise to read related documents,complete,2022-12-18 08:57:54+01:00
wait one week or less,135b1745d8a14ba27588e5f2df35ff46,wait one week or less,start,2022-12-18 08:57:54+01:00
wait one week or less,135b1745d8a14ba27588e5f2df35ff46,wait one week or less,complete,2022-12-25 08:57:54+01:00
hold meeting,d098822d397e3cc2cde2c7f80f09fc4d,hold meeting,start,2022-12-25 08:57:54+01:00
hold meeting,d098822d397e3cc2cde2c7f80f09fc4d,hold meeting,complete,2022-12-25 10:00:32.400000+01:00
produce minutes,4ebf59c4b9d9e9f145b749fe9f60c614,produce minutes,start,2022-12-25 10:00:32.400000+01:00
produce minutes,4ebf59c4b9d9e9f145b749fe9f60c614,produce minutes,complete,2022-12-25 10:04:51.600000+01:00
conduct QA check on minutes,cd9f0595b3ff25db9f3c61d577197a31,conduct QA check on minutes,start,2022-12-25 10:04:51.600000+01:00
conduct QA check on minutes,cd9f0595b3ff25db9f3c61d577197a31,conduct QA check on minutes,complete,2022-12-28 10:04:51.600000+01:00
send minutes to committee members,161ff54548b5f32e4f31ba98ab0337b7,send minutes to committee members,start,2022-12-28 10:04:51.600000+01:00
send minutes to committee members,161ff54548b5f32e4f31ba98ab0337b7,send minutes to committee members,complete,2022-12-28 10:09:07.200000+01:00
update departmental records,1576361726a4e861b234e54234707328,update departmental records,start,2022-12-28 10:09:07.200000+01:00
update departmental records,1576361726a4e861b234e54234707328,update departmental records,complete,2022-12-28 10:22:22.800000+01:00
