concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
create meeting folders,7938b6605e5652ac1835a2949daa81b1,create meeting folders,start,2022-12-12 07:30:00+01:00
update group calendars,85ab52d7679fb185794ca5b19367ac90,update group calendars,start,2022-12-12 07:30:00+01:00
ensure that documents are uploaded,8a11f04a26fbb2897968eef26881663a,ensure that documents are uploaded,start,2022-12-12 07:30:00+01:00
ensure that documents are uploaded,8a11f04a26fbb2897968eef26881663a,ensure that documents are uploaded,complete,2022-12-12 07:35:06+01:00
update group calendars,85ab52d7679fb185794ca5b19367ac90,update group calendars,complete,2022-12-12 07:59:24+01:00
create meeting folders,7938b6605e5652ac1835a2949daa81b1,create meeting folders,complete,2022-12-12 08:09:00+01:00
wait until 1 week before meeting,79e9026fd0628016fccc4bd71d75b987,wait until 1 week before meeting,start,2022-12-12 08:09:00+01:00
wait until 1 week before meeting,79e9026fd0628016fccc4bd71d75b987,wait until 1 week before meeting,complete,2022-12-13 08:09:00+01:00
advise to read related documents,7c1f2bb8c51d3009c340409d51fd2127,advise to read related documents,start,2022-12-13 08:09:00+01:00
advise to read related documents,7c1f2bb8c51d3009c340409d51fd2127,advise to read related documents,complete,2022-12-13 09:00:18+01:00
wait one week or less,5f69e9b064ed2b807fd8ff412038873f,wait one week or less,start,2022-12-13 09:00:18+01:00
wait one week or less,5f69e9b064ed2b807fd8ff412038873f,wait one week or less,complete,2022-12-20 09:00:18+01:00
hold meeting,e225e13a92f5ec856c3011d8ab969e4d,hold meeting,start,2022-12-20 09:00:18+01:00
hold meeting,e225e13a92f5ec856c3011d8ab969e4d,hold meeting,complete,2022-12-20 09:32:09.600000+01:00
produce minutes,be72d280d1e4cb8b99d84acefdd72844,produce minutes,start,2022-12-20 09:32:09.600000+01:00
produce minutes,be72d280d1e4cb8b99d84acefdd72844,produce minutes,complete,2022-12-20 10:09:32.400000+01:00
conduct QA check on minutes,217012bfc90e97eb0c0b8a139108eb96,conduct QA check on minutes,start,2022-12-20 10:09:32.400000+01:00
conduct QA check on minutes,217012bfc90e97eb0c0b8a139108eb96,conduct QA check on minutes,complete,2022-12-23 10:09:32.400000+01:00
send minutes to committee members,095b7c096e62a24fbac9815ab5c0e912,send minutes to committee members,start,2022-12-23 10:09:32.400000+01:00
send minutes to committee members,095b7c096e62a24fbac9815ab5c0e912,send minutes to committee members,complete,2022-12-23 10:13:55.200000+01:00
update departmental records,b175a16641502e3a5b3ddb1dad0319fd,update departmental records,start,2022-12-23 10:13:55.200000+01:00
update departmental records,b175a16641502e3a5b3ddb1dad0319fd,update departmental records,complete,2022-12-23 10:18:32.400000+01:00
