concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
update group calendars,8a8821d78c1282c7744f7b53e7558557,update group calendars,start,2022-11-06 07:30:00+01:00
ensure that documents are uploaded,6cb0dd805ab0d96357a004fcd159ef6e,ensure that documents are uploaded,start,2022-11-06 07:30:00+01:00
create meeting folders,06ae2957f25afe2b8e307c9b84f521c5,create meeting folders,start,2022-11-06 07:30:00+01:00
ensure that documents are uploaded,6cb0dd805ab0d96357a004fcd159ef6e,ensure that documents are uploaded,complete,2022-11-06 07:55:19.200000+01:00
create meeting folders,06ae2957f25afe2b8e307c9b84f521c5,create meeting folders,complete,2022-11-06 07:50:20.400000+01:00
update group calendars,8a8821d78c1282c7744f7b53e7558557,update group calendars,complete,2022-11-06 08:49:19.190000+01:00
wait until 1 week before meeting,84ce2ee72cde5ac06c4f9487bd85815b,wait until 1 week before meeting,start,2022-11-06 08:49:19.190000+01:00
wait until 1 week before meeting,84ce2ee72cde5ac06c4f9487bd85815b,wait until 1 week before meeting,complete,2022-11-10 08:49:19.190000+01:00
advise to read related documents,1a49e518e6382f6c715de84020cf21ca,advise to read related documents,start,2022-11-10 08:49:19.190000+01:00
advise to read related documents,1a49e518e6382f6c715de84020cf21ca,advise to read related documents,complete,2022-11-10 09:33:10.790000+01:00
wait one week or less,bf273ce59a07e0e28b592553b4672dc7,wait one week or less,start,2022-11-10 09:33:10.790000+01:00
wait one week or less,bf273ce59a07e0e28b592553b4672dc7,wait one week or less,complete,2022-11-17 09:33:10.790000+01:00
hold meeting,e0785c876eeaa3d885a639dd62173f0e,hold meeting,start,2022-11-17 09:33:10.790000+01:00
hold meeting,e0785c876eeaa3d885a639dd62173f0e,hold meeting,complete,2022-11-17 10:18:14.390000+01:00
produce minutes,2aade6a0161593f0883ecbe274319bc8,produce minutes,start,2022-11-17 10:18:14.390000+01:00
produce minutes,2aade6a0161593f0883ecbe274319bc8,produce minutes,complete,2022-11-17 10:33:21.590000+01:00
conduct QA check on minutes,534b3b6af0a76a16545446d427ca45f4,conduct QA check on minutes,start,2022-11-17 10:33:21.590000+01:00
conduct QA check on minutes,534b3b6af0a76a16545446d427ca45f4,conduct QA check on minutes,complete,2022-11-21 10:33:21.590000+01:00
send minutes to committee members,d26d4c99b287eddafe394eb7c1715367,send minutes to committee members,start,2022-11-21 10:33:21.590000+01:00
send minutes to committee members,d26d4c99b287eddafe394eb7c1715367,send minutes to committee members,complete,2022-11-21 10:53:59.990000+01:00
update departmental records,f052ce140ffcd85ad22d0b923323cefc,update departmental records,start,2022-11-21 10:53:59.990000+01:00
update departmental records,f052ce140ffcd85ad22d0b923323cefc,update departmental records,complete,2022-11-21 10:58:44.390000+01:00
