concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
create meeting folders,e8b53b3f1782b9886b909f432abcab83,create meeting folders,start,2022-12-09 07:30:00+01:00
ensure that documents are uploaded,1f1a02115819ef14bf6867eda2e613b2,ensure that documents are uploaded,start,2022-12-09 07:30:00+01:00
update group calendars,6273b1fcfdcc7cc7263cc81a042ba363,update group calendars,start,2022-12-09 07:30:00+01:00
create meeting folders,e8b53b3f1782b9886b909f432abcab83,create meeting folders,complete,2022-12-09 07:48:18+01:00
ensure that documents are uploaded,1f1a02115819ef14bf6867eda2e613b2,ensure that documents are uploaded,complete,2022-12-09 08:10:01.200000+01:00
update group calendars,6273b1fcfdcc7cc7263cc81a042ba363,update group calendars,complete,2022-12-09 08:48:36+01:00
wait until 1 week before meeting,5e6c9ceae35342714c97b6fb4d2549d0,wait until 1 week before meeting,start,2022-12-09 08:48:36+01:00
wait until 1 week before meeting,5e6c9ceae35342714c97b6fb4d2549d0,wait until 1 week before meeting,complete,2022-12-15 08:48:36+01:00
advise to read related documents,8b9f54cc3a4572f0d38502cbf90e948c,advise to read related documents,start,2022-12-15 08:48:36+01:00
advise to read related documents,8b9f54cc3a4572f0d38502cbf90e948c,advise to read related documents,complete,2022-12-15 09:21:50.400000+01:00
wait one week or less,1ad76743fd86d15ff866d4f7831562f4,wait one week or less,start,2022-12-15 09:21:50.400000+01:00
wait one week or less,1ad76743fd86d15ff866d4f7831562f4,wait one week or less,complete,2022-12-22 09:21:50.400000+01:00
hold meeting,435d77eb06ce7df35c6cd2c8c8792cb7,hold meeting,start,2022-12-22 09:21:50.400000+01:00
hold meeting,435d77eb06ce7df35c6cd2c8c8792cb7,hold meeting,complete,2022-12-22 11:24:03.590000+01:00
produce minutes,18f5f73d3c511fbe5478007a9bab9d0e,produce minutes,start,2022-12-22 11:24:03.590000+01:00
produce minutes,18f5f73d3c511fbe5478007a9bab9d0e,produce minutes,complete,2022-12-22 11:30:35.990000+01:00
conduct QA check on minutes,33351134d023dbd579db43d95965efcb,conduct QA check on minutes,start,2022-12-22 11:30:35.990000+01:00
conduct QA check on minutes,33351134d023dbd579db43d95965efcb,conduct QA check on minutes,complete,2022-12-25 11:30:35.990000+01:00
send minutes to committee members,87e15ca727478d67a0020143a18731a2,send minutes to committee members,start,2022-12-25 11:30:35.990000+01:00
send minutes to committee members,87e15ca727478d67a0020143a18731a2,send minutes to committee members,complete,2022-12-25 11:35:23.990000+01:00
update departmental records,128ec813dad4b61666d11ae9873a9a17,update departmental records,start,2022-12-25 11:35:23.990000+01:00
update departmental records,128ec813dad4b61666d11ae9873a9a17,update departmental records,complete,2022-12-25 11:39:32.390000+01:00
