concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
create meeting folders,a5aa77a942f1a7730d55b66485c14d49,create meeting folders,start,2022-12-18 07:30:00+01:00
update group calendars,dc579cc616251d052e62f92ca575f0f2,update group calendars,start,2022-12-18 07:30:00+01:00
ensure that documents are uploaded,c46b654370c9bddf98b7ae52bb563504,ensure that documents are uploaded,start,2022-12-18 07:30:00+01:00
ensure that documents are uploaded,c46b654370c9bddf98b7ae52bb563504,ensure that documents are uploaded,complete,2022-12-18 07:59:49.200000+01:00
create meeting folders,a5aa77a942f1a7730d55b66485c14d49,create meeting folders,complete,2022-12-18 08:20:56.400000+01:00
update group calendars,dc579cc616251d052e62f92ca575f0f2,update group calendars,complete,2022-12-18 08:22:12+01:00
wait until 1 week before meeting,ef048006e49697b12e95eb408ac07912,wait until 1 week before meeting,start,2022-12-18 08:22:12+01:00
wait until 1 week before meeting,ef048006e49697b12e95eb408ac07912,wait until 1 week before meeting,complete,2022-12-18 08:22:12+01:00
advise to read related documents,ada37a71edba7830ed4f93e6e44bbd1d,advise to read related documents,start,2022-12-18 08:22:12+01:00
advise to read related documents,ada37a71edba7830ed4f93e6e44bbd1d,advise to read related documents,complete,2022-12-18 08:54:00+01:00
wait one week or less,b67d71af764aed662262b7388aea6d90,wait one week or less,start,2022-12-18 08:54:00+01:00
wait one week or less,b67d71af764aed662262b7388aea6d90,wait one week or less,complete,2022-12-23 08:54:00+01:00
hold meeting,6a15c3bfb2c7429cd99d51c46aa78d0d,hold meeting,start,2022-12-23 08:54:00+01:00
hold meeting,6a15c3bfb2c7429cd99d51c46aa78d0d,hold meeting,complete,2022-12-23 10:28:26.400000+01:00
produce minutes,a4490e53558c688c1e00cb0dd3e33ec7,produce minutes,start,2022-12-23 10:28:26.400000+01:00
produce minutes,a4490e53558c688c1e00cb0dd3e33ec7,produce minutes,complete,2022-12-23 10:52:48+01:00
conduct QA check on minutes,3198a70921454654acf2fa3ed062d4ab,conduct QA check on minutes,start,2022-12-23 10:52:48+01:00
conduct QA check on minutes,3198a70921454654acf2fa3ed062d4ab,conduct QA check on minutes,complete,2022-12-24 10:52:48+01:00
send minutes to committee members,df899f25c2be1263e20ffe0165714de3,send minutes to committee members,start,2022-12-24 10:52:48+01:00
send minutes to committee members,df899f25c2be1263e20ffe0165714de3,send minutes to committee members,complete,2022-12-24 10:57:32.400000+01:00
update departmental records,b5001c3362238eddea2ac35e562b1e7d,update departmental records,start,2022-12-24 10:57:32.400000+01:00
update departmental records,b5001c3362238eddea2ac35e562b1e7d,update departmental records,complete,2022-12-24 11:01:55.200000+01:00
