concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
ensure that documents are uploaded,60493867e73ba16434a325f769bf601c,ensure that documents are uploaded,start,2022-12-07 07:30:00+01:00
create meeting folders,b856b8f46a25ae94b693a0ddbfa5dff6,create meeting folders,start,2022-12-07 07:30:00+01:00
update group calendars,67dabbe347e45edf23b28b19ae22acf4,update group calendars,start,2022-12-07 07:30:00+01:00
ensure that documents are uploaded,60493867e73ba16434a325f769bf601c,ensure that documents are uploaded,complete,2022-12-07 07:51:03.590000+01:00
create meeting folders,b856b8f46a25ae94b693a0ddbfa5dff6,create meeting folders,complete,2022-12-07 08:10:40.800000+01:00
update group calendars,67dabbe347e45edf23b28b19ae22acf4,update group calendars,complete,2022-12-07 08:14:09.590000+01:00
wait until 1 week before meeting,704cef89dd455cb362cb79189bc7e802,wait until 1 week before meeting,start,2022-12-07 08:14:09.590000+01:00
wait until 1 week before meeting,704cef89dd455cb362cb79189bc7e802,wait until 1 week before meeting,complete,2022-12-09 08:14:09.590000+01:00
advise to read related documents,59af161db0959c8bb13eab83bb5f7c86,advise to read related documents,start,2022-12-09 08:14:09.590000+01:00
advise to read related documents,59af161db0959c8bb13eab83bb5f7c86,advise to read related documents,complete,2022-12-09 09:00:57.590000+01:00
wait one week or less,6335d02174406e8ed8c9cc49b5dba36a,wait one week or less,start,2022-12-09 09:00:57.590000+01:00
wait one week or less,6335d02174406e8ed8c9cc49b5dba36a,wait one week or less,complete,2022-12-16 09:00:57.590000+01:00
hold meeting,089b04ad2de43f8c6697c98ea4705a77,hold meeting,start,2022-12-16 09:00:57.590000+01:00
hold meeting,089b04ad2de43f8c6697c98ea4705a77,hold meeting,complete,2022-12-16 10:33:14.400000+01:00
produce minutes,ce780eca0d6acb2b744ed14c20fd8995,produce minutes,start,2022-12-16 10:33:14.400000+01:00
produce minutes,ce780eca0d6acb2b744ed14c20fd8995,produce minutes,complete,2022-12-16 11:12:10.800000+01:00
conduct QA check on minutes,95203fb467d48edd61cf08d670fb183a,conduct QA check on minutes,start,2022-12-16 11:12:10.800000+01:00
conduct QA check on minutes,95203fb467d48edd61cf08d670fb183a,conduct QA check on minutes,complete,2022-12-18 11:12:10.800000+01:00
send minutes to committee members,5f825ba9137375bb15d382aabe2087bb,send minutes to committee members,start,2022-12-18 11:12:10.800000+01:00
send minutes to committee members,5f825ba9137375bb15d382aabe2087bb,send minutes to committee members,complete,2022-12-18 11:16:40.800000+01:00
update departmental records,cae2cbda89cdebea7f1d86d5514c6bad,update departmental records,start,2022-12-18 11:16:40.800000+01:00
update departmental records,cae2cbda89cdebea7f1d86d5514c6bad,update departmental records,complete,2022-12-18 11:21:07.200000+01:00
