concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
ensure that documents are uploaded,19d0f4ddd2ac27e5776ba4cfedd94726,ensure that documents are uploaded,start,2022-11-17 07:30:00+01:00
create meeting folders,cdc2908dc3ad534e33281ceb6df39b7b,create meeting folders,start,2022-11-17 07:30:00+01:00
update group calendars,33ab4c77ae6a75b95c4adbaf914575ae,update group calendars,start,2022-11-17 07:30:00+01:00
update group calendars,33ab4c77ae6a75b95c4adbaf914575ae,update group calendars,complete,2022-11-17 07:34:22.800000+01:00
create meeting folders,cdc2908dc3ad534e33281ceb6df39b7b,create meeting folders,complete,2022-11-17 08:15:43.190000+01:00
ensure that documents are uploaded,19d0f4ddd2ac27e5776ba4cfedd94726,ensure that documents are uploaded,complete,2022-11-17 08:24:14.400000+01:00
wait until 1 week before meeting,1d81affcdb520a8126ec6ddf6202b0e4,wait until 1 week before meeting,start,2022-11-17 08:24:14.400000+01:00
wait until 1 week before meeting,1d81affcdb520a8126ec6ddf6202b0e4,wait until 1 week before meeting,complete,2022-11-26 08:24:14.400000+01:00
advise to read related documents,c108a1df4e832681b8453acb31492875,advise to read related documents,start,2022-11-26 08:24:14.400000+01:00
advise to read related documents,c108a1df4e832681b8453acb31492875,advise to read related documents,complete,2022-11-26 09:02:56.400000+01:00
wait one week or less,32f0b74b92a0958578232776ed99e8b9,wait one week or less,start,2022-11-26 09:02:56.400000+01:00
wait one week or less,32f0b74b92a0958578232776ed99e8b9,wait one week or less,complete,2022-12-03 09:02:56.400000+01:00
hold meeting,0bb83cd9f29b3a8b017a01190a9a951e,hold meeting,start,2022-12-03 09:02:56.400000+01:00
hold meeting,0bb83cd9f29b3a8b017a01190a9a951e,hold meeting,complete,2022-12-03 10:03:03.590000+01:00
produce minutes,9328c170d6e7d4df5f953acfa3e6265b,produce minutes,start,2022-12-03 10:03:03.590000+01:00
produce minutes,9328c170d6e7d4df5f953acfa3e6265b,produce minutes,complete,2022-12-03 11:12:03.590000+01:00
conduct QA check on minutes,5241e08af012af9053d1504ec30ce74f,conduct QA check on minutes,start,2022-12-03 11:12:03.590000+01:00
conduct QA check on minutes,5241e08af012af9053d1504ec30ce74f,conduct QA check on minutes,complete,2022-12-08 11:12:03.590000+01:00
send minutes to committee members,1c790c6861a2e2253e42fa48b4c052b9,send minutes to committee members,start,2022-12-08 11:12:03.590000+01:00
send minutes to committee members,1c790c6861a2e2253e42fa48b4c052b9,send minutes to committee members,complete,2022-12-08 11:16:08.390000+01:00
update departmental records,2aa12935d058b9c5fd8045f300c5a0fe,update departmental records,start,2022-12-08 11:16:08.390000+01:00
update departmental records,2aa12935d058b9c5fd8045f300c5a0fe,update departmental records,complete,2022-12-08 11:22:19.190000+01:00
