cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
85295fb8ee2aa53cfc8bca62796f2087,Check for Codling Moth,start,2022-11-11 07:42:43.230000+01:00
85295fb8ee2aa53cfc8bca62796f2087,Check for Codling Moth,complete,2022-11-11 08:05:45.630000+01:00
434944cd89c9699eacb26568b004d54a,Start Picking,start,2022-11-11 08:05:45.630000+01:00
f6a51498d84c1e9e6506eb9349ef7996,Trucks Arrive (3pm),start,2022-11-11 08:05:45.630000+01:00
9dd9b8760f95f846fbda07ed4e86af48,Warn of Break (1pm),start,2022-11-11 08:05:45.630000+01:00
434944cd89c9699eacb26568b004d54a,Start Picking,complete,2022-11-12 07:59:59.990000+01:00
d3946671cdc647edfa355871a8026b05,Picking ,start,2022-11-12 07:59:59.990000+01:00
d3946671cdc647edfa355871a8026b05,Picking ,complete,2022-11-12 12:34:33.590000+01:00
11935621b393aecd583d8a5d805ef322,Break,start,2022-11-12 12:34:33.590000+01:00
11935621b393aecd583d8a5d805ef322,Break,complete,2022-11-12 13:07:08.390000+01:00
f3a8a2b06ebaa5183ff32d6d9b053817,Picking,start,2022-11-12 13:07:08.390000+01:00
9dd9b8760f95f846fbda07ed4e86af48,Warn of Break (1pm),complete,2022-11-11 13:00:00+01:00
f6a51498d84c1e9e6506eb9349ef7996,Trucks Arrive (3pm),complete,2022-11-11 15:14:00+01:00
48a757d027a5fa5840b91a32956841f8,Load Trucks,start,2022-11-11 15:14:00+01:00
48a757d027a5fa5840b91a32956841f8,Load Trucks,complete,2022-11-11 15:30:55.200000+01:00
cc233c55feeda0934f9bcc0e7aeb3df7,Load Trucks,start,2022-11-11 15:30:55.200000+01:00
cc233c55feeda0934f9bcc0e7aeb3df7,Load Trucks,complete,2022-11-11 15:47:07.200000+01:00
202c11f9d7a91c48472e120c8ec0075c,Load Trucks,start,2022-11-11 15:47:07.200000+01:00
202c11f9d7a91c48472e120c8ec0075c,Load Trucks,complete,2022-11-11 16:02:18+01:00
a86f70fb81800b40d9c06b1eaccc91aa,Load Trucks,start,2022-11-11 16:02:18+01:00
a86f70fb81800b40d9c06b1eaccc91aa,Load Trucks,complete,2022-11-11 16:15:15.600000+01:00
5ed036df11f961fd77fa2eeddcee67fb,Load Trucks,start,2022-11-11 16:15:15.600000+01:00
5ed036df11f961fd77fa2eeddcee67fb,Load Trucks,complete,2022-11-11 16:34:27.600000+01:00
a3795c6f693a8c16028fdfd4e7aa09ad,Load Trucks,start,2022-11-11 16:34:27.600000+01:00
a3795c6f693a8c16028fdfd4e7aa09ad,Load Trucks,complete,2022-11-11 16:57:30+01:00
b788ef2f1b9175f567d175e14028b4da,Load Trucks,start,2022-11-11 16:57:30+01:00
f3a8a2b06ebaa5183ff32d6d9b053817,Picking,complete,2022-11-12 16:53:41.990000+01:00
b788ef2f1b9175f567d175e14028b4da,Load Trucks,complete,2022-11-11 17:13:49.200000+01:00
9be89023073975417bab0d8760bc1980,Start Spoiled Fruit Data Collection,start,2022-11-12 16:53:41.990000+01:00
9be89023073975417bab0d8760bc1980,Start Spoiled Fruit Data Collection,complete,2022-11-12 17:22:22.790000+01:00
ebd2e4dccc56a838a2ba182ae15c2879,Collect Spoiled Fruit Data,start,2022-11-12 17:22:22.790000+01:00
ebd2e4dccc56a838a2ba182ae15c2879,Collect Spoiled Fruit Data,complete,2022-11-12 17:54:03.590000+01:00
144ba4e45e94eb3b17d482ae3d0ab3c3,Send Recorded Kilos and Hours,start,2022-11-12 17:54:03.590000+01:00
144ba4e45e94eb3b17d482ae3d0ab3c3,Send Recorded Kilos and Hours,complete,2022-11-12 18:08:52.790000+01:00
