cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
827e086c91c64ea77dcbbbc06a680fcc,Check for Codling Moth,start,2022-12-12 07:43:34.600000+01:00
827e086c91c64ea77dcbbbc06a680fcc,Check for Codling Moth,complete,2022-12-12 08:01:23.800000+01:00
8f99fd5ba42493ef085e7ebefa444ef6,Warn of Break (1pm),start,2022-12-12 08:01:23.800000+01:00
eaea33e06033dc7a98a52d548480f641,Trucks Arrive (3pm),start,2022-12-12 08:01:23.800000+01:00
a27188ea741b17405c951689787bbdae,Start Picking,start,2022-12-12 08:01:23.800000+01:00
a27188ea741b17405c951689787bbdae,Start Picking,complete,2022-12-12 08:04:00+01:00
ed920a7de5cdbffc16aba67a4257c508,Picking ,start,2022-12-12 08:04:00+01:00
ed920a7de5cdbffc16aba67a4257c508,Picking ,complete,2022-12-12 12:01:10.790000+01:00
2cca5a13787e24a0ba81db8c587f9795,Break,start,2022-12-12 12:01:10.790000+01:00
2cca5a13787e24a0ba81db8c587f9795,Break,complete,2022-12-12 12:29:26.390000+01:00
0a30ddf70358699b603c0e4a3a6d06f9,Picking,start,2022-12-12 12:29:26.390000+01:00
8f99fd5ba42493ef085e7ebefa444ef6,Warn of Break (1pm),complete,2022-12-12 13:00:00+01:00
eaea33e06033dc7a98a52d548480f641,Trucks Arrive (3pm),complete,2022-12-12 15:05:00+01:00
dd1cbc8e9a6c503ff5daef19f8382072,Load Trucks,start,2022-12-12 15:05:00+01:00
dd1cbc8e9a6c503ff5daef19f8382072,Load Trucks,complete,2022-12-12 15:22:56.400000+01:00
dc28a9a5cb913f299db6b1716976b2df,Load Trucks,start,2022-12-12 15:22:56.400000+01:00
dc28a9a5cb913f299db6b1716976b2df,Load Trucks,complete,2022-12-12 15:36:15.600000+01:00
bb60bb06042f9eb95ac468e58d080eb2,Load Trucks,start,2022-12-12 15:36:15.600000+01:00
bb60bb06042f9eb95ac468e58d080eb2,Load Trucks,complete,2022-12-12 15:52:45.600000+01:00
a26ae2bc06345c4cef657cb25a223e62,Load Trucks,start,2022-12-12 15:52:45.600000+01:00
a26ae2bc06345c4cef657cb25a223e62,Load Trucks,complete,2022-12-12 16:07:52.800000+01:00
cedf72ba1f6e2854cb9b4a17d89e8b54,Load Trucks,start,2022-12-12 16:07:52.800000+01:00
cedf72ba1f6e2854cb9b4a17d89e8b54,Load Trucks,complete,2022-12-12 16:24:15.600000+01:00
164dd3953b27469c28d06597e86af896,Load Trucks,start,2022-12-12 16:24:15.600000+01:00
164dd3953b27469c28d06597e86af896,Load Trucks,complete,2022-12-12 16:44:00+01:00
d49e02d519ff6d6308f68a9d3553fdf3,Load Trucks,start,2022-12-12 16:44:00+01:00
0a30ddf70358699b603c0e4a3a6d06f9,Picking,complete,2022-12-12 16:19:43.200000+01:00
d49e02d519ff6d6308f68a9d3553fdf3,Load Trucks,complete,2022-12-12 17:06:33.600000+01:00
73aa377d5d4daed47e4f22b03f349791,Start Spoiled Fruit Data Collection,start,2022-12-12 17:06:33.600000+01:00
73aa377d5d4daed47e4f22b03f349791,Start Spoiled Fruit Data Collection,complete,2022-12-12 17:38:21.600000+01:00
f817106f805e5c82a3c5fc805a793e60,Collect Spoiled Fruit Data,start,2022-12-12 17:38:21.600000+01:00
f817106f805e5c82a3c5fc805a793e60,Collect Spoiled Fruit Data,complete,2022-12-12 17:58:02.400000+01:00
8c3156c8810353fd37a59aa1334d4825,Send Recorded Kilos and Hours,start,2022-12-12 17:58:02.400000+01:00
8c3156c8810353fd37a59aa1334d4825,Send Recorded Kilos and Hours,complete,2022-12-12 18:03:01.200000+01:00
