cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
ee2e6f99ceb725c18af34ae925691a73,Check for Codling Moth,start,2022-12-09 07:39:12.960000+01:00
ee2e6f99ceb725c18af34ae925691a73,Check for Codling Moth,complete,2022-12-09 07:43:10.560000+01:00
4d59f55319f93460d6658628697a40ec,Start Picking,start,2022-12-09 07:43:10.560000+01:00
335ae968cf6989cfe2b489723695c30d,Warn of Break (1pm),start,2022-12-09 07:43:10.560000+01:00
8d7f86f7efde02b458335947a15bfe59,Trucks Arrive (3pm),start,2022-12-09 07:43:10.560000+01:00
4d59f55319f93460d6658628697a40ec,Start Picking,complete,2022-12-09 08:12:00+01:00
d0653f2fb6ad76eb1f2e8c54383ea3bf,Picking ,start,2022-12-09 08:12:00+01:00
d0653f2fb6ad76eb1f2e8c54383ea3bf,Picking ,complete,2022-12-09 12:09:43.200000+01:00
4ce38f7b26da981d78cbabe57faa9463,Break,start,2022-12-09 12:09:43.200000+01:00
4ce38f7b26da981d78cbabe57faa9463,Break,complete,2022-12-09 12:37:40.800000+01:00
b6a2aa91b3b604da151d21214a3a5ea7,Picking,start,2022-12-09 12:37:40.800000+01:00
335ae968cf6989cfe2b489723695c30d,Warn of Break (1pm),complete,2022-12-09 12:59:59.990000+01:00
8d7f86f7efde02b458335947a15bfe59,Trucks Arrive (3pm),complete,2022-12-09 14:59:59.990000+01:00
dab81dbd14af4722a10fd01145851ab3,Load Trucks,start,2022-12-09 14:59:59.990000+01:00
dab81dbd14af4722a10fd01145851ab3,Load Trucks,complete,2022-12-09 15:15:17.990000+01:00
774c518f9f8ad2ec75915102a02a5007,Load Trucks,start,2022-12-09 15:15:17.990000+01:00
774c518f9f8ad2ec75915102a02a5007,Load Trucks,complete,2022-12-09 15:32:09.590000+01:00
b1cfd9ee524454bb970ff20d9685de26,Load Trucks,start,2022-12-09 15:32:09.590000+01:00
b1cfd9ee524454bb970ff20d9685de26,Load Trucks,complete,2022-12-09 15:50:16.790000+01:00
5aa993c129308a016a0fc38ef0336562,Load Trucks,start,2022-12-09 15:50:16.790000+01:00
5aa993c129308a016a0fc38ef0336562,Load Trucks,complete,2022-12-09 16:06:43.190000+01:00
7dcfecd775e0ed24e89824b66a1ad1fe,Load Trucks,start,2022-12-09 16:06:43.190000+01:00
7dcfecd775e0ed24e89824b66a1ad1fe,Load Trucks,complete,2022-12-09 16:24:14.390000+01:00
b399f07430e054ecaade731aa4416a1f,Load Trucks,start,2022-12-09 16:24:14.390000+01:00
b6a2aa91b3b604da151d21214a3a5ea7,Picking,complete,2022-12-09 16:14:34.800000+01:00
b399f07430e054ecaade731aa4416a1f,Load Trucks,complete,2022-12-09 16:47:38.390000+01:00
f5d2ecc4c4a2b977d4cabe7873d435ea,Start Spoiled Fruit Data Collection,start,2022-12-09 16:47:38.390000+01:00
f5d2ecc4c4a2b977d4cabe7873d435ea,Start Spoiled Fruit Data Collection,complete,2022-12-09 17:01:37.190000+01:00
33c9bc86ded210e2b8eebef584dbdf72,Collect Spoiled Fruit Data,start,2022-12-09 17:01:37.190000+01:00
33c9bc86ded210e2b8eebef584dbdf72,Collect Spoiled Fruit Data,complete,2022-12-09 17:35:23.990000+01:00
cf8f0ade23dd152a2674ec17fd57bd1e,Send Recorded Kilos and Hours,start,2022-12-09 17:35:23.990000+01:00
cf8f0ade23dd152a2674ec17fd57bd1e,Send Recorded Kilos and Hours,complete,2022-12-09 17:36:39.590000+01:00
