cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
9208504fd9d8475b5ab7074ba697081f,Check for Codling Moth,start,2022-11-26 07:41:08.210000+01:00
9208504fd9d8475b5ab7074ba697081f,Check for Codling Moth,complete,2022-11-26 08:07:28.610000+01:00
8a9970064df80de3d1ad6518010cb867,Start Picking,start,2022-11-26 08:07:28.610000+01:00
cc5a3c54bc3145b599c4bff7219befcd,Warn of Break (1pm),start,2022-11-26 08:07:28.610000+01:00
4393673a16f242e0ac7cb9397f0e039f,Trucks Arrive (3pm),start,2022-11-26 08:07:28.610000+01:00
8a9970064df80de3d1ad6518010cb867,Start Picking,complete,2022-11-26 08:14:00+01:00
15ee746422781eba821ba3b4f3438135,Picking ,start,2022-11-26 08:14:00+01:00
15ee746422781eba821ba3b4f3438135,Picking ,complete,2022-11-26 12:52:52.790000+01:00
85f52ccdef2da3fef321d9b0a180b1d6,Break,start,2022-11-26 12:52:52.790000+01:00
85f52ccdef2da3fef321d9b0a180b1d6,Break,complete,2022-11-26 13:16:05.990000+01:00
4db6d656351a2bc94ae45ca6e82b6177,Picking,start,2022-11-26 13:16:05.990000+01:00
cc5a3c54bc3145b599c4bff7219befcd,Warn of Break (1pm),complete,2022-11-26 13:00:00+01:00
4393673a16f242e0ac7cb9397f0e039f,Trucks Arrive (3pm),complete,2022-11-26 15:15:00+01:00
70142e67374a2b2f759a90419a129770,Load Trucks,start,2022-11-26 15:15:00+01:00
70142e67374a2b2f759a90419a129770,Load Trucks,complete,2022-11-26 15:31:51.600000+01:00
b493068bd7cbf160a9672edb088cc81d,Load Trucks,start,2022-11-26 15:31:51.600000+01:00
b493068bd7cbf160a9672edb088cc81d,Load Trucks,complete,2022-11-26 15:49:04.800000+01:00
0ab3327553fd38dddbc218939cdda5ba,Load Trucks,start,2022-11-26 15:49:04.800000+01:00
0ab3327553fd38dddbc218939cdda5ba,Load Trucks,complete,2022-11-26 16:06:18+01:00
ee1c75e1c7a5f8e90495f00f00bc799d,Load Trucks,start,2022-11-26 16:06:18+01:00
ee1c75e1c7a5f8e90495f00f00bc799d,Load Trucks,complete,2022-11-26 16:23:45.600000+01:00
986732ff4edc7944791e480beffa7e2d,Load Trucks,start,2022-11-26 16:23:45.600000+01:00
986732ff4edc7944791e480beffa7e2d,Load Trucks,complete,2022-11-26 16:39:46.800000+01:00
e92d86fefab640a1117e0927e5ab1b9c,Load Trucks,start,2022-11-26 16:39:46.800000+01:00
e92d86fefab640a1117e0927e5ab1b9c,Load Trucks,complete,2022-11-26 17:05:34.800000+01:00
1c691f01ace7a65a5fd65f8ac3bc88b9,Load Trucks,start,2022-11-26 17:05:34.800000+01:00
1c691f01ace7a65a5fd65f8ac3bc88b9,Load Trucks,complete,2022-11-26 17:15:32.400000+01:00
3a5027b57d63b744bd5d0015748e10a9,Load Trucks,start,2022-11-26 17:15:32.400000+01:00
4db6d656351a2bc94ae45ca6e82b6177,Picking,complete,2022-11-26 17:49:27.590000+01:00
3a5027b57d63b744bd5d0015748e10a9,Load Trucks,complete,2022-11-26 17:51:07.200000+01:00
53161812da471e4f3b1f815243f5f62e,Start Spoiled Fruit Data Collection,start,2022-11-26 17:51:07.200000+01:00
53161812da471e4f3b1f815243f5f62e,Start Spoiled Fruit Data Collection,complete,2022-11-26 17:55:44.400000+01:00
d45daf7834ec7a7b85f049b89b645014,Collect Spoiled Fruit Data,start,2022-11-26 17:55:44.400000+01:00
d45daf7834ec7a7b85f049b89b645014,Collect Spoiled Fruit Data,complete,2022-11-26 18:06:21.600000+01:00
86e6151f231d94a6d56b7dba52c43dd8,Send Recorded Kilos and Hours,start,2022-11-26 18:06:21.600000+01:00
86e6151f231d94a6d56b7dba52c43dd8,Send Recorded Kilos and Hours,complete,2022-11-26 18:07:33.600000+01:00
