"cpee:activity_uuid","concept:name","lifecycle:transition","shift:timestamp"
"145dae9fdb7cc3be6aaeb7b865fbddd6","Check for Codling Moth","start","2022-11-23 07:43:52.630000+01:00"
"145dae9fdb7cc3be6aaeb7b865fbddd6","Check for Codling Moth","complete","2022-11-23 07:52:56.230000+01:00"
"cceb44d4d6a8f418cacdee9cac61acc5","Warn of Break (1pm)","start","2022-11-23 07:52:56.230000+01:00"
"c7dcec69bc9b6eebc19a53933b92a481","Start Picking","start","2022-11-23 07:52:56.230000+01:00"
"56bfa6fa35237c4eb0fd38d3f6ee1683","Trucks Arrive (3pm)","start","2022-11-23 07:52:56.230000+01:00"
"c7dcec69bc9b6eebc19a53933b92a481","Start Picking","complete","2022-11-23 08:03:00+01:00"
"50cbef89d2676c118bc34ed29952965e","Picking ","start","2022-11-23 08:03:00+01:00"
"50cbef89d2676c118bc34ed29952965e","Picking ","complete","2022-11-23 13:14:38.400000+01:00"
"74f412384c8c777b53ebbd46801636a7","Break","start","2022-11-23 13:14:38.400000+01:00"
"74f412384c8c777b53ebbd46801636a7","Break","complete","2022-11-23 13:43:08.400000+01:00"
"aa80f6697467089b3a61a7df81798133","Picking","start","2022-11-23 13:43:08.400000+01:00"
"cceb44d4d6a8f418cacdee9cac61acc5","Warn of Break (1pm)","complete","2022-11-23 12:59:59.990000+01:00"
"56bfa6fa35237c4eb0fd38d3f6ee1683","Trucks Arrive (3pm)","complete","2022-11-23 15:14:59.990000+01:00"
"bb64308ba314f98bb4fb5297a355ac6e","Load Trucks","start","2022-11-23 15:14:59.990000+01:00"
"bb64308ba314f98bb4fb5297a355ac6e","Load Trucks","complete","2022-11-23 15:36:21.590000+01:00"
"7c545a8a8de6f33cf73b0c37587eeb44","Load Trucks","start","2022-11-23 15:36:21.590000+01:00"
"7c545a8a8de6f33cf73b0c37587eeb44","Load Trucks","complete","2022-11-23 15:49:26.390000+01:00"
"aad31bf96066dbe60567aa35eea1f28d","Load Trucks","start","2022-11-23 15:49:26.390000+01:00"
"aad31bf96066dbe60567aa35eea1f28d","Load Trucks","complete","2022-11-23 16:03:39.590000+01:00"
"89b9214af66838b0ed9306662d6de150","Load Trucks","start","2022-11-23 16:03:39.590000+01:00"
"89b9214af66838b0ed9306662d6de150","Load Trucks","complete","2022-11-23 16:18:53.990000+01:00"
"e0f19c21864a53273fc82bfa1ee01282","Load Trucks","start","2022-11-23 16:18:53.990000+01:00"
"e0f19c21864a53273fc82bfa1ee01282","Load Trucks","complete","2022-11-23 16:35:56.390000+01:00"
"8b59fb100d9566fd4eed800123396afb","Load Trucks","start","2022-11-23 16:35:56.390000+01:00"
"8b59fb100d9566fd4eed800123396afb","Load Trucks","complete","2022-11-23 16:53:23.990000+01:00"
"baa1364e08f2093a6c97381268cbd952","Load Trucks","start","2022-11-23 16:53:23.990000+01:00"
"baa1364e08f2093a6c97381268cbd952","Load Trucks","complete","2022-11-23 17:10:08.390000+01:00"
"8efc935113d16440e74f6c3b2a281351","Load Trucks","start","2022-11-23 17:10:08.390000+01:00"
"8efc935113d16440e74f6c3b2a281351","Load Trucks","complete","2022-11-23 17:26:13.190000+01:00"
"690a279bfebfe7e2243849174c39200b","Load Trucks","start","2022-11-23 17:26:13.190000+01:00"
"690a279bfebfe7e2243849174c39200b","Load Trucks","complete","2022-11-23 17:42:25.190000+01:00"
"9ac7f37d1efce59e90cc3cae978bba9a","Load Trucks","start","2022-11-23 17:42:25.190000+01:00"
"aa80f6697467089b3a61a7df81798133","Picking","complete","2022-11-23 17:52:30+01:00"
"9ac7f37d1efce59e90cc3cae978bba9a","Load Trucks","complete","2022-11-23 18:03:39.590000+01:00"
"8db3005dd117a31a8c5388ea9286eac2","Start Spoiled Fruit Data Collection","start","2022-11-23 18:03:39.590000+01:00"
"8db3005dd117a31a8c5388ea9286eac2","Start Spoiled Fruit Data Collection","complete","2022-11-23 18:05:20.390000+01:00"
"e5d18b5b1d270f92493d3908e8968608","Collect Spoiled Fruit Data","start","2022-11-23 18:05:20.390000+01:00"
"e5d18b5b1d270f92493d3908e8968608","Collect Spoiled Fruit Data","complete","2022-11-23 18:25:58.790000+01:00"
"8b490f6b1e93012d6c08393e5b9fe493","Send Recorded Kilos and Hours","start","2022-11-23 18:25:58.790000+01:00"
"8b490f6b1e93012d6c08393e5b9fe493","Send Recorded Kilos and Hours","complete","2022-11-23 18:32:23.990000+01:00"
