"cpee:activity_uuid","concept:name","lifecycle:transition","shift:timestamp"
"68a1fd898e3245f9de33819148fe741e","Check for Codling Moth","start","2022-12-04 07:42:34.300000+01:00"
"68a1fd898e3245f9de33819148fe741e","Check for Codling Moth","complete","2022-12-04 07:49:46.300000+01:00"
"916676aa1540581708d62e0e154b0e6d","Trucks Arrive (3pm)","start","2022-12-04 07:49:46.300000+01:00"
"96381d6a8a7e9de8a5d59aee5ad0640c","Warn of Break (1pm)","start","2022-12-04 07:49:46.300000+01:00"
"b546265694c53c748bb159f11391134d","Start Picking","start","2022-12-04 07:49:46.300000+01:00"
"b546265694c53c748bb159f11391134d","Start Picking","complete","2022-12-04 08:06:00+01:00"
"be3a1130bd388fca5f8e554a6887e312","Picking ","start","2022-12-04 08:06:00+01:00"
"be3a1130bd388fca5f8e554a6887e312","Picking ","complete","2022-12-04 13:00:46.790000+01:00"
"fcf893ef42c0d1621091afe72a0d601a","Break","start","2022-12-04 12:00:46.790000+01:00"
"fcf893ef42c0d1621091afe72a0d601a","Break","complete","2022-12-04 13:28:55.190000+01:00"
"891de12b48d5be61f9ba7d13cc337543","Picking","start","2022-12-04 13:28:55.190000+01:00"
"96381d6a8a7e9de8a5d59aee5ad0640c","Warn of Break (1pm)","complete","2022-12-04 12:59:59.990000+01:00"
"916676aa1540581708d62e0e154b0e6d","Trucks Arrive (3pm)","complete","2022-12-04 15:03:59.990000+01:00"
"7f1b42d115b0377a0b8f6da2a746692b","Load Trucks","start","2022-12-04 15:03:59.990000+01:00"
"7f1b42d115b0377a0b8f6da2a746692b","Load Trucks","complete","2022-12-04 15:20:11.990000+01:00"
"dcbbd9466f441c4796350bfa2abbf9e9","Load Trucks","start","2022-12-04 15:20:11.990000+01:00"
"dcbbd9466f441c4796350bfa2abbf9e9","Load Trucks","complete","2022-12-04 15:35:55.190000+01:00"
"d0c6dbcc44740a37926c99ef794809cb","Load Trucks","start","2022-12-04 15:35:55.190000+01:00"
"d0c6dbcc44740a37926c99ef794809cb","Load Trucks","complete","2022-12-04 15:51:52.790000+01:00"
"271de26b57ba9c8d9bc76cff254a1d05","Load Trucks","start","2022-12-04 15:51:52.790000+01:00"
"271de26b57ba9c8d9bc76cff254a1d05","Load Trucks","complete","2022-12-04 16:07:50.390000+01:00"
"2947799e12460cab412c53ddc2e1442d","Load Trucks","start","2022-12-04 16:07:50.390000+01:00"
"2947799e12460cab412c53ddc2e1442d","Load Trucks","complete","2022-12-04 16:26:47.990000+01:00"
"cd14a412060c5d0a4f6f941507689e7a","Load Trucks","start","2022-12-04 16:26:47.990000+01:00"
"cd14a412060c5d0a4f6f941507689e7a","Load Trucks","complete","2022-12-04 16:44:37.190000+01:00"
"d3fb923b1e99a8db802ad1e5826776ba","Load Trucks","start","2022-12-04 16:44:37.190000+01:00"
"d3fb923b1e99a8db802ad1e5826776ba","Load Trucks","complete","2022-12-04 17:06:23.990000+01:00"
"36fb8a179848dcdc6e07ff04540174ee","Load Trucks","start","2022-12-04 17:06:23.990000+01:00"
"891de12b48d5be61f9ba7d13cc337543","Picking","complete","2022-12-04 17:22:29.990000+01:00"
"36fb8a179848dcdc6e07ff04540174ee","Load Trucks","complete","2022-12-04 17:28:39.590000+01:00"
"e769f6427b7ffa25ccf4e73c2cfed398","Start Spoiled Fruit Data Collection","start","2022-12-04 17:28:39.590000+01:00"
"e769f6427b7ffa25ccf4e73c2cfed398","Start Spoiled Fruit Data Collection","complete","2022-12-04 17:46:46.790000+01:00"
"cb815bbd1902d737b1eb36aee66a3f38","Collect Spoiled Fruit Data","start","2022-12-04 17:46:46.790000+01:00"
"cb815bbd1902d737b1eb36aee66a3f38","Collect Spoiled Fruit Data","complete","2022-12-04 18:16:25.190000+01:00"
"f5e787b3d70e4f5c2c0b13274ac709a6","Send Recorded Kilos and Hours","start","2022-12-04 18:16:25.190000+01:00"
"f5e787b3d70e4f5c2c0b13274ac709a6","Send Recorded Kilos and Hours","complete","2022-12-04 18:17:33.590000+01:00"
