cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
4cb451b04737359ce0eb8061ede61ef4,Check for Codling Moth,start,2022-11-21 07:44:14.470000+01:00
4cb451b04737359ce0eb8061ede61ef4,Check for Codling Moth,complete,2022-11-21 08:16:24.070000+01:00
2886da34d7d4b47cc14b2070ac98855b,Warn of Break (1pm),start,2022-11-21 08:16:24.070000+01:00
57564c9d1430cae6bfd938b8cf31d583,Start Picking,start,2022-11-21 08:16:24.070000+01:00
285ea535f6da276bde6fb392f6865eee,Trucks Arrive (3pm),start,2022-11-21 08:16:24.070000+01:00
57564c9d1430cae6bfd938b8cf31d583,Start Picking,complete,2022-11-22 08:10:59.990000+01:00
11a194b05740144f3bb4213b97d711b8,Picking ,start,2022-11-22 08:10:59.990000+01:00
11a194b05740144f3bb4213b97d711b8,Picking ,complete,2022-11-22 12:37:45.590000+01:00
36afee16d098917c6597a803a97ab7be,Break,start,2022-11-22 12:37:45.590000+01:00
36afee16d098917c6597a803a97ab7be,Break,complete,2022-11-22 13:06:11.990000+01:00
7765e26ef1d72cb645bca13b896672c1,Picking,start,2022-11-22 13:06:11.990000+01:00
2886da34d7d4b47cc14b2070ac98855b,Warn of Break (1pm),complete,2022-11-21 12:59:59.990000+01:00
285ea535f6da276bde6fb392f6865eee,Trucks Arrive (3pm),complete,2022-11-21 15:04:59.990000+01:00
43d3e1613e09ec95628f9df2ed652594,Load Trucks,start,2022-11-21 15:04:59.990000+01:00
43d3e1613e09ec95628f9df2ed652594,Load Trucks,complete,2022-11-21 15:21:44.390000+01:00
81ef889092b8af76b49749ad4ab3cd0e,Load Trucks,start,2022-11-21 15:21:44.390000+01:00
81ef889092b8af76b49749ad4ab3cd0e,Load Trucks,complete,2022-11-21 15:39:44.390000+01:00
bb6cdec07f412da9b16ffb766f81c27d,Load Trucks,start,2022-11-21 15:39:44.390000+01:00
bb6cdec07f412da9b16ffb766f81c27d,Load Trucks,complete,2022-11-21 15:55:38.390000+01:00
e9c99d9bc01fd35031e52c0a840f7a0b,Load Trucks,start,2022-11-21 15:55:38.390000+01:00
e9c99d9bc01fd35031e52c0a840f7a0b,Load Trucks,complete,2022-11-21 16:12:58.790000+01:00
62bb9240ae7798ac75de722ace9159c5,Load Trucks,start,2022-11-21 16:12:58.790000+01:00
62bb9240ae7798ac75de722ace9159c5,Load Trucks,complete,2022-11-21 16:25:05.990000+01:00
7a62656e7202e88eb18bbb8dee923a97,Load Trucks,start,2022-11-21 16:25:05.990000+01:00
7a62656e7202e88eb18bbb8dee923a97,Load Trucks,complete,2022-11-21 16:40:38.390000+01:00
47ae7fe2ee84124a6b3b9a6a72dcfd31,Load Trucks,start,2022-11-21 16:40:38.390000+01:00
47ae7fe2ee84124a6b3b9a6a72dcfd31,Load Trucks,complete,2022-11-21 16:58:49.190000+01:00
739aaca5d64aa811dca2f28f318f56ff,Load Trucks,start,2022-11-21 16:58:49.190000+01:00
7765e26ef1d72cb645bca13b896672c1,Picking,complete,2022-11-22 16:51:33.590000+01:00
739aaca5d64aa811dca2f28f318f56ff,Load Trucks,complete,2022-11-21 17:16:34.790000+01:00
b5246f12c783da43548999b5f72fd60c,Start Spoiled Fruit Data Collection,start,2022-11-22 16:51:33.590000+01:00
b5246f12c783da43548999b5f72fd60c,Start Spoiled Fruit Data Collection,complete,2022-11-22 17:10:16.790000+01:00
5b5e87c94b72830d732062b3ee852bd6,Collect Spoiled Fruit Data,start,2022-11-22 17:10:16.790000+01:00
5b5e87c94b72830d732062b3ee852bd6,Collect Spoiled Fruit Data,complete,2022-11-22 17:53:46.790000+01:00
ee2e1e65ed80dfde6cea626dd80f74c4,Send Recorded Kilos and Hours,start,2022-11-22 17:53:46.790000+01:00
ee2e1e65ed80dfde6cea626dd80f74c4,Send Recorded Kilos and Hours,complete,2022-11-22 17:59:43.190000+01:00
