cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
173a526e4d57a35946e951d66da8b01b,Check for Codling Moth,start,2022-12-13 07:44:06.700000+01:00
173a526e4d57a35946e951d66da8b01b,Check for Codling Moth,complete,2022-12-13 08:05:03.100000+01:00
8ff6a6d42717572578f8f82842de1a6c,Warn of Break (1pm),start,2022-12-13 08:05:03.100000+01:00
2f821a0fb6fcaf8f8487f5c6bd6b9ae7,Trucks Arrive (3pm),start,2022-12-13 08:05:03.100000+01:00
512b5d1f7166f686d97ef0aefa6b7ffb,Start Picking,start,2022-12-13 08:05:03.100000+01:00
512b5d1f7166f686d97ef0aefa6b7ffb,Start Picking,complete,2022-12-14 08:01:00+01:00
170ae24639304d6e6b258e6a255082d8,Picking ,start,2022-12-14 08:01:00+01:00
170ae24639304d6e6b258e6a255082d8,Picking ,complete,2022-12-14 13:13:14.400000+01:00
2b0d4383d0172acfcbad21ce3d30501a,Break,start,2022-12-14 13:13:14.400000+01:00
2b0d4383d0172acfcbad21ce3d30501a,Break,complete,2022-12-14 13:42:38.400000+01:00
90f3fe3141830cad2b5645f5ed1f85ad,Picking,start,2022-12-14 13:42:38.400000+01:00
8ff6a6d42717572578f8f82842de1a6c,Warn of Break (1pm),complete,2022-12-13 12:59:59.990000+01:00
2f821a0fb6fcaf8f8487f5c6bd6b9ae7,Trucks Arrive (3pm),complete,2022-12-13 15:14:59.990000+01:00
880a1b64b0d4e7014104a0a2daabd287,Load Trucks,start,2022-12-13 15:14:59.990000+01:00
880a1b64b0d4e7014104a0a2daabd287,Load Trucks,complete,2022-12-13 15:34:55.190000+01:00
eea4549818f5c3f7b80cca78532ffd66,Load Trucks,start,2022-12-13 15:34:55.190000+01:00
eea4549818f5c3f7b80cca78532ffd66,Load Trucks,complete,2022-12-13 15:45:10.790000+01:00
07d21b590d139d797c7f4f30d1316dfa,Load Trucks,start,2022-12-13 15:45:10.790000+01:00
07d21b590d139d797c7f4f30d1316dfa,Load Trucks,complete,2022-12-13 15:58:19.190000+01:00
1748cd3d2de8fa2cab7be027a64bbf57,Load Trucks,start,2022-12-13 15:58:19.190000+01:00
1748cd3d2de8fa2cab7be027a64bbf57,Load Trucks,complete,2022-12-13 16:29:16.790000+01:00
735844a81b00306aae22377939265f70,Load Trucks,start,2022-12-13 16:29:16.790000+01:00
735844a81b00306aae22377939265f70,Load Trucks,complete,2022-12-13 16:46:55.190000+01:00
8cc1f8c21e756253ddc8a64fef9de9e6,Load Trucks,start,2022-12-13 16:46:55.190000+01:00
8cc1f8c21e756253ddc8a64fef9de9e6,Load Trucks,complete,2022-12-13 16:57:32.390000+01:00
06757083a36c289ae986ca195a8e04f1,Load Trucks,start,2022-12-13 16:57:32.390000+01:00
06757083a36c289ae986ca195a8e04f1,Load Trucks,complete,2022-12-13 17:04:37.190000+01:00
f5fd0c980810369cd3bbfbb0bbf7ee58,Load Trucks,start,2022-12-13 17:04:37.190000+01:00
f5fd0c980810369cd3bbfbb0bbf7ee58,Load Trucks,complete,2022-12-13 17:30:57.590000+01:00
a5e6b8ede086fd74fe5a168b339f7dce,Load Trucks,start,2022-12-13 17:30:57.590000+01:00
a5e6b8ede086fd74fe5a168b339f7dce,Load Trucks,complete,2022-12-13 17:43:40.790000+01:00
759f8978fde695821db24cf93db4c3a7,Load Trucks,start,2022-12-13 17:43:40.790000+01:00
90f3fe3141830cad2b5645f5ed1f85ad,Picking,complete,2022-12-14 17:54:27.600000+01:00
759f8978fde695821db24cf93db4c3a7,Load Trucks,complete,2022-12-13 18:05:05.990000+01:00
b57d0cfb612f213d62ea80ef74edaa7b,Start Spoiled Fruit Data Collection,start,2022-12-14 17:54:27.600000+01:00
b57d0cfb612f213d62ea80ef74edaa7b,Start Spoiled Fruit Data Collection,complete,2022-12-14 18:02:22.800000+01:00
a25e66974ca254d1394f012f00e543ee,Collect Spoiled Fruit Data,start,2022-12-14 18:02:22.800000+01:00
a25e66974ca254d1394f012f00e543ee,Collect Spoiled Fruit Data,complete,2022-12-14 18:23:01.200000+01:00
61258067025266f7a7b23dec2a9fb6da,Send Recorded Kilos and Hours,start,2022-12-14 18:23:01.200000+01:00
61258067025266f7a7b23dec2a9fb6da,Send Recorded Kilos and Hours,complete,2022-12-14 18:26:22.800000+01:00
